NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;5:02.390;0;;1:20.331;0;1:43.782;0;1:58.277;0;160.5;5:02.390;18:50:02.390;1:20.331;1:43.782;1:58.277;249.8;Derek DEBOER;0:00:38.181;LMGT3;;Racing Spirit of Leman;Aston Martin;GF;80.331;103.782;118.277;
10;1;2;4:00.735;0;;38.196;0;1:32.593;0;1:49.946;0;203.8;9:03.125;18:54:03.125;0:38.196;1:32.593;1:49.946;286.2;Derek DEBOER;;LMGT3;;Racing Spirit of Leman;Aston Martin;GF;38.196;92.593;109.946;
10;1;3;3:59.472;2;;38.003;2;1:31.526;0;1:49.943;2;204.8;13:02.597;18:58:02.597;0:38.003;1:31.526;1:49.943;287.7;Derek DEBOER;;LMGT3;;Racing Spirit of Leman;Aston Martin;GF;38.003;91.526;109.943;
10;1;4;5:35.985;0;B;38.152;0;2:14.336;0;2:43.497;0;146.0;18:38.582;19:03:38.582;0:38.152;2:14.336;2:43.497;290.0;Derek DEBOER;;LMGT3;;Racing Spirit of Leman;Aston Martin;RF;38.152;134.336;163.497;
10;1;5;8:38.112;0;;5:02.807;0;1:38.722;0;1:56.583;0;94.7;27:16.694;19:12:16.694;5:02.807;1:38.722;1:56.583;269.8;Derek DEBOER;0:04:30.091;LMGT3;;Racing Spirit of Leman;Aston Martin;GF;302.807;98.722;116.583;
10;1;6;3:59.919;0;;38.514;0;1:31.114;2;1:50.291;0;204.5;31:16.613;19:16:16.613;0:38.514;1:31.114;1:50.291;294.8;Derek DEBOER;;LMGT3;;Racing Spirit of Leman;Aston Martin;GF;38.514;91.114;110.291;
10;1;7;5:45.549;0;B;38.032;0;1:31.533;0;3:35.984;0;142.0;37:02.162;19:22:02.162;0:38.032;1:31.533;3:35.984;294.8;Derek DEBOER;;LMGT3;;Racing Spirit of Leman;Aston Martin;RF;38.032;91.533;215.984;
11;3;1;4:38.947;0;;1:20.084;0;1:30.379;0;1:48.484;0;174.0;4:38.947;18:49:38.947;1:20.084;1:30.379;1:48.484;299.7;Bent VISCAAL;0:00:41.606;LMP2;P/A;Proton Competition;Oreca;GF;80.084;90.379;108.484;
11;3;2;3:44.520;0;;36.223;0;1:26.053;0;1:42.244;0;218.5;8:23.467;18:53:23.467;0:36.223;1:26.053;1:42.244;317.2;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;GF;36.223;86.053;102.244;
11;3;3;3:37.924;0;;34.411;0;1:24.011;0;1:39.502;0;225.1;12:01.391;18:57:01.391;0:34.411;1:24.011;1:39.502;313.6;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;GF;34.411;84.011;99.502;
11;3;4;5:06.106;0;B;34.453;0;1:24.270;0;3:07.383;0;160.3;17:07.497;19:02:07.497;0:34.453;1:24.270;3:07.383;311.8;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;RF;34.453;84.270;187.383;
11;3;5;9:49.556;0;;6:23.534;0;1:29.527;0;1:56.495;0;83.2;26:57.053;19:11:57.053;6:23.534;1:29.527;1:56.495;288.5;Bent VISCAAL;0:05:54.346;LMP2;P/A;Proton Competition;Oreca;GF;383.534;89.527;116.495;
11;3;6;3:37.767;2;;34.689;0;1:23.741;0;1:39.337;2;225.3;30:34.820;19:15:34.820;0:34.689;1:23.741;1:39.337;312.7;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;GF;34.689;83.741;99.337;
11;3;7;3:53.122;0;B;34.362;2;1:23.626;2;1:55.134;0;210.4;34:27.942;19:19:27.942;0:34.362;1:23.626;1:55.134;312.7;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;RF;34.362;83.626;115.134;
