NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
12;3;1;4:09.791;0;;1:01.375;0;1:26.189;0;1:42.227;0;194.3;4:09.791;21:44:09.791;1:01.375;1:26.189;1:42.227;263.9;Alex LYNN;0:00:22.432;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;GF;61.375;86.189;102.227;
12;3;2;3:24.098;0;;32.069;0;1:18.827;0;1:33.202;0;240.3;7:33.889;21:47:33.889;0:32.069;1:18.827;1:33.202;331.8;Alex LYNN;;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;GF;32.069;78.827;93.202;
12;3;3;3:23.794;0;;31.894;3;1:19.111;0;1:32.789;0;240.7;10:57.683;21:50:57.683;0:31.894;1:19.111;1:32.789;328.8;Alex LYNN;;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;GF;31.894;79.111;92.789;
12;3;4;3:23.166;3;;31.918;0;1:18.796;2;1:32.452;3;241.4;14:20.849;21:54:20.849;0:31.918;1:18.796;1:32.452;329.8;Alex LYNN;;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;GF;31.918;78.796;92.452;
12;3;5;7:33.165;0;B;42.951;0;3:18.712;0;3:31.502;0;108.2;21:54.014;22:01:54.014;0:42.951;3:18.712;3:31.502;107.9;Alex LYNN;;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;FF;42.951;198.712;211.502;
15;1;1;3:36.155;0;B;35.587;0;1:19.648;0;1:40.920;0;224.5;3:36.155;21:43:36.155;0:35.587;1:19.648;1:40.920;331.8;Dries VANTHOOR;0:00:03.696;HYPERCAR;H;BMW M Team WRT;BMW;GF;35.587;79.648;100.920;
15;1;2;5:37.455;0;;2:19.741;0;1:28.802;0;1:48.912;0;145.4;9:13.610;21:49:13.610;2:19.741;1:28.802;1:48.912;249.8;Dries VANTHOOR;0:01:52.063;HYPERCAR;H;BMW M Team WRT;BMW;GF;139.741;88.802;108.912;
15;1;3;3:43.543;0;;32.464;0;1:26.206;0;1:44.873;0;219.4;12:57.153;21:52:57.153;0:32.464;1:26.206;1:44.873;253.3;Dries VANTHOOR;;HYPERCAR;H;BMW M Team WRT;BMW;GF;32.464;86.206;104.873;
15;1;4;3:23.659;2;;32.434;2;1:18.246;2;1:32.979;2;240.9;16:20.812;21:56:20.812;0:32.434;1:18.246;1:32.979;333.9;Dries VANTHOOR;;HYPERCAR;H;BMW M Team WRT;BMW;FF;32.434;78.246;92.979;
20;3;1;3:41.066;0;;41.558;0;1:22.423;0;1:37.085;0;219.5;3:41.066;21:43:41.066;0:41.558;1:22.423;1:37.085;327.8;Sheldon VAN DER LINDE;0:00:05.484;HYPERCAR;H;BMW M Team WRT;BMW;GF;41.558;82.423;97.085;
