POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;11;Classified;111;4:01:10.134;+30.323;+3.338;58;1:54.437;180.2;Capstone Motorsports;GS;B;;Mercedes-AMG GT GT4;M;1530;380;5;89;7643;3;;12261;;;Gary;Ferrera;Bronze;Littleton, CO;;;1735;1;Bronze;;;Kris;Wilson;Bronze;Golden, CO;;;423;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;3;Classified;111;4:01:12.375;+32.564;+2.241;93;1:53.900;181.1;JG Wentworth Racing by Infinity Autosport;GS;;;Toyota Supra GT4;M;1593;409;5;104;7662;3;;12278;;;Sheena;Monk;Bronze;Newtown, PA;;;1532;1;Bronze;;;Kyle;Marcelli;Gold;Toronto, ON;;;88;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;14;Classified;111;4:01:19.822;+40.011;+7.447;77;1:54.158;180.7;Riley Motorsports;GS;;;Toyota Supra GT4;M;919;35;5;104;7662;3;;12268;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;1;;;;Thiago;Camilo;Gold;Sao Paulo, Brazil;;;2590;2;Gold;;;Julian;Santero;Silver;Mendoza, Argentina;;;2752;3;Silver;;;;;;;;;;;;;;;;;;;;;
14;65;Classified;111;4:02:27.899;+1:48.088;+1:08.077;96;1:55.452;178.6;Murillo Racing;GS;B;;Mercedes-AMG GT GT4;M;766;212;5;89;7643;3;;12273;;;Brent;Mosing;Bronze;Lafayette, LA;;;492;2;Bronze;;;Tim;Probert;Bronze;Houston, TX;;;491;1;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;32;Classified;110;4:01:01.820;1 Lap;1 Lap;91;1:53.878;181.1;GMG Racing;GS;B;;Porsche 718 GT4 RS CS;M;1572;387;5;108;112;3;;12275;;;Kyle;Washington;Bronze;Indio, CA;;;2608;1;Bronze;;;James;Sofronas;Bronze;Villa Park, CA;;;106;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;68;Classified;110;4:01:13.019;1 Lap;+11.199;95;1:54.107;180.8;Smooge Racing;GS;;;Toyota Supra GT4;M;1578;401;5;104;7662;3;;12286;;;Kevin;Conway;Bronze;Charlotte, NC;;;745;2;Bronze;;;John;Geesbreght;Silver;Fort Worth, TX;;;2778;1;Silver;;;Jack;Hawksworth;Gold;Bradford, UK;;;838;3;Gold;;;;;;;;;;;;;;;;;;;;;
17;40;Classified;110;4:01:20.515;1 Lap;+7.496;78;1:54.542;180.1;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;12282;;;James;Pesek;Silver;Harrisonville, MO;;;1745;3;Silver;;;Chad;McCumbee;Silver;Shallotte, NC;;;461;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;6;Classified;110;4:01:35.805;1 Lap;+15.290;93;1:55.772;178.2;Forbush Performance;GS;;;Toyota Supra GT4;M;1521;389;5;104;7662;3;;12284;;;Tom;Long;Gold;Fort Mill, SC;;;622;3;Gold;;;Luke;Rumburg;;Beaverdam, VA;;;1555;2;;;;Nick;Galante;Silver;Greenfield, MA;;;784;4;Silver;;;;;;;;;;;;;;;;;;;;;
19;47;Classified;110;4:02:03.616;1 Lap;+27.811;94;1:53.669;181.5;NOLASPORT;GS;;;Porsche 718 GT4 RS CS;M;1581;403;5;108;112;3;;12276;;;Matt;Travis;Bronze;The Woodlands, TX;;;1686;5;Bronze;;;Jason;Hart;Silver;Flower Mound, TX;;;699;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;71;Classified;109;3:57:00.592;2 Laps;1 Lap;51;1:53.365;181.9;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;12289;;;Michael;Cooper;Silver;Huntington, NY;;;2550;3;Silver;;;Robin;Liddell;Silver;Edinburgh, Scotland;;;411;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
