POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;96;Classified;41;2:00:15.702;-;-;16;2:10.378;166.2;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2150;38;5;188;74;3;;14537;;;Robby;Foley;;Randolph, NJ;;;1302;2;Gold;;;Vincent;Barletta;;Canton, MA;;;1894;1;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;95;Classified;41;2:00:16.303;+0.601;+0.601;36;2:10.887;165.6;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2149;38;5;188;74;3;;14536;;;Robert;Megennis;;New York City, NY;;;2412;3;Silver;;;Cameron;Lawrence;;Lakeway, TX;;;446;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;71;Classified;41;2:00:16.515;+0.813;+0.212;37;2:10.837;165.6;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;14600;;;Frank;DePew;;Richmond, VA;;;1151;3;Bronze;;;Robin;Liddell;;Edinburgh, Scotland;;;411;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;27;Classified;41;2:00:19.227;+3.525;+2.712;36;2:10.981;165.4;Lone Star Racing;GS;;;Mercedes-AMG GT GT4;M;2337;224;5;227;7643;3;;14602;;;Anton;Dias Perera;;Memphis,TN;;;1987;1;Bronze;;;Scott;Andrews;;Torquay, Australia;;;1657;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;47;Classified;41;2:00:19.435;+3.733;+0.208;28;2:10.960;165.5;NOLASPORT;GS;;;Porsche 718 GT4 RS CS;M;2234;245;5;108;112;3;;14603;;;Adam;Adelson;;Los Angeles. CA;;;2868;3;Silver;;;Elliott;Skeer;;San Diego, CA;;;788;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;28;Classified;41;2:00:19.468;+3.766;+0.033;18;2:11.319;165.0;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;14523;;;Eric;Filgueiras;;Cocoa, FL;;;1662;1;Silver;;;Stevan;McAleer;;Glasgow, Scotland;;;460;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;56;Classified;41;2:00:19.680;+3.978;+0.212;36;2:11.120;165.3;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;2334;212;5;227;7643;3;;14570;;;Jeff;Mosing;;Austin, TX;;;487;2;Bronze;;;Eric;Foss;;Fort Worth, TX;;;488;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;46;Classified;41;2:00:20.005;+4.303;+0.325;36;2:11.589;164.7;Team TGM;GS;;;Aston Martin Vantage GT4;M;2137;79;5;56;73;3;;14520;;;Hugh;Plumb;;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;43;Classified;41;2:00:20.494;+4.792;+0.489;35;2:11.306;165.0;Stephen Cameron racing;GS;;;BMW M4 GT4 (G82);M;2263;220;5;188;74;3;;14529;;;Sean;Quinlan;;Palo Alto, CA;;;2172;1;Bronze;;;Gregory;Liefooghe;;San Francisco, CA;;;504;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;23;Classified;41;2:00:20.753;+5.051;+0.259;36;2:11.538;164.7;JTR Motorsports Engineering;GS;;;Mercedes-AMG GT GT4;M;2332;350;5;227;7643;3;;14641;;;Anthony;McIntosh;;Milwaukee, WI;;;2597;1;Bronze;;;Jared;Thomas;;North Vernon, IN;;;2427;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
