POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;42;Classified;107;4:01:24.951;-;-;5;1:52.813;182.8;PF Racing;GS;;;Ford Mustang GT4;M;2239;243;5;54;107;3;;14301;;;Harrison;Burton;;Huntersville, NC;;;2769;1;;;;Zane;Smith;;Huntington Beach, CA;;;3062;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;83;Classified;107;4:01:25.639;+0.688;+0.688;69;1:52.912;182.7;BGB Motorsports;GS;;;Porsche 718 GT4 RS CS;M;1597;157;5;108;112;3;;14283;;;Thomas;Collingwood;Bronze;St. John's, Netherlands;;;1796;1;Bronze;;;Jeroen;Bleekemolen;Gold;Aerdenhout, Netherlands;;;3007;2;Gold;;;Spencer;Pumpelly;Silver;Atlanta, GA;;;64;3;Silver;;;;;;;;;;;;;;;;;;;;;
3;41;Classified;107;4:01:29.426;+4.475;+3.787;71;1:52.665;183.1;PF Racing;GS;;;Ford Mustang GT4;M;708;243;5;54;107;3;;14300;;;Ben;Rhodes;;Louisville, KY;;;1843;2;;;;Hailie;Deegan;;Temecula, CA;;;2025;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;72;Classified;107;4:01:35.720;+10.769;+6.294;70;1:53.273;182.1;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;2302;212;5;214;7643;3;;14280;;;Kenny;Murillo;Silver;Santa Rosa, CA;;;1820;4;Silver;;;Christian;Szymczak;Silver;Oakland, CA;;;850;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;9;Classified;107;4:01:35.727;+10.776;+0.007;75;1:53.736;181.3;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;2220;95;5;56;73;3;;14293;;;Jim;Jonsin;;Nashville, TN;;;2988;2;;;;Tom;Long;Gold;Fort Mill, SC;;;622;1;Gold;;;Brett;Sandberg;Silver;Allendale, SC;;;340;3;Silver;;;;;;;;;;;;;;;;;;;;;
6;58;Classified;107;4:01:35.843;+10.892;+0.116;73;1:53.016;182.5;Crucial Motorsports;GS;;;McLaren Artura GT4;M;2237;400;5;201;7651;3;;14299;;;Michael;de Quesada;Silver;Tampa, FL;;;1136;1;Silver;;;Henry;O'Hara;;New York City;;;2989;2;;;;Aurora;Straus;Silver;Cold Spring, NY;;;1222;3;Silver;;;;;;;;;;;;;;;;;;;;;
7;23;Classified;107;4:01:36.726;+11.775;+0.883;103;1:53.538;181.7;JTR Motorsports Engineering;GS;;;Mercedes-AMG GT GT4;M;2296;350;5;214;7643;3;;14275;;;Anthony;McIntosh;Bronze;Milwaukee, WI;;;2597;1;Bronze;;;Jared;Thomas;;North Vernon, IN;;;2427;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;56;Classified;107;4:01:37.944;+12.993;+1.218;76;1:53.537;181.7;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;2303;212;5;214;7643;3;;14281;;;Jeff;Mosing;Bronze;Austin, TX;;;487;2;Bronze;;;Eric;Foss;;Fort Worth, TX;;;488;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;46;Classified;107;4:01:39.214;+14.263;+1.270;52;1:53.803;181.2;Team TGM;GS;;;Aston Martin Vantage GT4;M;2137;79;5;56;73;3;;14270;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;44;Classified;107;4:01:43.079;+18.128;+3.865;95;1:53.607;181.6;Accelerating Performance;GS;;;Aston Martin Vantage GT4;M;2145;416;5;56;73;3;;14277;;;Moisey;Uretsky;Bronze;Miami, FL;;;2465;1;Bronze;;;Justin;Piscitell;Silver;Wingdale, NY;;;493;2;Silver;;;Michael;Cooper;Silver;Huntington, NY;;;2550;3;Silver;;;;;;;;;;;;;;;;;;;;;
