NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;0;1;32:32.448;0;;30:48.355;0;1:10.900;0;33.193;0;12.9;32:32.448;16:22;30:48.355;1:10.900;0:33.193;233.3;Timo Bernhard;
1;0;2;2:02.438;0;;35.453;0;55.111;0;31.874;0;205.9;34:34.886;16:24;0:35.453;0:55.111;0:31.874;297.5;Timo Bernhard;
1;0;3;2:01.502;3;;35.032;1;54.651;3;31.819;2;207.5;36:36.388;16:26;0:35.032;0:54.651;0:31.819;300.0;Timo Bernhard;
1;0;4;2:13.964;0;B;34.911;3;59.315;0;39.738;0;188.2;38:50.352;16:28;0:34.911;0:59.315;0:39.738;302.5;Timo Bernhard;
10;0;1;38:40.744;0;;37:08.319;0;58.636;0;33.789;0;10.9;38:40.744;16:28;37:08.319;0:58.636;0:33.789;264.7;Nicolas Lapierre;
10;0;2;2:06.724;0;;35.984;2;57.167;0;33.573;0;199.0;40:47.468;16:30;0:35.984;0:57.167;0:33.573;288.0;Nicolas Lapierre;
10;0;3;2:05.482;2;;36.042;0;56.692;2;32.748;2;200.9;42:52.950;16:32;0:36.042;0:56.692;0:32.748;288.8;Nicolas Lapierre;
10;0;4;3:18.698;0;B;36.790;0;1:38.524;0;1:03.384;0;126.9;46:11.648;16:36;0:36.790;1:38.524;1:03.384;286.5;Nicolas Lapierre;
12;1;1;35:02.804;0;B;33:18.562;0;1:00.836;0;43.406;0;12.0;35:02.804;16:25;33:18.562;1:00.836;0:43.406;233.8;Nicolas Prost;
12;1;2;3:39.670;0;;2:06.478;0;58.857;0;34.335;0;114.8;38:42.474;16:28;2:06.478;0:58.857;0:34.335;261.5;Nicolas Prost;
12;1;3;2:07.064;0;;36.955;0;56.712;2;33.397;2;198.4;40:49.538;16:30;0:36.955;0:56.712;0:33.397;281.2;Nicolas Prost;
12;1;4;2:06.767;2;;36.785;2;;1;;1;198.9;42:56.305;16:32;0:36.785;;;282.0;Nicolas Prost;
12;1;5;3:17.642;0;B;38.266;0;1:35.068;0;1:04.308;0;127.6;46:13.947;16:36;0:38.266;1:35.068;1:04.308;276.2;Nicolas Prost;
13;0;1;42:33.774;0;;40:35.454;0;1:20.781;2;37.539;2;9.9;42:33.774;16:32;40:35.454;1:20.781;0:37.539;213.0;Andrea Belicchi;
13;0;2;2:24.934;0;B;36.884;2;;0;;0;174.0;44:58.708;16:34;0:36.884;;;273.4;Andrea Belicchi;
15;0;1;40:34.460;0;;38:57.080;0;1:03.514;0;33.866;2;10.4;40:34.460;16:30;38:57.080;1:03.514;0:33.866;228.8;Matthieu Lahaye;
15;0;2;2:07.729;2;;37.058;1;56.514;2;34.157;1;197.4;42:42.189;16:32;0:37.058;0:56.514;0:34.157;281.2;Matthieu Lahaye;
16;1;1;32:50.891;0;;31:14.755;0;1:01.866;0;34.270;0;12.8;32:50.891;16:22;31:14.755;1:01.866;0:34.270;230.3;Christophe Tinseau;
16;1;2;2:07.528;2;;36.951;1;57.091;2;33.486;2;197.7;34:58.419;16:24;0:36.951;0:57.091;0:33.486;279.8;Christophe Tinseau;
16;1;3;2:10.229;0;;37.813;0;58.453;0;33.963;0;193.6;37:08.648;16:27;0:37.813;0:58.453;0:33.963;278.4;Christophe Tinseau;
16;1;4;2:23.530;0;B;36.807;2;57.563;0;49.160;0;175.7;39:32.178;16:29;0:36.807;0:57.563;0:49.160;283.5;Christophe Tinseau;
2;1;1;32:17.613;0;;30:40.827;0;1:03.682;0;33.104;0;13.0;32:17.613;16:22;30:40.827;1:03.682;0:33.104;229.3;Andre Lotterer;
2;1;2;2:02.150;0;;35.129;0;55.266;0;31.755;3;206.4;34:19.763;16:24;0:35.129;0:55.266;0:31.755;299.2;Andre Lotterer;
2;1;3;2:05.807;0;;35.046;0;58.255;0;32.506;0;200.4;36:25.570;16:26;0:35.046;0:58.255;0:32.506;300.8;Andre Lotterer;
2;1;4;2:01.788;2;;35.004;0;54.725;2;32.059;0;207.0;38:27.358;16:28;0:35.004;0:54.725;0:32.059;300.8;Andre Lotterer;
2;1;5;2:02.128;0;;34.943;2;55.332;0;31.853;0;206.5;40:29.486;16:30;0:34.943;0:55.332;0:31.853;302.5;Andre Lotterer;
2;1;6;2:18.271;0;B;35.089;0;57.488;0;45.694;0;182.4;42:47.757;16:32;0:35.089;0:57.488;0:45.694;301.7;Andre Lotterer;
20;1;1;36:57.373;0;;35:14.258;0;1:06.603;0;36.512;0;11.4;36:57.373;16:26;35:14.258;1:06.603;0:36.512;121.1;Olivier Pla;
20;1;2;2:07.290;2;;37.106;2;56.607;2;33.577;2;198.1;39:04.663;16:29;0:37.106;0:56.607;0:33.577;275.5;Olivier Pla;
20;1;3;2:07.520;0;;37.197;0;56.682;0;33.641;0;197.7;41:12.183;16:31;0:37.197;0:56.682;0:33.641;276.9;Olivier Pla;
20;1;4;2:07.876;0;;37.218;0;56.914;0;33.744;0;197.2;43:20.059;16:33;0:37.218;0:56.914;0:33.744;277.6;Olivier Pla;
20;1;5;3:02.196;0;B;42.353;0;1:27.502;0;52.341;0;138.4;46:22.255;16:36;0:42.353;1:27.502;0:52.341;203.0;Olivier Pla;
23;2;1;34:15.948;0;;32:28.735;0;1:05.685;0;41.528;0;12.3;34:15.948;16:24;32:28.735;1:05.685;0:41.528;163.4;Giacomo Piccini;
23;2;2;2:09.980;0;;37.878;0;57.881;0;34.221;0;194.0;36:25.928;16:26;0:37.878;0:57.881;0:34.221;265.4;Giacomo Piccini;
23;2;3;2:08.821;2;;37.763;0;57.019;2;34.039;2;195.7;38:34.749;16:28;0:37.763;0:57.019;0:34.039;268.7;Giacomo Piccini;
23;2;4;2:29.551;0;;37.634;1;1:06.648;0;45.269;0;168.6;41:04.300;16:31;0:37.634;1:06.648;0:45.269;270.0;Giacomo Piccini;
23;2;5;2:09.547;0;;37.934;0;57.449;0;34.164;0;194.6;43:13.847;16:33;0:37.934;0:57.449;0:34.164;268.7;Giacomo Piccini;
23;2;6;3:06.002;0;B;37.500;2;1:23.324;0;1:05.178;0;135.6;46:19.849;16:36;0:37.500;1:23.324;1:05.178;269.3;Giacomo Piccini;
26;0;1;36:15.415;0;;34:36.986;0;1:01.091;0;37.338;0;11.6;36:15.415;16:26;34:36.986;1:01.091;0:37.338;246.0;Franck Mailleux;
26;0;2;2:11.648;0;;38.388;0;58.612;0;34.648;0;191.5;38:27.063;16:28;0:38.388;0:58.612;0:34.648;260.2;Franck Mailleux;
26;0;3;2:10.474;2;;38.314;2;57.642;2;34.518;2;193.3;40:37.537;16:30;0:38.314;0:57.642;0:34.518;262.1;Franck Mailleux;
26;0;4;2:30.248;0;B;38.867;0;1:05.367;0;46.014;0;167.8;43:07.785;16:33;0:38.867;1:05.367;0:46.014;256.5;Franck Mailleux;
3;1;1;32:21.473;0;;30:47.107;0;1:00.546;0;33.820;2;13.0;32:21.473;16:22;30:47.107;1:00.546;0:33.820;253.5;Tom Kristensen;
3;1;2;2:02.645;0;;35.521;0;;1;;1;205.6;34:24.118;16:24;0:35.521;;;297.5;Tom Kristensen;
