NUMBER;DRIVER_NUMBER;LAP_NUMBER;LAP_TIME;LAP_IMPROVEMENT;CROSSING_FINISH_LINE_IN_PIT;S1;S1_IMPROVEMENT;S2;S2_IMPROVEMENT;S3;S3_IMPROVEMENT;KPH;ELAPSED;HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS
2;3;1;2:23.837;1;;39.691;1;37.835;1;1:06.311;1;145.0;2:23.837;16:01:55.101;0:39.691;0:37.835;1:06.311;195;Picariello;;Pro;;Boutsen VDS;Porsche;SC;39.691;37.835;66.311
2;3;2;4:22.485;0;;1:46.522;0;1:18.727;0;1:17.236;0;79.5;6:46.322;16:06:17.586;1:46.522;1:18.727;1:17.236;47;Picariello;;Pro;;Boutsen VDS;Porsche;SC;106.522;78.727;77.236
2;3;3;3:26.896;0;;1:24.734;0;1:00.467;0;1:01.695;1;100.8;10:13.218;16:09:44.482;1:24.734;1:00.467;1:01.695;88;Picariello;;Pro;;Boutsen VDS;Porsche;SC;84.734;60.467;61.695
2;3;4;2:52.874;0;;1:07.129;0;52.842;0;52.903;1;120.6;13:06.092;16:12:37.356;1:07.129;0:52.842;0:52.903;116;Picariello;;Pro;;Boutsen VDS;Porsche;SC;67.129;52.842;52.903
2;3;5;2:38.871;0;;49.951;0;50.011;0;58.909;0;131.3;15:44.963;16:15:16.227;0:49.951;0:50.011;0:58.909;129;Picariello;;Pro;;Boutsen VDS;Porsche;SC;49.951;50.011;58.909
2;3;6;2:50.961;0;;1:00.210;0;56.835;0;53.916;0;122.0;18:35.924;16:18:07.188;1:00.210;0:56.835;0:53.916;132;Picariello;;Pro;;Boutsen VDS;Porsche;GF;60.210;56.835;53.916
2;3;7;1:49.793;1;;35.369;1;37.086;1;37.338;1;189.9;20:25.717;16:19:56.981;0:35.369;0:37.086;0:37.338;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;35.369;37.086;37.338
2;3;8;1:48.840;1;;34.811;1;36.859;1;37.170;1;191.6;22:14.557;16:21:45.821;0:34.811;0:36.859;0:37.170;265;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.811;36.859;37.170
2;3;9;1:48.169;1;;34.600;1;36.745;1;36.824;1;192.8;24:02.726;16:23:33.990;0:34.600;0:36.745;0:36.824;266;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.600;36.745;36.824
2;3;10;1:47.938;1;;34.416;1;36.698;1;36.824;0;193.2;25:50.664;16:25:21.928;0:34.416;0:36.698;0:36.824;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.416;36.698;36.824
2;3;11;1:47.498;1;;34.446;0;36.436;1;36.616;1;194.0;27:38.162;16:27:09.426;0:34.446;0:36.436;0:36.616;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.446;36.436;36.616
2;3;12;1:47.854;0;;34.356;1;36.854;0;36.644;0;193.4;29:26.016;16:28:57.280;0:34.356;0:36.854;0:36.644;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.356;36.854;36.644
2;3;13;1:47.321;1;;34.257;1;36.459;0;36.605;1;194.3;31:13.337;16:30:44.601;0:34.257;0:36.459;0:36.605;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.257;36.459;36.605
2;3;14;1:47.307;1;;34.282;0;36.358;1;36.667;0;194.3;33:00.644;16:32:31.908;0:34.282;0:36.358;0:36.667;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.282;36.358;36.667
2;3;15;1:47.187;1;;34.230;1;36.487;0;36.470;1;194.6;34:47.831;16:34:19.095;0:34.230;0:36.487;0:36.470;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.230;36.487;36.470
2;3;16;1:47.060;1;;34.185;1;36.401;0;36.474;0;194.8;36:34.891;16:36:06.155;0:34.185;0:36.401;0:36.474;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.185;36.401;36.474
2;3;17;1:47.025;1;;34.192;0;36.353;1;36.480;0;194.9;38:21.916;16:37:53.180;0:34.192;0:36.353;0:36.480;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.192;36.353;36.480
2;3;18;1:47.137;0;;34.209;0;36.472;0;36.456;1;194.7;40:09.053;16:39:40.317;0:34.209;0:36.472;0:36.456;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.209;36.472;36.456
2;3;19;1:47.027;0;;34.227;0;36.211;1;36.589;0;194.9;41:56.080;16:41:27.344;0:34.227;0:36.211;0:36.589;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.227;36.211;36.589
2;3;20;1:47.167;0;;34.263;0;36.316;0;36.588;0;194.6;43:43.247;16:43:14.511;0:34.263;0:36.316;0:36.588;267;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.263;36.316;36.588
2;3;21;1:47.370;0;;34.190;0;36.643;0;36.537;0;194.2;45:30.617;16:45:01.881;0:34.190;0:36.643;0:36.537;268;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.190;36.643;36.537
2;3;22;1:47.379;0;;34.367;0;36.348;0;36.664;0;194.2;47:17.996;16:46:49.260;0:34.367;0:36.348;0:36.664;266;Picariello;;Pro;;Boutsen VDS;Porsche;GF;34.367;36.348;36.664
