POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;18;14;1:18.352;+2.716;+0.344;180.3;42;Era Motorsport;LMP2;;;ORECA LMP2 07;M;761;291;28;85;7637;3;;15262;;;Dwight;Merriman;Bronze;;USA;;1930;1;Bronze;;;Ryan;Dalziel;Gold;;GBR;;192;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;13;23;1:21.868;+6.232;+3.516;172.6;23;AWA;LMP3;;;Duqueine D08;M;1675;217;36;105;7665;3;;15263;;;Orey;Fidani;Bronze;;CAN;;973;3;Bronze;;;Matthew;Bell;Gold;;GBR;;424;4;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;17;5;1:22.644;+7.008;+0.776;171.0;22;AWA;LMP3;;;Duqueine D08;M;2108;217;36;105;7665;3;;15264;;;Anthony;Mantella;Bronze;;CAN;;2682;2;Bronze;;;Wayne;Boyd;Gold;;GBR;;3002;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;5;1:24.940;+9.304;+2.296;166.4;27;Paul Miller Racing;GTD;;;BMW M4 GT3;M;1558;34;4;111;74;3;;15255;;;Bryan;Sellers;Gold;;USA;;18;1;Gold;;;Madison;Snow;Silver;;USA;;155;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;80;12;1:25.252;+9.616;+0.312;165.8;37;AO Racing;GTD;;;Porsche 911 GT3 R (992);M;2204;466;4;192;112;3;;15258;;;PJ;Hyett;Bronze;;USA;;2947;1;Bronze;;;Seb;Priaulx;Gold;;GBR;;3009;2;Gold;;;Gunnar;Jeannette;Silver;;USA;;308;3;Silver;;;;;;;;;;;;;;;;;;;;;
16;32;16;1:25.365;+9.729;+0.113;165.5;30;Team Korthoff Motorsports;GTD;;;Mercedes-AMG GT3;M;2335;463;4;224;7643;3;;15253;;;Mikael;Grenier;Gold;;CAN;;1624;3;Gold;;;Mike;Skeen;Silver;;USA;;830;4;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;14;4;1:25.607;+9.971;+0.242;165.1;21;Vasser Sullivan;GTDPRO;;;Lexus RC F GT3;M;2250;336;41;46;7644;3;;15259;;;Jack;Hawksworth;Gold;;GBR;;838;2;Gold;;;Ben;Barnicoat;Platinum;;GBR;;2620;1;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;77;38;1:25.653;+10.017;+0.046;165.0;43;Wright Motorsports;GTD;;;Porsche 911 GT3 R (992);M;2185;111;4;192;112;3;;15257;;;Alan;Brynjolfsson;Bronze;;USA;;1271;1;Bronze;;;Trent;Hindman;Gold;;USA;;244;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;12;6;1:25.675;+10.039;+0.022;164.9;15;Vasser Sullivan;GTD;;;Lexus RC F GT3;M;931;336;4;46;7644;3;;15256;;;Frankie;Montecalvo;Silver;;USA;;1279;1;Silver;;;Aaron;Telitz;Gold;;USA;;1780;2;Gold;;;Parker;Thompson;Silver;;CAN;;1877;4;Silver;;;;;;;;;;;;;;;;;;;;;
20;78;12;1:25.747;+10.111;+0.072;164.8;31;Forte Racing Powered by USRT;GTD;;;Lamborghini Huracan GT3 EVO2;M;2156;396;4;194;1609;3;;15254;;;Misha;Goikhberg;Silver;;CAN;;168;1;Silver;;;Patrick;Liddy;Silver;;USA;;1695;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;04;0;;;;;5;Crowdstrike Racing by APR;LMP2;;;ORECA LMP2 07;M;2160;459;28;85;7637;3;;15261;;;George;Kurtz;Bronze;;USA;;1612;1;Bronze;;;Ben;Hanley;Gold;;GBR;;1275;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
