POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;7;17;1:15.636;-;-;186.8;32;Porsche Penske Motorsports;GTP;;;Porsche 963;M;2190;200;44;193;112;3;;15269;;;Matt;Campbell;Platinum;;AUS;;1791;1;Platinum;;;Felipe;Nasr;Platinum;;BRA;;1598;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;25;32;1:15.769;+0.133;+0.133;186.5;36;BMW M Team RLL;GTP;;;BMW M Hybrid V8;M;2155;395;44;190;74;3;;15267;;;Jesse;Krohn;Gold;;FIN;;3150;1;Gold;;;Colton;Herta;Gold;;USA;;1602;5;Gold;;;Connor;De Phillippi;Gold;;USA;;698;2;Gold;;;;;;;;;;;;;;;;;;;;;
3;6;19;1:15.840;+0.204;+0.071;186.3;34;Porsche Penske Motorsports;GTP;;;Porsche 963;M;2189;200;44;193;112;3;;15270;;;Nick;Tandy;Platinum;;GBR;;124;1;Platinum;;;Mathieu;Jaminet;Platinum;;FRA;;1449;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;01;15;1:16.060;+0.424;+0.220;185.8;26;Cadillac Racing;GTP;;;Cadillac V-LMDh;M;2398;339;44;200;7646;3;;15271;;;Sebastien;Bourdais;Platinum;;FRA;;602;2;Platinum;;;Renger;van der Zande;Platinum;;NLD;;1998;1;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;30;1:16.075;+0.439;+0.015;185.7;33;Whelen Engineering Cadillac Racing;GTP;;;Cadillac V-LMDh;M;2399;344;44;200;7646;3;;15266;;;Pipo;Derani;Platinum;;BRA;;1083;3;Platinum;;;Alexander;Sims;Platinum;;GBR;;1261;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;10;25;1:16.112;+0.476;+0.037;185.7;33;Konica Minolta Acura ARX-06;GTP;;;Acura ARX-06;M;2191;234;44;195;7641;3;;15272;;;Ricky;Taylor;Platinum;;USA;;608;1;Platinum;;;Filipe;Albuquerque;Platinum;;PRT;;1194;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;5;41;1:16.333;+0.697;+0.221;185.1;43;JDC Miller MotorSports;GTP;;;Porsche 963;M;2276;15;44;193;112;3;;15273;;;Tijmen;van der Helm;Gold;;NLD;;2687;1;Gold;;;Mike;Rockenfeller;Platinum;;CHE;;625;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;60;21;1:16.344;+0.708;+0.011;185.1;27;Meyer Shank Racing w/ Curb Agajanian;GTP;;;Acura ARX-06;M;2267;3;44;195;7641;3;;15265;;;Tom;Blomqvist;Platinum;;MCO;;1718;1;Platinum;;;Colin;Braun;Gold;;USA;;61;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;24;8;1:17.001;+1.365;+0.657;183.5;17;BMW M Team RLL;GTP;;;BMW M Hybrid V8;M;2154;395;44;190;74;3;;15268;;;Jesse;Krohn;Gold;;FIN;;3150;1;Gold;;;Connor;De Phillippi;Gold;;USA;;698;2;Gold;;;Colton;Herta;Gold;;USA;;1602;5;Gold;;;;;;;;;;;;;;;;;;;;;
10;11;15;1:18.008;+2.372;+1.007;181.1;50;TDS Racing;LMP2;;;ORECA LMP2 07;M;2166;335;28;85;7637;3;;15260;;;Steven;Thomas;Bronze;;USA;;1919;1;Bronze;;;Mikkel;Jensen;Platinum;;DNK;;2088;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
