POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;56;8;1:39.962;-;-;141.4;16;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;2334;212;5;227;7643;3;;15278;;;Jeff;Mosing;Bronze;Austin, TX;;;487;2;Bronze;;;Eric;Foss;;Fort Worth, TX;;;488;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;72;7;1:40.478;+0.516;+0.516;140.6;16;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;2333;212;5;227;7643;3;;15279;;;Kenny;Murillo;Silver;Santa Rosa, CA;;;1820;4;Silver;;;Christian;Szymczak;Silver;Oakland, CA;;;850;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;59;9;1:40.622;+0.660;+0.144;140.4;17;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;15275;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;Luca;Mars;Silver;Sewickley, PA;;;2469;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;33;3;1:42.482;+2.520;+1.860;137.9;3;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;15283;;;Robert;Wickens;Silver;Guelph, ON;;;1286;2;Silver;;;Harry;Gottsacker;Silver;San Antonio, TX;;;1456;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;98;6;1:43.212;+3.250;+0.730;136.9;11;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;15284;;;Mark;Wilkins;Gold;Mulmur, ON;;;317;1;Gold;;;Mason;Filippi;Silver;Alamo, CA;;;1829;4;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;89;5;1:43.619;+3.657;+0.407;136.4;18;HART;TCR;;;Honda Civic FK7 TCR;M;2143;76;22;97;2081;3;;15281;;;Chad;Gilsinger;Bronze;Marysville, OH;;;517;1;Bronze;;;Steve;Eich;Bronze;Marysville, OH;;;516;4;Bronze;;;Tyler;Chambers;;Dayton, OH;;;3098;3;;;;;;;;;;;;;;;;;;;;;;
7;1;5;1:48.111;+8.149;+4.492;130.7;5;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;1547;255;22;98;7660;3;;15282;;;Michael;Lewis;Gold;Laguna Beach, CA;;;730;2;Gold;;;Taylor;Hagler;;San Antonio, TX;;;1921;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;14;0;;;;;0;Ave Motorsports;GS;;;Toyota GR Supra GT4 EVO;M;2221;163;5;202;7662;3;;15280;;;Diego;Azar;;Del Viso, Argentina;;;2934;1;;;;Marco;Galanti;;Asuncion, Paraguay;;;3142;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;28;0;;;;;0;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;15274;;;Eric;Filgueiras;Silver;Cocoa, FL;;;1662;1;Silver;;;Stevan;McAleer;Silver;Glasgow, Scotland;;;460;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;46;0;;;;;0;Team TGM;GS;;;Aston Martin Vantage GT4;M;2137;79;5;56;73;3;;15277;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;64;0;;;;;0;Team TGM;GS;;;Aston Martin Vantage GT4;M;2138;79;5;56;73;3;;15276;;;Ted;Giovanis;Bronze;Highland, MD;;;489;1;Bronze;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
