NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;2;1;2:18.812;0;;41.551;0;1:02.533;0;34.728;0;181.6;2:18.812;09:57;0:41.551;1:02.533;0:34.728;233.3;Mike Rockenfeller;
1;2;2;2:08.642;0;;35.935;0;57.551;0;35.156;0;196.0;4:27.454;09:59;0:35.935;0:57.551;0:35.156;295.9;Mike Rockenfeller;
1;2;3;2:08.651;0;;35.764;0;58.098;0;34.789;0;196.0;6:36.105;10:01;0:35.764;0:58.098;0:34.789;298.3;Mike Rockenfeller;
1;2;4;2:09.257;0;;35.657;1;58.465;0;35.135;0;195.1;8:45.362;10:03;0:35.657;0:58.465;0:35.135;297.5;Mike Rockenfeller;
1;2;5;2:06.488;0;;36.463;0;56.979;1;33.046;1;199.3;10:51.850;10:05;0:36.463;0:56.979;0:33.046;296.7;Mike Rockenfeller;
1;2;6;2:13.485;0;B;35.466;2;56.749;2;41.270;0;188.9;13:05.335;10:08;0:35.466;0:56.749;0:41.270;298.3;Mike Rockenfeller;
1;1;7;3:42.087;0;;2:08.852;0;58.553;0;34.682;0;113.5;16:47.422;10:11;2:08.852;0:58.553;0:34.682;270.7;Romain Dumas;
1;1;8;2:06.445;0;;35.721;1;58.252;0;32.472;2;199.4;18:53.867;10:13;0:35.721;0:58.252;0:32.472;298.3;Romain Dumas;
1;1;9;2:06.139;2;;36.210;0;57.115;1;32.814;0;199.9;21:00.006;10:16;0:36.210;0:57.115;0:32.814;292.7;Romain Dumas;
10;0;1;2:15.881;0;;37.913;0;1:03.610;0;34.358;0;185.6;2:15.881;09:57;0:37.913;1:03.610;0:34.358;237.4;Nicolas Lapierre;
10;0;2;2:09.349;2;;36.870;0;59.063;0;33.416;2;194.9;4:25.230;09:59;0:36.870;0:59.063;0:33.416;282.7;Nicolas Lapierre;
