POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
12;24;Classified;110;4:01:51.559;+30.540;+5.879;64;1:55.884;178.0;Ian Lacy Racing;GS;;;Ford Mustang GT4;M;589;254;5;54;107;3;;7005;;;Frank;Gannett II;Bronze;Walnut, CA;;;1795;1;Bronze;;;Drew;Staveley;Silver;Walnut, CA;;;1797;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;71;Classified;110;4:01:53.081;+32.062;+1.522;27;1:55.120;179.2;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;6743;;;Frank;DePew;;Edinburgh, Scotland;;;1151;3;;;;Robin;Liddell;Silver;Edinburgh, Scotland;;;411;1;Silver;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;;;;;;;;;;;;;;;;;;;
14;64;Classified;109;4:01:25.423;1 Lap;1 Lap;41;1:55.805;178.1;TGM Racing LLC;GS;;;Chevrolet Camaro GT4.R;M;752;221;5;63;105;3;;6340;;;Ted;Giovanis;;Nashville,TN;;;489;1;;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;99;Classified;109;4:01:26.266;1 Lap;+0.843;44;1:55.129;179.1;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;624;95;5;56;73;3;;6938;;;Kris;Wilson;Bronze;Houston, TX;;;423;1;Bronze;;;Gary;Ferrera;;Houston, TX;;;1735;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;38;Classified;109;4:01:49.277;1 Lap;+23.011;73;1:55.724;178.2;BGB Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;801;157;5;1;112;3;;6995;;;Thomas;Collingwood;Bronze;Daytona Beach, FL;;;1796;3;Bronze;;;John;Tecce;Bronze;Daytona Beach, FL;;;1268;2;Bronze;;;Jan;Heylen;Silver;Dunedin Florida;;;184;1;Silver;;;;;;;;;;;;;;;;;;;;;
17;09;Classified;109;4:01:49.869;1 Lap;+0.592;98;1:55.393;178.7;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;625;95;5;56;73;3;;7001;;;Rob;Ecklin;;Palm Beach Gardens, FL;;;452;2;;;;Ramin;Abdolvahabi;Bronze;Palm Beach Gardens, FL;;;520;1;Bronze;;;Brandon;Kidd;;Syracuse, NY;;;1581;3;;;;;;;;;;;;;;;;;;;;;;
18;3;Classified;109;4:02:15.923;1 Lap;+26.054;3;1:56.436;177.1;M1 Racing LLC;GS;;;McLaren 570S GT4;M;816;321;5;88;7651;3;;7013;;;Sheena;Monk;Silver;Nazareth, PA;;;1532;1;Silver;;;Corey;Lewis;Silver;Nazareth, PA;;;763;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;80;Classified;108;4:01:24.837;2 Laps;1 Lap;66;1:55.172;179.1;BimmerWorld;GS;;;BMW M4 GT4;M;627;73;5;68;74;3;;6388;;;Dillon;Machavern;Silver;Greenfield, MA;;;463;3;Silver;;;Nick;Galante;;Greenfield, MA;;;784;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;51;Classified;108;4:01:29.509;2 Laps;+4.672;63;1:55.953;177.9;MCC MOTORSPORT;GS;;;Mercedes-AMG GT GT4;M;777;298;5;89;7643;3;;6710;;;Leo;Sanchez;;Sorocaba;;;2031;1;;;;Atila;Abreu;Gold;Sorocaba;;;2036;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;14;Classified;108;4:01:41.550;2 Laps;+12.041;93;1:56.095;177.7;Bluff City Racing / Autometrics Motorsports;GS;;;Mercedes-AMG GT GT4;M;771;297;5;89;7643;3;;6612;;;Anton;Dias Perera;;Charleston SC;;;1987;1;;;;Cory;Friedman;Bronze;Charleston SC;;;474;3;Bronze;;;Dan;Clarke;Silver;Maidenhead, UK;;;842;2;Silver;;;;;;;;;;;;;;;;;;;;;
22;26;Classified;107;4:01:21.560;3 Laps;1 Lap;87;1:55.345;178.8;Fast Track Racing;GS;;;BMW M4 GT4;M;480;216;5;68;74;3;;6815;;;Stevan;McAleer;Silver;Peebles, Scotland;;;460;3;Silver;;;Robbie;Dalgleish;;Peebles, Scotland;;;1945;1;;;;Beitske;Visser;Silver;Uitwellingerga, Netherlan;;;1946;2;Silver;;;;;;;;;;;;;;;;;;;;;
23;7;Classified;107;4:01:23.774;3 Laps;+2.214;3;1:55.208;179.0;Archangel Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;782;300;5;78;112;3;;6754;;;Alan;Brynjolfsson;Bronze;Wayside, New Jersey;;;1271;1;Bronze;;;Trent;Hindman;Silver;Wayside, New Jersey;;;244;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;61;Classified;107;4:01:56.175;3 Laps;+32.401;80;2:00.208;171.6;Road Shagger Racing;TCR;;;Audi RS3 LMS TCR;M;764;225;22;84;909;3;;6551;;;Gavin;Ernstone;;San Francisco, CA;;;1652;1;;;;Jon;Morley;Bronze;San Francisco, CA;;;2022;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;32;Classified;107;4:01:56.971;3 Laps;+0.796;64;2:00.068;171.8;Speed Syndicate Motorsports;TCR;;;Audi RS3 LMS TCR;M;814;314;22;84;909;3;;6999;;;William;Tally;;Pretoria;;;2039;1;;;;Mikey;Taylor;;Pretoria;;;791;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;54;Classified;107;4:01:58.986;3 Laps;+2.015;63;2:00.423;171.3;JDC-Miller MotorSports;TCR;;;Audi RS3 LMS TCR;M;755;270;22;84;909;3;;7006;;;Michael;Johnson;;Cape Town, S. Africa;;;261;1;;;;Stephen;Simpson;Silver;Cape Town, S. Africa;;;765;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
