POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;18;Classified;800;24:01:38.234;33 Laps;9 Laps;646;1:37.519;211.5;Era Motorsport;LMP2;;;ORECA LMP2 07;M;761;291;28;85;7637;3;;6529;;;Nic;Minassian;Platinum;;FRA;;1084;4;Platinum;;;Dwight;Merriman;Bronze;;USA;;1930;1;Bronze;;;Kyle;Tilley;Silver;;GBR;;1079;2;Silver;;;Ryan;Lewis;Silver;;GBR;;72;3;Silver;;;;;;;;;;;;;;;
12;8;Classified;798;24:01:59.613;35 Laps;2 Laps;592;1:36.043;214.8;Tower Motorsport by Starworks;LMP2;;;ORECA LMP2 07;M;788;151;28;85;7637;3;;6817;;;John;Farano;Bronze;;CAN;;441;1;Bronze;;;Ryan;Dalziel;Gold;;GBR;;192;2;Gold;;;David;Heinemeier Hansson;Silver;;DNK;;78;3;Silver;;;Nicolas;Lapierre;Platinum;;FRA;;2015;4;Platinum;;;;;;;;;;;;;;;
13;24;Classified;786;24:00:44.813;47 Laps;12 Laps;752;1:42.168;201.9;BMW Team RLL;GTLM;;;BMW M8 GTE;M;434;17;3;66;74;3;;6270;;;Jesse;Krohn;Gold;;FIN;;2005;1;Gold;;;John;Edwards;Platinum;;USA;;942;2;Platinum;;;Chaz;Mostert;Gold;;AUS;;1753;3;Gold;;;Augusto;Farfus;Platinum;;BRA;;701;4;Platinum;;;;;;;;;;;;;;;
14;912;Classified;786;24:00:58.823;47 Laps;+14.010;634;1:42.546;201.1;Porsche GT Team;GTLM;;;Porsche 911 RSR - 19;M;740;174;3;87;112;3;;6172;;;Earl;Bamber;Platinum;;NZL;;651;4;Platinum;;;Laurens;Vanthoor;Platinum;;BEL;;1241;2;Platinum;;;Mathieu;Jaminet;Gold;;FRA;;1449;3;Gold;;;;;;;;;;;;;;;;;;;;;
15;911;Classified;786;24:01:03.003;47 Laps;+4.180;609;1:42.674;200.9;Porsche GT Team;GTLM;;;Porsche 911 RSR - 19;M;739;174;3;87;112;3;;6160;;;Nick;Tandy;Platinum;;GBR;;124;2;Platinum;;;Fred;Makowiecki;Platinum;;FRA;;2003;3;Platinum;;;Matt;Campbell;Gold;;AUS;;1791;4;Gold;;;;;;;;;;;;;;;;;;;;;
16;3;Classified;785;24:00:37.021;48 Laps;1 Lap;613;1:42.364;201.5;Corvette Racing;GTLM;;;Chevrolet Corvette C8.R;M;748;23;3;83;105;3;;6294;;;Antonio;Garcia;Platinum;;ESP;;12;1;Platinum;;;Jordan;Taylor;Platinum;;USA;;13;2;Platinum;;;Nicky;Catsburg;Platinum;;NLD;;1113;3;Platinum;;;;;;;;;;;;;;;;;;;;;
17;25;Classified;772;24:02:08.431;61 Laps;13 Laps;125;1:43.460;199.4;BMW Team RLL;GTLM;;;BMW M8 GTE;M;412;17;3;66;74;3;;6282;;;Bruno;Spengler;Platinum;;CAN;;903;1;Platinum;;;Connor;De Phillippi;Gold;;USA;;698;2;Gold;;;Philipp;Eng;Platinum;;AUT;;883;4;Platinum;;;Colton;Herta;Gold;;USA;;1602;5;Gold;;;;;;;;;;;;;;;
18;48;Classified;765;24:01:46.706;68 Laps;7 Laps;511;1:45.367;195.7;Paul Miller Racing;GTD;;;Lamborghini Huracan GT3;M;34;34;4;13;1609;3;;6825;;;Bryan;Sellers;Gold;;USA;;18;1;Gold;;;Madison;Snow;Silver;;USA;;155;2;Silver;;;Corey;Lewis;Silver;;USA;;763;3;Silver;;;Andrea;Caldarelli;Gold;;USA;;2016;4;Gold;;;;;;;;;;;;;;;
19;44;Classified;765;24:02:08.614;68 Laps;+21.908;645;1:45.399;195.7;GRT Magnus;GTD;;;Lamborghini Huracan GT3;M;32;32;4;13;1609;3;;6484;;;Marco;Mapelli;Gold;;ITA;;1283;4;Gold;;;Spencer;Pumpelly;Silver;;USA;;64;3;Silver;;;John;Potter;Bronze;;USA;;670;1;Bronze;;;Andy;Lally;Gold;;USA;;25;2;Gold;;;;;;;;;;;;;;;
20;88;Classified;764;24:01:12.054;69 Laps;1 Lap;445;1:45.202;196.1;WRT Speedstar Audi Sport;GTD;;;Audi R8 LMS GT3;M;781;299;4;12;909;3;;6740;;;Mirko;Bortolotti;Platinum;;ITA;;1102;1;Platinum;;;Rolf;Ineichen;Silver;;CHE;;662;2;Silver;;;Daniel;Morad;Silver;;CAN;;1144;3;Silver;;;Dries;Vanthoor;Gold;;BEL;;1786;4;Gold;;;;;;;;;;;;;;;
21;16;Classified;764;24:01:17.926;69 Laps;+5.872;561;1:45.728;195.1;Wright Motorsports;GTD;;;Porsche 911 GT3 R;M;441;111;4;14;112;3;;6251;;;Ryan;Hardwick;Bronze;;USA;;1256;1;Bronze;;;Patrick;Long;Platinum;;USA;;27;2;Platinum;;;Anthony;Imperato;;;USA;;807;3;;;;Klaus;Bachler;Gold;;AUT;;663;4;Gold;;;;;;;;;;;;;;;
22;54;Classified;763;24:01:44.465;70 Laps;1 Lap;389;1:45.397;195.7;BLACK SWAN RACING;GTD;;;Porsche 911 GT3 R;M;784;30;4;14;112;3;;6775;;;Tim;Pappas;Bronze;;USA;;1158;1;Bronze;;;Jeroen;Bleekemolen;Gold;;NLD;;186;2;Gold;;;Trenton;Estep;Silver;;USA;;1353;3;Silver;;;Sven;Muller;Gold;;DEU;;1101;4;Gold;;;;;;;;;;;;;;;
23;96;Classified;763;24:01:54.602;70 Laps;+10.137;615;1:45.534;195.4;Turner Motorsport;GTD;;;BMW M6 GT3;M;38;38;4;17;74;3;;6516;;;Jens;Klingmann;Gold;;DEU;;902;4;Gold;;;Dillon;Machavern;Silver;;USA;;463;3;Silver;;;Bill;Auberlen;Gold;;USA;;1991;1;Gold;;;Robby;Foley;Silver;;USA;;1302;2;Silver;;;;;;;;;;;;;;;
24;63;Classified;763;24:02:12.968;70 Laps;+18.366;388;1:46.073;194.4;Scuderia Corsa;GTD;;;Ferrari 488 GT3;M;37;25;4;16;106;3;;6459;;;Cooper;MacNeil;Silver;;USA;;113;1;Silver;;;Toni;Vilander;Platinum;;FIN;;21;2;Platinum;;;Jeff;Westphal;Silver;;USA;;682;3;Silver;;;Alessandro;Balzan;Gold;;ITA;;681;4;Gold;;;;;;;;;;;;;;;
25;57;Classified;762;24:00:45.363;71 Laps;1 Lap;444;1:46.047;194.5;Heinricher Racing w/MSR Curb-Agajanian;GTD;;;Acura NSX GT3;M;807;268;4;43;7641;3;;7002;;;Alvaro;Parente;Platinum;;PRT;;1583;1;Platinum;;;Misha;Goikhberg;Silver;;RUS;;168;2;Silver;;;Trent;Hindman;Silver;;USA;;244;3;Silver;;;AJ;Allmendinger;Gold;;USA;;619;4;Gold;;;;;;;;;;;;;;;
26;14;Classified;757;24:00:39.164;76 Laps;5 Laps;281;1:46.131;194.3;AIM VASSER SULLIVAN;GTD;;;Lexus RC F GT3;M;754;251;4;82;7644;3;;6364;;;Parker;Chase;Silver;;USA;;1137;1;Silver;;;Jack;Hawksworth;Gold;;GBR;;838;2;Gold;;;Kyle;Busch;Platinum;;USA;;2012;3;Platinum;;;Michael;De Quesada;Silver;;USA;;1136;4;Silver;;;;;;;;;;;;;;;
27;38;Classified;756;23:13:40.267;77 Laps;1 Lap;362;1:37.752;211.0;Performance Tech Motorsports;LMP2;;;ORECA LMP2 07;M;779;289;28;85;7637;3;;6713;;;Cameron;Cassels;Bronze;;CAN;;1001;1;Bronze;;;Kyle;Masson;Silver;;USA;;1133;5;Silver;;;Robert;Masson;Bronze;;USA;;1343;3;Bronze;;;Don;Yount;Bronze;;USA;;399;4;Bronze;;;;;;;;;;;;;;;
28;86;Classified;747;24:01:03.155;86 Laps;9 Laps;481;1:46.156;194.3;Meyer Shank Racing w/Curb-Agajanian;GTD;;;Acura NSX GT3;M;239;3;4;43;7641;3;;6993;;;Mario;Farnbacher;Gold;;DEU;;318;1;Gold;;;Matt;McMurry;Silver;;USA;;393;2;Silver;;;Shinya;Michimi;Silver;;USA;;1057;3;Silver;;;Jules;Gounon;Gold;;FRA;;1224;4;Gold;;;;;;;;;;;;;;;
29;74;Classified;740;24:00:40.624;93 Laps;7 Laps;468;1:45.901;194.8;Riley Motorsports;GTD;;;Mercedes-AMG GT3;M;738;35;4;45;7643;3;;6147;;;Gar;Robinson;Silver;;USA;;861;1;Silver;;;Lawson;Aschenbach;Gold;;USA;;380;2;Gold;;;Ben;Keating;Bronze;;USA;;378;3;Bronze;;;Felipe;Fraga;Gold;;BRA;;2000;4;Gold;;;;;;;;;;;;;;;
30;62;Classified;738;22:38:24.813;95 Laps;2 Laps;572;1:42.853;200.5;Risi Competizione;GTLM;;;Ferrari 488 GTE;M;26;26;3;8;106;3;;6948;;;James;Calado;Platinum;;GBR;;1096;1;Platinum;;;Alessandro;Pier Guidi;Platinum;;ITA;;708;2;Platinum;;;Daniel;Serra;Gold;;BRA;;687;3;Gold;;;Davide;Rigon;Platinum;;ITA;;679;4;Platinum;;;;;;;;;;;;;;;
31;12;Classified;728;24:00:57.206;105 Laps;10 Laps;474;1:45.853;194.8;AIM VASSER SULLIVAN;GTD;;;Lexus RC F GT3;M;753;251;4;82;7644;3;;6351;;;Frankie;Montecalvo;Silver;;USA;;1279;1;Silver;;;Townsend;Bell;Gold;;USA;;117;2;Gold;;;Shane;van Gisbergen;Platinum;;NZL;;658;3;Platinum;;;Aaron;Telitz;Silver;;USA;;1780;4;Silver;;;;;;;;;;;;;;;
32;9;Classified;716;24:00:54.877;117 Laps;12 Laps;478;1:45.741;195.1;Pfaff Motorsports;GTD;;;Porsche 911 GT3 R;M;747;290;4;14;112;3;;6240;;;Dennis;Olsen;Gold;;NOR;;1727;1;Gold;;;Zacharie;Robichon;Silver;;CAN;;1176;2;Silver;;;Lars;Kern;Silver;;DEU;;1785;3;Silver;;;Patrick;Pilet;Platinum;;FRA;;287;4;Platinum;;;;;;;;;;;;;;;
33;11;Classified;633;24:01:04.987;200 Laps;83 Laps;323;1:45.550;195.4;GRT Grasser Racing Team;GTD;;;Lamborghini Huracan GT3;M;255;325;4;13;1609;3;;7008;;;Richard;Heistand;Bronze;;USA;;1817;1;Bronze;;;Steijn;Schothorst;Silver;;NLD;;2008;2;Silver;;;Franck;Perera;Platinum;;FRA;;1617;3;Platinum;;;Albert;Costa;Gold;;ESP;;2014;4;Gold;;;;;;;;;;;;;;;
34;47;Classified;608;19:34:05.475;225 Laps;25 Laps;584;1:46.660;193.4;Precision Performance Motorsports;GTD;;;Lamborghini Huracan GT3;M;799;308;4;13;1609;3;;6923;;;Brandon;Gdovic;Silver;;USA;;954;1;Silver;;;Mark;Kvamme;Bronze;;USA;;656;2;Bronze;;;Jonathan;Hoggard;Silver;;GBR;;1943;3;Silver;;;Eric;Lux;Silver;;USA;;96;4;Silver;;;;;;;;;;;;;;;
35;19;Classified;471;18:57:57.187;362 Laps;137 Laps;465;1:46.326;194.0;GEAR Racing powered by GRT Grasser;GTD;;;Lamborghini Huracan GT3;M;263;151;4;13;1609;3;;6616;;;Christina;Nielsen;Silver;;DNK;;1981;1;Silver;;;Katherine;Legge;Gold;;GBR;;384;2;Gold;;;Tati;Calderon;Silver;;COL;;1941;3;Silver;;;Rahel;Frey;Silver;;CHE;;1550;4;Silver;;;;;;;;;;;;;;;
36;4;Classified;461;24:01:09.927;372 Laps;10 Laps;292;1:43.375;199.5;Corvette Racing;GTLM;;;Chevrolet Corvette C8.R;M;749;23;3;83;105;3;;6306;;;Oliver;Gavin;Platinum;;GBR;;14;1;Platinum;;;Tommy;Milner;Platinum;;USA;;15;2;Platinum;;;Marcel;Fassler;Platinum;;CHE;;348;3;Platinum;;;;;;;;;;;;;;;;;;;;;
37;98;Classified;189;5:57:53.568;644 Laps;272 Laps;149;1:46.247;194.1;ASTON MARTIN RACING;GTD;;;Aston Martin Vantage GT3;M;768;87;4;18;73;3;;6596;;;Pedro;Lamy;Platinum;;PRT;;366;4;Platinum;;;Ross;Gunn;Gold;;GBR;;1905;2;Gold;;;Andrew;Watson;Silver;;GBR;;2050;1;Silver;;;Mat;Lauda;Silver;;AUT;;905;3;Silver;;;;;;;;;;;;;;;
38;23;Classified;151;4:41:19.541;682 Laps;38 Laps;144;1:46.749;193.2;Heart Of Racing Team;GTD;;;Aston Martin Vantage GT3;M;767;294;4;18;73;3;;6585;;;Alex;Riberas;Gold;;ESP;;2006;1;Gold;;;Roman;De Angelis;Silver;;CAN;;1379;2;Silver;;;Ian;James;Silver;;USA;;453;3;Silver;;;Nicki;Thiim;Platinum;;DNK;;130;4;Platinum;;;;;;;;;;;;;;;
