NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
14;3;1;4:16.422;0;;54.392;0;1:29.080;0;1:52.950;0;189.3;4:16.422;20:39:16.422;0:54.392;1:29.080;1:52.950;292.3;Kévin ESTRE;0:00:15.896;LMP2;P/A;TDS Racing;Oreca;GF;54.392;89.080;112.950;
14;3;2;3:36.602;0;;33.891;0;1:23.086;0;1:39.625;0;226.5;7:53.024;20:42:53.024;0:33.891;1:23.086;1:39.625;317.9;Kévin ESTRE;;LMP2;P/A;TDS Racing;Oreca;GF;33.891;83.086;99.625;
14;3;3;3:33.969;0;;33.967;0;1:22.544;2;1:37.458;0;229.3;11:26.993;20:46:26.993;0:33.967;1:22.544;1:37.458;319.8;Kévin ESTRE;;LMP2;P/A;TDS Racing;Oreca;GF;33.967;82.544;97.458;
14;3;4;3:33.715;2;;33.756;2;1:22.728;0;1:37.231;2;229.5;15:00.708;20:50:00.708;0:33.756;1:22.728;1:37.231;318.8;Kévin ESTRE;;LMP2;P/A;TDS Racing;Oreca;FF;33.756;82.728;97.231;
183;2;1;4:04.732;0;;50.739;0;1:29.307;0;1:44.686;0;198.3;4:04.732;20:39:04.732;0:50.739;1:29.307;1:44.686;258.9;Matthieu VAXIVIERE;0:00:10.599;LMP2;P/A;AF Corse;Oreca;GF;50.739;89.307;104.686;
183;2;2;3:35.015;0;;33.954;0;1:23.187;0;1:37.874;2;228.1;7:39.747;20:42:39.747;0:33.954;1:23.187;1:37.874;318.8;Matthieu VAXIVIERE;;LMP2;P/A;AF Corse;Oreca;GF;33.954;83.187;97.874;
183;2;3;3:34.692;2;;33.766;2;1:23.029;2;1:37.897;0;228.5;11:14.439;20:46:14.439;0:33.766;1:23.029;1:37.897;319.8;Matthieu VAXIVIERE;;LMP2;P/A;AF Corse;Oreca;GF;33.766;83.029;97.897;
183;2;4;3:42.530;0;B;33.785;0;1:23.202;0;1:45.543;0;220.4;14:56.969;20:49:56.969;0:33.785;1:23.202;1:45.543;317.9;Matthieu VAXIVIERE;;LMP2;P/A;AF Corse;Oreca;GF;33.785;83.202;105.543;
21;3;1;4:25.885;0;;54.657;0;1:35.422;0;1:55.806;0;182.5;4:25.885;20:39:25.885;0:54.657;1:35.422;1:55.806;280.9;Alessio ROVERA;0:00:11.651;LMGT3;;Vista AF Corse;Ferrari;GF;54.657;95.422;115.806;
21;3;2;3:53.552;0;;36.322;0;1:30.682;0;1:46.548;2;210.0;8:19.437;20:43:19.437;0:36.322;1:30.682;1:46.548;284.6;Alessio ROVERA;;LMGT3;;Vista AF Corse;Ferrari;GF;36.322;90.682;106.548;
21;3;3;4:03.139;0;;36.372;0;1:36.780;0;1:49.987;0;201.7;12:22.576;20:47:22.576;0:36.372;1:36.780;1:49.987;269.8;Alessio ROVERA;;LMGT3;;Vista AF Corse;Ferrari;GF;36.372;96.780;109.987;
21;3;4;3:53.412;2;;36.288;2;1:30.314;2;1:46.810;0;210.2;16:15.988;20:51:15.988;0:36.288;1:30.314;1:46.810;286.1;Alessio ROVERA;;LMGT3;;Vista AF Corse;Ferrari;FF;36.288;90.314;106.810;
23;3;1;4:43.167;0;;1:09.899;0;1:36.364;0;1:56.904;0;171.4;4:43.167;20:39:43.167;1:09.899;1:36.364;1:56.904;271.1;Jonny ADAM;0:00:30.983;LMGT3;;Heart of Racing Team;Aston Martin;GF;69.899;96.364;116.904;
23;3;2;3:54.888;2;;36.815;0;1:30.645;0;1:47.428;2;208.8;8:38.055;20:43:38.055;0:36.815;1:30.645;1:47.428;287.6;Jonny ADAM;;LMGT3;;Heart of Racing Team;Aston Martin;GF;36.815;90.645;107.428;
23;3;3;3:58.007;0;;36.797;2;1:30.413;2;1:50.797;0;206.1;12:36.062;20:47:36.062;0:36.797;1:30.413;1:50.797;286.9;Jonny ADAM;;LMGT3;;Heart of Racing Team;Aston Martin;GF;36.797;90.413;110.797;
23;3;4;4:29.157;0;B;36.964;0;1:36.893;0;2:15.300;0;182.2;17:05.219;20:52:05.219;0:36.964;1:36.893;2:15.300;288.4;Jonny ADAM;;LMGT3;;Heart of Racing Team;Aston Martin;FF;36.964;96.893;135.300;
24;3;1;4:19.173;0;;57.638;0;1:28.855;0;1:52.680;0;187.3;4:19.173;20:39:19.173;0:57.638;1:28.855;1:52.680;273.2;Jack DOOHAN;0:00:18.960;LMP2;;Nielsen Racing;Oreca;GF;57.638;88.855;112.680;
24;3;2;3:35.435;0;;34.259;0;1:23.301;0;1:37.875;0;227.7;7:54.608;20:42:54.608;0:34.259;1:23.301;1:37.875;315.1;Jack DOOHAN;;LMP2;;Nielsen Racing;Oreca;GF;34.259;83.301;97.875;
24;3;3;3:34.151;0;;33.728;0;1:22.842;2;1:37.581;0;229.1;11:28.759;20:46:28.759;0:33.728;1:22.842;1:37.581;317.9;Jack DOOHAN;;LMP2;;Nielsen Racing;Oreca;GF;33.728;82.842;97.581;
24;3;4;3:33.510;2;;33.414;3;1:23.026;0;1:37.070;2;229.7;15:02.269;20:50:02.269;0:33.414;1:23.026;1:37.070;318.8;Jack DOOHAN;;LMP2;;Nielsen Racing;Oreca;FF;33.414;83.026;97.070;
27;3;1;4:41.782;0;;1:08.806;0;1:36.674;0;1:56.302;0;172.2;4:41.782;20:39:41.782;1:08.806;1:36.674;1:56.302;271.1;Mattia DRUDI;0:00:29.509;LMGT3;;Heart of Racing Team;Aston Martin;GF;68.806;96.674;116.302;
27;3;2;3:52.410;0;;36.101;2;1:29.934;0;1:46.375;0;211.1;8:34.192;20:43:34.192;0:36.101;1:29.934;1:46.375;286.9;Mattia DRUDI;;LMGT3;;Heart of Racing Team;Aston Martin;GF;36.101;89.934;106.375;
27;3;3;3:52.433;2;;36.429;0;1:29.793;2;1:46.211;2;211.0;12:26.625;20:47:26.625;0:36.429;1:29.793;1:46.211;288.4;Mattia DRUDI;;LMGT3;;Heart of Racing Team;Aston Martin;GF;36.429;89.793;106.211;
27;3;4;3:53.739;0;;36.438;0;1:30.050;0;1:47.251;0;209.9;16:20.364;20:51:20.364;0:36.438;1:30.050;1:47.251;288.4;Mattia DRUDI;;LMGT3;;Heart of Racing Team;Aston Martin;FF;36.438;90.050;107.251;
28;3;1;3:57.670;0;;48.728;0;1:27.597;0;1:41.345;0;204.2;3:57.670;20:38:57.670;0:48.728;1:27.597;1:41.345;295.4;Job VAN UITERT;0:00:08.028;LMP2;;IDEC SPORT;Oreca;GF;48.728;87.597;101.345;
28;3;2;3:34.738;0;;34.074;0;1:23.215;0;1:37.449;0;228.4;7:32.408;20:42:32.408;0:34.074;1:23.215;1:37.449;314.2;Job VAN UITERT;;LMP2;;IDEC SPORT;Oreca;GF;34.074;83.215;97.449;
28;3;3;3:33.689;0;;33.580;0;1:23.032;0;1:37.077;0;229.6;11:06.097;20:46:06.097;0:33.580;1:23.032;1:37.077;314.2;Job VAN UITERT;;LMP2;;IDEC SPORT;Oreca;GF;33.580;83.032;97.077;
28;3;4;3:37.471;0;;33.628;0;1:23.163;0;1:40.680;0;225.6;14:43.568;20:49:43.568;0:33.628;1:23.163;1:40.680;315.1;Job VAN UITERT;;LMP2;;IDEC SPORT;Oreca;GF;33.628;83.163;100.680;
28;3;5;3:33.242;2;;33.532;2;1:22.775;2;1:36.935;3;230.0;18:16.810;20:53:16.810;0:33.532;1:22.775;1:36.935;315.1;Job VAN UITERT;;LMP2;;IDEC SPORT;Oreca;FF;33.532;82.775;96.935;
29;2;1;4:13.417;0;;53.356;0;1:29.062;0;1:50.999;0;191.5;4:13.417;20:39:13.417;0:53.356;1:29.062;1:50.999;284.6;Esteban MASSON;0:00:14.603;LMP2;;Forestier Racing by Panis;Oreca;GF;53.356;89.062;110.999;
29;2;2;3:37.548;0;;33.944;0;1:22.674;0;1:40.930;0;225.5;7:50.965;20:42:50.965;0:33.944;1:22.674;1:40.930;317.9;Esteban MASSON;;LMP2;;Forestier Racing by Panis;Oreca;GF;33.944;82.674;100.930;
29;2;3;3:33.107;0;;33.627;0;1:22.336;0;1:37.144;0;230.2;11:24.072;20:46:24.072;0:33.627;1:22.336;1:37.144;318.8;Esteban MASSON;;LMP2;;Forestier Racing by Panis;Oreca;GF;33.627;82.336;97.144;
29;2;4;3:32.855;3;;33.484;2;1:22.283;3;1:37.088;2;230.5;14:56.927;20:49:56.927;0:33.484;1:22.283;1:37.088;319.8;Esteban MASSON;;LMP2;;Forestier Racing by Panis;Oreca;GF;33.484;82.283;97.088;
29;2;5;3:57.414;0;B;33.854;0;1:24.256;0;1:59.304;0;206.6;18:54.341;20:53:54.341;0:33.854;1:24.256;1:59.304;301.2;Esteban MASSON;;LMP2;;Forestier Racing by Panis;Oreca;FF;33.854;84.256;119.304;
