NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;2;1;4:22.725;0;;1:04.784;0;1:25.720;0;1:52.221;0;184.7;4:22.725;19:34:22.725;1:04.784;1:25.720;1:52.221;286.9;Tom GAMBLE;0:00:26.089;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;64.784;85.720;112.221;
007;2;2;3:24.163;0;;32.418;0;1:18.268;2;1:33.477;0;240.3;7:46.888;19:37:46.888;0:32.418;1:18.268;1:33.477;341.9;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;32.418;78.268;93.477;
007;2;3;3:41.267;0;;33.893;0;1:24.862;0;1:42.512;0;221.7;11:28.155;19:41:28.155;0:33.893;1:24.862;1:42.512;295.4;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.893;84.862;102.512;
007;2;4;3:24.348;0;;32.307;0;1:18.730;0;1:33.311;0;240.0;14:52.503;19:44:52.503;0:32.307;1:18.730;1:33.311;336.6;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;32.307;78.730;93.311;
007;2;5;3:36.765;0;B;32.825;0;1:21.027;0;1:42.913;0;226.3;18:29.268;19:48:29.268;0:32.825;1:21.027;1:42.913;302.8;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;32.825;81.027;102.913;
007;2;6;4:18.170;0;;1:17.631;0;1:23.287;0;1:37.252;0;190.0;22:47.438;19:52:47.438;1:17.631;1:23.287;1:37.252;323.6;Tom GAMBLE;0:00:49.241;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;77.631;83.287;97.252;
007;2;7;3:23.906;2;;32.101;2;1:18.690;0;1:33.115;2;240.6;26:11.344;19:56:11.344;0:32.101;1:18.690;1:33.115;333.5;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;32.101;78.690;93.115;
007;2;8;4:02.239;0;B;34.828;0;1:40.327;0;1:47.084;0;202.5;30:13.583;20:00:13.583;0:34.828;1:40.327;1:47.084;283.9;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;FF;34.828;100.327;107.084;
009;1;1;4:20.893;0;;1:03.647;0;1:26.185;0;1:51.061;0;186.0;4:20.893;19:34:20.893;1:03.647;1:26.185;1:51.061;253.4;Alex RIBERAS;0:00:24.738;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;63.647;86.185;111.061;
009;1;2;3:33.075;0;;32.651;0;1:20.894;0;1:39.530;0;230.2;7:53.968;19:37:53.968;0:32.651;1:20.894;1:39.530;336.6;Alex RIBERAS;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;32.651;80.894;99.530;
