POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;40;5;1:55.353;+2.580;+0.407;178.8;7;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;10188;;;James;Pesek;;Harrisonville, MO;;;1745;3;;;;Chad;McCumbee;;Ocean Isle Beach, NC;;;461;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;37;6;1:55.449;+2.676;+0.096;178.7;8;FraSun Racing;GS;;;BMW M4 GT4;M;977;356;5;68;74;3;;10240;;;Mark;Sundberg;;Seattle, WA;;;2402;3;;;;Jason;Fraser;;Snohomish, WA;;;2410;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;82;7;1:55.668;+2.895;+0.219;178.3;8;BimmerWorld;GS;;;BMW M4 GT4;M;455;73;5;68;74;3;;10248;;;James;Clay;;Blacksburg, VA;;;508;1;;;;Mike;Skeen;;Charlotte, NC;;;830;3;;;;Nick;Galante;;Greenfield, MA;;;784;4;;;;;;;;;;;;;;;;;;;;;;
14;43;8;1:56.006;+3.233;+0.338;177.8;8;Stephen Cameron Racing LLC;GS;;;BMW M4 GT4;M;967;347;5;68;74;3;;10239;;;Sean;Quinlan;;Palo Alto, CA;;;2172;1;;;;Gregory;Liefooghe;;San Francisco, CA;;;504;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;96;6;1:56.266;+3.493;+0.260;177.4;7;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;10253;;;Robby;Foley;;Randolph, NJ;;;1302;2;;;;Vincent;Barletta;;Canton, MA;;;1894;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;71;6;1:56.312;+3.539;+0.046;177.3;8;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;10241;;;Frank;DePew;;Richmond, VA;;;1151;3;;;;Robin;Liddell;;Edinburgh, Scotland;;;411;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;09;8;1:56.541;+3.768;+0.229;177.0;8;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;625;95;5;56;73;3;;10255;;;Brandon;Kidd;;Syracuse, NY;;;1581;3;;;;Rob;Ecklin;;Lancaster, PA;;;452;2;;;;Ramin;Abdolvahabi;;Palm Bch Gardens, FL;;;2227;1;;;;;;;;;;;;;;;;;;;;;;
18;65;5;1:57.194;+4.421;+0.653;176.0;7;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;766;212;5;89;7643;3;;10192;;;Brent;Mosing;;Lafayette, LA;;;492;2;;;;Tim;Probert;;Houston, TX;;;491;1;;;;Kenny;Murillo;;Santa Rosa, CA;;;1820;3;;;;;;;;;;;;;;;;;;;;;;
19;14;7;1:57.368;+4.595;+0.174;175.7;7;Riley Motorsports;GS;;;Toyota Supra GT4;M;919;35;5;104;7662;3;;10167;;;Javier;Quiros;;Escazú, Costa Rica;;;727;1;;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;2;;;;Julian;Santero;;Mendoza, Argentina;;;2293;3;;;;;;;;;;;;;;;;;;;;;;
20;10;7;1:57.806;+5.033;+0.438;175.1;7;LAP Motorsports;GS;;;Mercedes-AMG GT GT4;M;901;262;5;89;7643;3;;10244;;;Anton;Dias Perera;;Memphis,TN;;;1987;1;;;;Scott;Andrews;;Torquay, Australia;;;1657;2;;;;Colin;Braun;;Ovalo, TX;;;61;3;;;;;;;;;;;;;;;;;;;;;;
21;23;4;1:58.011;+5.238;+0.205;174.8;7;Notlad Racing by RS1;GS;;;Aston Martin Vantage GT4;M;1231;56;5;56;73;3;;10252;;;Matt;Dalton;;Williamsport, IN;;;2439;1;;;;Patrick;Gallagher;;Thornville, OH;;;1593;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;59;6;1:58.515;+5.742;+0.504;174.0;7;KohR Motorsports;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;10245;;;Kyle;Marcelli;;Toronto, ON;;;88;2;;;;Dean;Martin;;Westland, MI;;;1291;4;;;;Chuck;Cassaro;;Naples, FL;;;2399;3;;;;;;;;;;;;;;;;;;;;;;
23;84;7;1:58.530;+5.757;+0.015;174.0;8;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;1053;259;22;97;2081;3;;10242;;;Brian;Henderson;;Fredericksburg, VA;;;1806;1;;;;Robert;Noaker;;Duncannon PA;;;2201;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;5;6;1:58.555;+5.782;+0.025;174.0;9;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta Veloce TCR;M;962;265;22;95;7658;3;;10214;;;Tim;Lewis;;Boca Raton, FL;;;1801;2;;;;Roy;Block;;Winter Park, FL;;;1077;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;19;3;1:59.428;+6.655;+0.873;172.7;5;VAN DER STEUR RACING;TCR;;;Hyundai Veloster N TCR;M;950;341;22;76;7660;3;;10200;;;Rory;van der Steur;;Chesapeake City, MD;;;2408;1;;;;Denis;Dupont;;Montreal, QC;;;2250;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;17;6;1:59.449;+6.676;+0.021;172.7;7;Unitronic JDC-Miller MotorSports;TCR;;;Audi RS3 LMS SEQ;M;956;270;22;99;909;3;;10207;;;Chris;Miller;;Minneapolis, MN;;;265;1;;;;Mikey;Taylor;;Pretoria, South Africa;;;791;2;;;;William;Tally;;Athens, GA;;;2039;3;;;;;;;;;;;;;;;;;;;;;;
27;88;7;1:59.691;+6.918;+0.242;172.3;8;VGMC Racing, LLC;TCR;;;Honda Civic FK7 TCR;M;976;355;22;97;2081;3;;10276;;;Victor;Gonzalez;;Trujillo Alto, PR;;;811;1;;;;Ruben;Iglesias;;Cayey, PR;;;2404;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;73;5;2:00.290;+7.517;+0.599;171.5;8;LA Honda World Racing;TCR;;;Honda Civic FK7 TCR;M;989;364;22;97;2081;3;;10275;;;Mike;LaMarra;;Brighton, MI;;;473;3;;;;Mat;Pombo;;Atlanta, GA;;;529;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
