POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;6;10;1:59.774;-;-;180.9;10;Performance Tech Motorsports;LMP3;;;Ligier JS P3;M;725;11;23;58;7650;3;;6119;;;Blake;Mount;Silver;Denver, CO;;;1807;2;Silver;;;Dan;Goldburg;Bronze;Delray Beach, FL;;;1915;1;Bronze;;;Baylor;Griffin;;Tampa, FL;;;1920;3;;;;;;;;;;;;;;;;;;;;;;
2;75;6;1:59.786;+0.012;+0.012;180.9;7;Performance Tech Motorsports;LMP3;;;Ligier JS P3;M;726;11;23;58;7650;3;;6120;;;Cameron;Cassels;Bronze;Coldstream, BC;;;1001;2;Bronze;;;Max;Hanratty;Silver;Milwaukee, WI;;;980;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;47;7;1:59.788;+0.014;+0.002;180.9;8;Forty 7 Motorsports;LMP3;;;Norma M30;M;734;193;23;62;7655;3;;6129;;;Joel;Janco;Bronze;Key Largo, FL;;;271;3;Bronze;;;Jonatan;Jorge;Bronze;Bradenton, FL;;;1206;2;Bronze;;;Tristan;Nunez;Gold;Boca Raton, FL;;;169;1;Gold;;;;;;;;;;;;;;;;;;;;;
4;64;6;2:00.308;+0.534;+0.520;180.1;9;K2R Motorsports;LMP3;;;Ligier JS P3;M;729;183;23;58;7650;3;;6123;;;Naveen;Rao;Bronze;San Diego, CA;;;1393;5;Bronze;;;Scott;Andrews;Silver;Atlanta, GA;;;1657;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;33;10;2:00.669;+0.895;+0.361;179.6;10;Sean Creech Motorsport;LMP3;;;Ligier JS P3;M;728;286;23;58;7650;3;;6122;;;Lance;Willsey;Bronze;Saint Augustine, FL;;;664;2;Bronze;;;Oliver;Askew;;Jupiter, FL;;;1923;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;30;5;2:01.348;+1.574;+0.679;178.6;9;Sean Creech Motorsport;LMP3;;;Ligier JS P3;M;727;286;23;58;7650;3;;6121;;;Naj;Husain;Bronze;The Plains, VA;;;933;1;Bronze;;;Wayne;Boyd;Silver;Templepatrick, N. Ireland;;;1912;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;61;9;2:02.177;+2.403;+0.829;177.4;9;Conquest Racing;LMP3;;;Norma M30;M;721;258;23;62;7655;3;;6113;;;Danny;Kok;Bronze;Pitt Meadows, BC;;;1543;1;Bronze;;;George;Staikos;Bronze;Toronto, ON;;;1916;5;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2;5;2:02.218;+2.444;+0.041;177.3;8;Ansa Motorsports;LMP3;;;Ligier JS P3;M;736;168;23;58;7650;3;;6131;;;Jon;Brownson;Bronze;Breckenridge, CO;;;171;2;Bronze;;;Tim;George;Bronze;Austin, TX;;;1139;1;Bronze;;;Neil;Alberico;Silver;Los Gatos, CA;;;1762;3;Silver;;;;;;;;;;;;;;;;;;;;;
9;26;9;2:04.071;+4.297;+1.853;174.6;10;K2R Motorsports;LMP3;;;Ligier JS P3;M;730;183;23;58;7650;3;;6124;;;James;McGuire;Bronze;Palm Beach, FL;;;921;5;Bronze;;;Matthew;Bell;Silver;Newcastle Upon Tyne;;;424;3;Silver;;;Kay;van Berlo;Silver;Veghel, Netherlands;;;1759;1;Silver;;;;;;;;;;;;;;;;;;;;;
10;43;0;;;;;0;Robillard Racing;LMP3;;;Norma M30;M;733;252;23;62;7655;3;;6128;;;Joe;Robillard;Bronze;Short Hills, NJ;;;1509;1;Bronze;;;Stevan;McAleer;Silver;Cold Spring, NY;;;460;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
