NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;3;1;4:58.881;0;B;1:44.717;0;1:25.896;0;1:48.268;0;162.4;4:58.881;12:04:58.881;1:44.717;1:25.896;1:48.268;304.5;Ross GUNN;0:01:05.417;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;104.717;85.896;108.268;
007;3;2;5:47.451;0;;2:39.580;0;1:26.018;0;1:41.853;0;141.2;10:46.332;12:10:46.332;2:39.580;1:26.018;1:41.853;302.8;Ross GUNN;0:02:06.910;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;159.580;86.018;101.853;
007;3;3;3:31.805;0;;33.699;0;1:20.846;0;1:37.260;0;231.6;14:18.137;12:14:18.137;0:33.699;1:20.846;1:37.260;335.6;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.699;80.846;97.260;
007;3;4;3:28.800;2;;33.223;2;1:20.258;2;1:35.319;2;234.9;17:46.937;12:17:46.937;0:33.223;1:20.258;1:35.319;333.5;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;FF;33.223;80.258;95.319;
009;2;1;7:00.328;0;;3:52.539;0;1:27.194;0;1:40.595;0;115.5;7:00.328;12:07:00.328;3:52.539;1:27.194;1:40.595;301.2;Marco SØRENSEN;0:03:11.753;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;232.539;87.194;100.595;
009;2;2;3:33.191;0;;35.063;0;1:21.881;0;1:36.247;0;230.1;10:33.519;12:10:33.519;0:35.063;1:21.881;1:36.247;333.5;Marco SØRENSEN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.063;81.881;96.247;
009;2;3;3:28.941;2;;33.083;0;1:20.120;2;1:35.738;2;234.8;14:02.460;12:14:02.460;0:33.083;1:20.120;1:35.738;331.5;Marco SØRENSEN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.083;80.120;95.738;
009;2;4;3:29.940;0;;33.044;2;1:20.682;0;1:36.214;0;233.7;17:32.400;12:17:32.400;0:33.044;1:20.682;1:36.214;333.5;Marco SØRENSEN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;FF;33.044;80.682;96.214;
10;3;1;5:47.294;0;;2:15.121;0;1:39.191;0;1:52.982;1;139.7;5:47.294;12:05:47.294;2:15.121;1:39.191;1:52.982;237.9;Marvin KIRCHHÖFER;0:01:33.136;LMGT3;;Garage 59;McLaren;GF;135.121;99.191;112.982;
10;3;2;4:05.510;0;B;37.833;2;1:32.526;2;1:55.151;0;199.8;9:52.804;12:09:52.804;0:37.833;1:32.526;1:55.151;283.9;Marvin KIRCHHÖFER;;LMGT3;;Garage 59;McLaren;GF;37.833;92.526;115.151;
10;1;3;5:32.885;0;;2:08.022;0;1:33.280;1;1:51.583;2;147.4;15:25.689;12:15:25.689;2:08.022;1:33.280;1:51.583;282.4;Antares AU;0:01:40.360;LMGT3;;Garage 59;McLaren;FF;128.022;93.280;111.583;
101;3;1;4:22.397;0;B;1:13.472;0;1:23.448;1;1:45.477;0;185.0;4:22.397;12:04:22.397;1:13.472;1:23.448;1:45.477;289.9;Filipe ALBUQUERQUE;0:00:36.817;HYPERCAR;;Cadillac WTR;Cadillac;GF;73.472;83.448;105.477;
101;1;2;4:44.449;0;B;1:33.085;0;1:23.911;1;1:47.453;0;172.4;9:06.846;12:09:06.846;1:33.085;1:23.911;1:47.453;278.1;Ricky TAYLOR;0:01:01.530;HYPERCAR;;Cadillac WTR;Cadillac;GF;93.085;83.911;107.453;
101;2;3;4:25.923;0;;1:26.195;0;1:21.215;0;1:38.513;0;184.5;13:32.769;12:13:32.769;1:26.195;1:21.215;1:38.513;338.7;Jordan TAYLOR;0:00:59.013;HYPERCAR;;Cadillac WTR;Cadillac;GF;86.195;81.215;98.513;
101;2;4;3:30.964;2;;33.599;2;1:20.766;2;1:36.599;2;232.5;17:03.733;12:17:03.733;0:33.599;1:20.766;1:36.599;320.7;Jordan TAYLOR;;HYPERCAR;;Cadillac WTR;Cadillac;FF;33.599;80.766;96.599;
12;2;1;4:14.394;0;;1:10.477;0;1:25.340;0;1:38.577;0;190.8;4:14.394;12:04:14.394;1:10.477;1:25.340;1:38.577;241.1;Will STEVENS;0:00:33.309;HYPERCAR;;Cadillac Hertz Team Jota;Cadillac;GF;70.477;85.340;98.577;
12;2;2;3:36.634;0;B;34.421;0;1:20.097;2;1:42.116;0;226.4;7:51.028;12:07:51.028;0:34.421;1:20.097;1:42.116;317.0;Will STEVENS;;HYPERCAR;;Cadillac Hertz Team Jota;Cadillac;GF;34.421;80.097;102.116;
12;2;3;4:27.069;0;;1:30.374;0;1:20.208;0;1:36.487;2;183.7;12:18.097;12:12:18.097;1:30.374;1:20.208;1:36.487;320.7;Will STEVENS;0:01:05.301;HYPERCAR;;Cadillac Hertz Team Jota;Cadillac;GF;90.374;80.208;96.487;
12;2;4;3:31.801;2;;34.223;2;1:20.219;0;1:37.359;0;231.6;15:49.898;12:15:49.898;0:34.223;1:20.219;1:37.359;339.7;Will STEVENS;;HYPERCAR;;Cadillac Hertz Team Jota;Cadillac;FF;34.223;80.219;97.359;
14;2;1;4:34.996;0;;1:23.260;0;1:28.119;0;1:43.617;0;176.5;4:34.996;12:04:34.996;1:23.260;1:28.119;1:43.617;299.5;Mathias BECHE;0:00:45.171;LMP2;P/A;TDS Racing;Oreca;GF;83.260;88.119;103.617;
