POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;59;Classified;101;4:00:29.339;+15.937;+1.366;84;1:54.611;180.0;KohR Motorsports;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;4748;;;Kenny;Wilden;;Oakville, Ontario;;;685;1;;;;Rod;Randall;;Tampa, FL;;;684;2;;;;DJ;Randall;;Odessa, FL;;;737;4;;;;;;;;;;;;;;;;;;;;;;
12;4;Classified;101;4:00:38.883;+25.481;+9.544;75;1:54.452;180.2;Team TGM;GS;;;Mercedes-AMG;M;471;221;5;69;7643;3;;4724;;;Ted;Giovanis;;Highland, MD;;;489;1;;;;Guy;Cosmo;;Palm Bch Gardens, FL;;;49;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;97;Classified;101;4:00:39.952;+26.550;+1.069;12;1:55.606;178.4;Automatic Racing;GS;;;Aston Martin AMR Vantage;M;628;95;5;79;73;3;;4766;;;Rob;Ecklin Jr.;;Lancaster, PA;;;452;2;;;;Brandon;Kidd;;Syracuse, NY;;;1581;3;;;;Ramin;Abdolvahabi;;Palm Bch Gardens, FL;;;520;1;;;;;;;;;;;;;;;;;;;;;;
14;88;Classified;101;4:00:52.284;+38.882;+12.332;87;1:54.197;180.6;Stephen Cameron Racing;GS;;;BMW M4 GT4;M;527;220;5;68;74;3;;4756;;;Henry;Schmitt;;;;;1732;3;;;;Greg;Liefooghe;;San Francisco, CA;;;504;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;56;Classified;101;4:01:00.267;+46.865;+7.983;39;1:54.343;180.4;Murillo Racing;GS;;;Mercedes-AMG;M;451;212;5;69;7643;3;;4726;;;Jeff;Mosing;;Austin, TX;;;487;2;;;;Eric;Foss;;Fort Worth, TX;;;488;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;39;Classified;101;4:01:03.102;+49.700;+2.835;81;1:52.996;182.5;Carbahn Motorsports;GS;;;Audi R8;M;457;215;5;71;909;3;;4730;;;Tyler;McQuarrie;;Danville, CA;;;454;2;;;;Jeff;Westphal;;San Mateo, CA;;;682;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;11;Classified;100;3:58:44.303;1 Lap;1 Lap;24;1:55.088;179.2;BGB Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;274;157;5;78;112;3;;4747;;;Thomas;Collingwood;;St. John's, NL;;;1796;3;;;;John;Tecce;;Daytona Beach, FL;;;1268;2;;;;Stefan;Rzadzinski;;Edmonton, Alberta;;;1508;1;;;;;;;;;;;;;;;;;;;;;;
18;28;Classified;100;4:00:28.236;1 Lap;+1:43.933;11;1:54.358;180.3;RS1;GS;;;Porsche 718 Cayman GT4 Clubsport;M;280;56;5;78;112;3;;4765;;;Jan;Heylen;;Clearwater, FL;;;184;1;;;;Charlie;Luck;;Richmond, VA;;;1363;2;;;;Fred;Poordad;;San Antonio, TX;;;160;3;;;;;;;;;;;;;;;;;;;;;;
19;46;Classified;100;4:00:36.096;1 Lap;+7.860;2;1:53.486;181.7;Team TGM;GS;;;Mercedes-AMG;M;469;221;5;69;7643;3;;4733;;;Owen;Trinkler;;Nashville, TN;;;519;5;;;;Hugh;Plumb;;Unionville, PA;;;421;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;96;Classified;100;4:00:41.204;1 Lap;+5.108;43;1:54.790;179.7;Turner Motorsports;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;4759;;;Robby;Foley;;Randolph, NJ;;;1302;1;;;;Bruce;McKee;;Seattle, WA;;;1799;2;;;;Sydney;McKee;;Birmingham, AL;;;1800;3;;;;;;;;;;;;;;;;;;;;;;
21;31;Classified;100;4:00:44.966;1 Lap;+3.762;75;1:53.997;180.9;Bodymotion Racing;GS;;;Porsche 718 Cayman GT4 Clubsport;M;606;48;5;78;112;3;;4749;;;Pete;McIntosh;;Annandale, NJ;;;790;1;;;;Patrick;Liddy;;Pasadena, CA;;;1695;2;;;;Marc;Miller;;Grand Rapids, MI;;;455;3;;;;;;;;;;;;;;;;;;;;;;
22;37;Classified;100;4:01:00.519;1 Lap;+15.553;89;1:59.697;172.3;LA Honda World Racing;TCR;;;Honda Civic TCR;M;608;262;22;77;2081;3;;4743;;;Tom;O'Gorman;;Mason, OH;;;1721;2;;;;Shelby;Blackstock;;Nashville, TN;;;249;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;73;Classified;100;4:01:02.124;1 Lap;+1.605;86;2:00.009;171.9;LA Honda World Racing;TCR;;;Honda Civic TCR;M;631;262;22;77;2081;3;;4817;;;Mat;Pombo;;DO NOT PUBLISH;;;529;4;;;;Mike;LaMarra;;Brighton, MI;;;473;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;23;Classified;100;4:01:06.389;1 Lap;+4.265;75;1:59.933;172.0;Fast MD Racing;TCR;;;Audi RS3 LMS TCR;M;630;267;22;67;909;3;;4816;;;Nick;Galante;;Greenfield, MA;;;784;1;;;;James;Vance;;Toronto, Ontario;;;486;2;;;;Jared;Salinsky;;Trinity, FL;;;1323;3;;;;;;;;;;;;;;;;;;;;;;
25;8;Classified;99;4:00:32.137;2 Laps;1 Lap;85;1:54.729;179.8;eEuroparts.com ROWE Racing;GS;;;Audi R8;M;621;203;5;71;909;3;;4746;;;Rodrigo;Sales;;Incline Village, NV;;;1501;1;;;;Gunnar;Jeannette;;Salt Lake City, UT;;;308;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;09;Classified;99;4:00:38.556;2 Laps;+6.419;82;1:54.622;179.9;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;625;95;5;56;73;3;;4761;;;Dale;Katechis;;Longmont, CO;;;1601;2;;;;Mikel;Miller;;Pebble Beach, CA;;;1365;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;84;Classified;99;4:01:55.192;2 Laps;+1:16.636;95;2:00.329;171.4;Atlanta Speedwerks;TCR;;;Honda Civic TCR;M;598;259;22;77;2081;3;;4742;;;Brian;Henderson;;Fredericksburg, VA;;;1806;1;;;;Todd;Lamb;;Atlanta, GA;;;1805;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;66;Classified;97;3:53:59.447;4 Laps;2 Laps;9;1:53.315;182.0;TRG - The Racers Group;GS;;;Porsche 718 Cayman GT4 Clubsport;M;583;253;5;78;112;3;;4750;;;Dillon;Machavern;;Charlotte, VT;;;463;1;;;;Spencer;Pumpelly;;Atlanta, GA;;;64;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;21;Classified;96;3:57:20.271;5 Laps;1 Lap;11;2:00.941;170.5;BRYAN HERTA AUTOSPORT W/ CURB-AGAJANIAN;TCR;;;Hyundai Veloster N TCR;M;592;255;22;76;7660;3;;4715;;;Mason;Filippi;;Alamo, CA;;;1829;3;;;;Harry;Gottsacker;;San Antonio, TX;;;1456;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
