POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;71;Classified;67;2:01:00.489;+36.923;+6.207;34;1:27.360;168.5;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;6080;;;Robin;Liddell;;Newbury, United Kingdom;;;411;1;;;;Frank;DePew;;Richmond, VA;;;1151;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;98;Classified;67;2:01:01.121;+37.555;+0.632;35;1:28.830;165.7;BRYAN HERTA AUTOSPORT W/ CURB-AGAJANIAN;TCR;;;Hyundai Veloster N TCR;M;591;255;22;76;7660;3;;6072;;;Mark;Wilkins;;Mulmur, Ontario;;;317;4;;;;Michael;Lewis;;Laguna Beach, CA;;;730;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;82;Classified;67;2:01:01.812;+38.246;+0.691;50;1:26.770;169.6;BimmerWorld Racing;GS;;;BMW M4 GT4;M;455;73;5;68;74;3;;6068;;;James;Clay;;Blacksburg, VA;;;508;1;;;;Devin;Jones;;Mooresville, NC;;;915;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;17;Classified;67;2:01:02.434;+38.868;+0.622;36;1:29.100;165.2;JDC-Miller MotorSports;TCR;;;Audi RS3 LMS TCR DSG;M;641;15;22;67;909;3;;6081;;;Mikey;Taylor;;Pretoria, South Africa;;;791;2;;;;Britt;Casey Jr;;Barrington, IL;;;845;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;23;Classified;67;2:01:20.141;+56.575;+17.707;58;1:29.743;164.0;Fast MD Racing;TCR;;;Audi RS3 LMS TCR DSG;M;630;267;22;67;909;3;;6092;;;Nick;Galante;;Greenfield, MA;;;784;4;;;;James;Vance;;Toronto, Ontario;;;486;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;21;Classified;67;2:01:20.691;+57.125;+0.550;5;1:29.574;164.3;BRYAN HERTA AUTOSPORT W/ CURB-AGAJANIAN;TCR;;;Hyundai Veloster N TCR;M;592;255;22;76;7660;3;;6071;;;Mason;Filippi;;Alamo, CA;;;1829;3;;;;Harry;Gottsacker;;San Antonio, TX;;;1456;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;84;Classified;67;2:01:32.512;+1:08.946;+11.821;38;1:29.940;163.6;Atlanta Speedwerks;TCR;;;Honda Civic TCR;M;598;259;22;77;2081;3;;6078;;;Brian;Henderson;;Fredericksburg, VA;;;1806;1;;;;Todd;Lamb;;Atlanta, GA;;;1805;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;97;Classified;67;2:01:36.854;+1:13.288;+4.342;51;1:26.886;169.4;Automatic Racing;GS;;;Aston Martin AMR Vantage;M;628;95;5;79;73;3;;6063;;;Gary;Ferrera;;Littleton, CO;;;1735;2;;;;Kris;Wilson;;Golden, CO;;;423;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;7;Classified;67;2:01:44.149;+1:20.583;+7.295;38;1:27.351;168.5;Park Place Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;585;40;5;78;112;3;;6075;;;Alan;Brynjolfsson;;Tampa, FL;;;1271;1;;;;Trent;Hindman;;Ocean Township, NJ;;;244;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;99;Classified;67;2:01:46.059;+1:22.493;+1.910;50;1:28.341;166.6;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;624;95;5;56;73;3;;6093;;;Ramin;Abdolvahabi;;Palm Bch Gardens, FL;;;520;2;;;;Benjamin;Waddell;;Thornton, CO;;;1659;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
