NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;0;1;2:03.963;0;;40.485;0;44.254;0;39.224;0;142.6;2:03.963;09:02;0:40.485;0:44.254;0:39.224;189.8;Timo Bernhard;
1;0;2;1:39.969;0;;21.272;0;42.689;0;36.008;0;176.8;3:43.932;09:03;0:21.272;0:42.689;0:36.008;285.0;Timo Bernhard;
1;0;3;1:36.245;0;;20.443;0;40.130;0;35.672;0;183.6;5:20.177;09:05;0:20.443;0:40.130;0:35.672;286.5;Timo Bernhard;
1;0;4;1:38.456;0;;20.216;0;41.644;0;36.596;0;179.5;6:58.633;09:06;0:20.216;0:41.644;0:36.596;286.5;Timo Bernhard;
1;0;5;1:37.905;0;;22.707;0;39.902;0;35.296;0;180.5;8:36.538;09:08;0:22.707;0:39.902;0:35.296;255.9;Timo Bernhard;
1;0;6;1:35.777;0;;20.195;0;39.903;0;35.679;0;184.5;10:12.315;09:10;0:20.195;0:39.903;0:35.679;289.5;Timo Bernhard;
1;0;7;1:35.930;0;;21.031;0;39.937;0;34.962;2;184.2;11:48.245;09:11;0:21.031;0:39.937;0:34.962;289.5;Timo Bernhard;
1;0;8;1:34.770;2;;19.937;2;39.381;1;35.452;0;186.5;13:23.015;09:13;0:19.937;0:39.381;0:35.452;288.8;Timo Bernhard;
1;0;9;1:54.643;0;B;19.937;0;42.122;0;52.584;0;154.2;15:17.658;09:15;0:19.937;0:42.122;0:52.584;289.5;Timo Bernhard;
1;1;10;2:36.458;0;;1:16.870;0;42.631;0;36.957;0;113.0;17:54.116;09:17;1:16.870;0:42.631;0:36.957;210.9;Marcel Fassler;
1;1;11;1:34.556;0;;20.068;0;38.857;3;35.631;0;186.9;19:28.672;09:19;0:20.068;0:38.857;0:35.631;286.5;Marcel Fassler;
1;1;12;1:35.738;0;;20.408;1;40.120;1;35.210;1;184.6;21:04.410;09:21;0:20.408;0:40.120;0:35.210;289.5;Marcel Fassler;
12;1;1;3:11.743;0;;1:46.520;0;47.299;0;37.924;0;92.2;3:11.743;09:03;1:46.520;0:47.299;0:37.924;164.6;Nicolas Prost;
12;1;2;1:44.916;0;;22.418;0;43.994;0;38.504;0;168.4;4:56.659;09:04;0:22.418;0:43.994;0:38.504;259.0;Nicolas Prost;
12;1;3;1:42.594;0;;23.209;0;42.783;0;36.602;0;172.3;6:39.253;09:06;0:23.209;0:42.783;0:36.602;229.8;Nicolas Prost;
12;1;4;1:40.279;0;;20.742;0;42.097;0;37.440;0;176.2;8:19.532;09:08;0:20.742;0:42.097;0:37.440;281.2;Nicolas Prost;
12;1;5;1:39.948;0;;21.060;0;42.877;0;36.011;0;176.8;9:59.480;09:09;0:21.060;0:42.877;0:36.011;276.2;Nicolas Prost;
12;1;6;1:38.011;0;;20.381;2;41.662;1;35.968;1;180.3;11:37.491;09:11;0:20.381;0:41.662;0:35.968;281.2;Nicolas Prost;
