NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
56;0;1;8:40.201;0;;7:11.593;0;48.681;0;39.927;0;34.0;8:40.201;14:08;7:11.593;0:48.681;0:39.927;174.5;Dirk Werner;
56;0;2;1:45.349;0;;22.193;2;44.119;0;39.037;0;167.8;10:25.550;14:10;0:22.193;0:44.119;0:39.037;259.0;Dirk Werner;
56;0;3;1:44.945;0;;22.262;0;44.077;0;38.606;2;168.4;12:10.495;14:12;0:22.262;0:44.077;0:38.606;259.6;Dirk Werner;
56;0;4;1:45.035;0;;22.244;0;43.814;0;38.977;0;168.3;13:55.530;14:13;0:22.244;0:43.814;0:38.977;261.5;Dirk Werner;
56;0;5;1:44.683;2;;22.255;0;43.781;2;38.647;0;168.8;15:40.213;14:15;0:22.255;0:43.781;0:38.647;259.6;Dirk Werner;
57;2;1;2:36.061;0;;1:05.425;0;46.866;0;43.770;0;113.2;2:36.061;14:02;1:05.425;0:46.866;0:43.770;177.3;Michele Rugolo;
57;2;2;1:47.172;0;;22.687;0;45.093;0;39.392;0;164.9;4:23.233;14:04;0:22.687;0:45.093;0:39.392;257.8;Michele Rugolo;
57;2;3;1:53.243;0;;22.237;0;47.236;0;43.770;0;156.1;6:16.476;14:06;0:22.237;0:47.236;0:43.770;259.0;Michele Rugolo;
57;2;4;1:51.324;0;;22.358;0;45.892;0;43.074;0;158.7;8:07.800;14:08;0:22.358;0:45.892;0:43.074;260.2;Michele Rugolo;
57;2;5;2:14.261;0;B;22.249;0;46.060;0;1:05.952;0;131.6;10:22.061;14:10;0:22.249;0:46.060;1:05.952;260.2;Michele Rugolo;
57;2;6;3:14.203;0;;1:48.535;0;45.925;0;39.743;0;91.0;13:36.264;14:13;1:48.535;0:45.925;0:39.743;181.2;Michele Rugolo;
57;2;7;1:48.119;0;;22.406;0;44.714;2;40.999;0;163.5;15:24.383;14:15;0:22.406;0:44.714;0:40.999;258.4;Michele Rugolo;
57;2;8;1:46.398;0;;22.354;0;44.968;0;39.076;2;166.1;17:10.781;14:17;0:22.354;0:44.968;0:39.076;259.6;Michele Rugolo;
57;2;9;1:46.219;2;;22.174;2;44.853;0;39.192;0;166.4;18:57.000;14:18;0:22.174;0:44.853;0:39.192;260.2;Michele Rugolo;
57;2;10;2:16.608;0;B;22.197;0;49.074;0;1:05.337;0;129.4;21:13.608;14:21;0:22.197;0:49.074;1:05.337;260.2;Michele Rugolo;
58;2;1;3:32.987;0;;2:03.722;0;48.531;0;40.734;0;83.0;3:32.987;14:03;2:03.722;0:48.531;0:40.734;156.7;Ralph Firman;
58;2;2;1:47.808;0;;23.066;0;45.055;0;39.687;0;163.9;5:20.795;14:05;0:23.066;0:45.055;0:39.687;252.3;Ralph Firman;
58;2;3;1:45.987;0;;22.357;0;44.514;0;39.116;2;166.7;7:06.782;14:07;0:22.357;0:44.514;0:39.116;255.3;Ralph Firman;
58;2;4;1:45.779;2;;22.200;2;44.327;2;39.252;0;167.1;8:52.561;14:08;0:22.200;0:44.327;0:39.252;256.5;Ralph Firman;
58;2;5;2:00.623;0;;24.137;0;53.181;0;43.305;0;146.5;10:53.184;14:10;0:24.137;0:53.181;0:43.305;256.5;Ralph Firman;
59;1;1;2:07.431;0;;31.888;0;52.771;0;42.772;0;138.7;2:07.431;14:02;0:31.888;0:52.771;0:42.772;164.6;Frederic Makowiecki;
59;1;2;1:46.520;0;;22.948;0;44.420;0;39.152;0;165.9;3:53.951;14:03;0:22.948;0:44.420;0:39.152;253.5;Frederic Makowiecki;
59;1;3;1:45.178;0;;22.243;0;44.171;0;38.764;0;168.0;5:39.129;14:05;0:22.243;0:44.171;0:38.764;254.7;Frederic Makowiecki;
59;1;4;1:52.004;0;;22.252;0;49.954;0;39.798;0;157.8;7:31.133;14:07;0:22.252;0:49.954;0:39.798;257.1;Frederic Makowiecki;
59;1;5;1:44.725;2;;22.178;0;44.139;0;38.408;2;168.8;9:15.858;14:09;0:22.178;0:44.139;0:38.408;255.9;Frederic Makowiecki;
59;1;6;1:54.326;0;;22.137;2;47.329;0;44.860;0;154.6;11:10.184;14:11;0:22.137;0:47.329;0:44.860;257.8;Frederic Makowiecki;
59;1;7;1:44.930;0;;22.243;0;43.873;2;38.814;0;168.4;12:55.114;14:12;0:22.243;0:43.873;0:38.814;255.9;Frederic Makowiecki;
61;1;1;5:51.661;0;;4:12.637;0;53.214;0;45.810;0;50.3;5:51.661;14:05;4:12.637;0:53.214;0:45.810;150.4;Marco Cioci;
61;1;2;1:47.170;0;;22.877;0;45.052;0;39.241;0;164.9;7:38.831;14:07;0:22.877;0:45.052;0:39.241;254.7;Marco Cioci;
