POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;39;4;1:52.842;-;-;182.8;4;CarBAhn Motorsports;GS;;;BMW M4 GT4 (G82);M;2563;520;5;188;74;3;;16612;;;Sean;McAlister;Silver;Beverly Hills, CA;;;1847;1;Silver;;;Jeff;Westphal;Gold;Littleton, CO;;;682;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;46;4;1:53.645;+0.803;+0.803;181.5;4;Team TGM;GS;;;Aston Martin Vantage GT4;M;2548;79;5;18;73;3;;16600;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;Owen;Trinkler;Silver;Ashland City ,TN;;;519;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;50;4;1:53.715;+0.873;+0.070;181.4;6;Hattori Motorsports;GS;;;Toyota GR Supra GT4 EVO;M;2459;494;5;202;7662;3;;16625;;;Jack;Hawksworth;Gold;Bradford, United Kingdom;;;838;3;Gold;;;Tyler;Maxson;Silver;Bogart, GA;;;2151;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;69;5;1:53.899;+1.057;+0.184;181.1;6;Motorsports In Action;GS;;;McLaren Artura GT4;M;2215;160;5;201;7651;3;;16617;;;Michael;de Quesada;Silver;Tampa, FL;;;1136;3;Silver;;;Jesse;Lazare;Silver;Montreal, QC;;;728;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;96;5;1:54.269;+1.427;+0.370;180.5;7;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2150;38;5;188;74;3;;16608;;;Francis;Selldorff;Silver;Boston, MA;;;2921;1;Silver;;;Robby;Foley;Gold;Randolph, NJ;;;1302;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;95;5;1:54.322;+1.480;+0.053;180.4;6;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2149;38;5;188;74;3;;16607;;;Dillon;Machavern;Silver;Charlotte, VT;;;463;1;Silver;;;Robert;Megennis;Silver;New York City, NY;;;2412;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;68;3;1:54.424;+1.582;+0.102;180.3;7;Smooge Racing;GS;;;Toyota GR Supra GT4 EVO;M;2583;401;5;202;7662;3;;16621;;;John;Geesbreght;Silver;Fort Worth, TX;;;2778;2;Silver;;;Kevin;Conway;Bronze;Charlotte, NC;;;745;1;Bronze;;;Corey;Lewis;Silver;Nazareth, PA;;;763;3;Silver;;;;;;;;;;;;;;;;;;;;;
8;59;4;1:54.503;+1.661;+0.079;180.1;6;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;16615;;;Luca;Mars;Silver;Sewickley, PA;;;2469;1;Silver;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;92;4;1:54.656;+1.814;+0.153;179.9;4;Random Vandals Racing;GS;;;BMW M4 GT4 (G82);M;2372;397;5;188;74;3;;16613;;;Kenton;Koch;Silver;Charlotte, NC;;;2239;1;Silver;;;Paul;Sparta;Bronze;Great Falls, VA;;;2694;4;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;34;3;1:54.665;+1.823;+0.009;179.9;7;JMF Motorsports;GS;;;Mercedes AMG GT GT4;M;2550;513;5;230;7643;3;;16601;;;Michai;Stephens;;Chicago, IL;;;3228;1;;;;Jesse;Webb;Silver;Mission, BC;;;3217;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
