POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;57;Classified;142;4:00:49.169;-;-;32;1:30.295;156.5;WINWARD RACING;GS;;;Mercedes-AMG GT GT4;M;2331;304;5;227;7643;3;;15718;;;Bryce;Ward;Bronze;Seabrook, TX;;;1249;3;Bronze;;;Daniel;Morad;Gold;Gold;;;1144;4;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;27;Classified;142;4:00:49.735;+0.566;+0.566;119;1:30.479;156.2;Lone Star Racing;GS;;;Mercedes-AMG GT GT4;M;2337;224;5;227;7643;3;;15733;;;Anton;Dias Perera;Bronze;Memphis,TN;;;1987;1;Bronze;;;Scott;Andrews;Gold;Gold;;;1657;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;92;Classified;142;4:00:56.503;+7.334;+6.768;110;1:30.910;155.4;Random Vandals Racing;GS;;;BMW M4 GT4 (G82);M;2372;397;5;188;74;3;;15740;;;Paul;Sparta;;Great Falls, VA;;;2694;4;;;;Kenton;Koch;Silver;Silver;;;2239;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;71;Classified;142;4:00:58.108;+8.939;+1.605;68;1:30.790;155.6;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;15731;;;Frank;DePew;Bronze;Richmond, VA;;;1151;3;Bronze;;;Robin;Liddell;Silver;Silver;;;411;1;Silver;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;;;;;;;;;;;;;;;;;;;
5;96;Classified;142;4:00:59.951;+10.782;+1.843;65;1:30.801;155.6;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2150;38;5;188;74;3;;15722;;;Robby;Foley;Gold;Randolph, NJ;;;1302;2;Gold;;;Vincent;Barletta;Bronze;Bronze;;;1894;1;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;83;Classified;142;4:01:00.340;+11.171;+0.389;63;1:30.927;155.4;BGB Motorsports;GS;;;Porsche 718 GT4 RS CS;M;1597;157;5;108;112;3;;15725;;;Thomas;Collingwood;Bronze;St. John's, Canada;;;1796;1;Bronze;;;Spencer;Pumpelly;Silver;Silver;;;64;3;Silver;;;John;Tecce;Silver;;;;1268;2;Silver;;;;;;;;;;;;;;;;;;;;;
7;28;Classified;142;4:01:00.881;+11.712;+0.541;33;1:30.317;156.5;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;15717;;;Stevan;McAleer;;;;;460;2;;;;Eric;Filgueiras;Silver;Cocoa, FL;;;1662;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;13;Classified;142;4:01:02.955;+13.786;+2.074;61;1:31.474;154.5;McCumbee McAleer Racing with AEROSPORT;GS;;;Ford Mustang GT4;M;2232;473;5;54;107;3;;15732;;;Jenson;Altzman;;;;;2460;3;;;;Chad;McCumbee;Silver;Shallotte, NC;;;461;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;39;Classified;142;4:01:03.492;+14.323;+0.537;63;1:31.075;155.2;CarBahn with Peregrine Racing;GS;;;BMW M4 GT4 (G82);M;2207;378;5;108;112;3;;15727;;;Sean;McAlister;Silver;Beverly Hills, CA;;;1847;1;Silver;;;Nolan;Siegel;Silver;Silver;;;2794;3;Silver;;;Jeff;Westphal;Gold;Littleton, CO;;;682;2;Gold;;;;;;;;;;;;;;;;;;;;;
10;59;Classified;142;4:01:04.326;+15.157;+0.834;69;1:30.826;155.6;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;15726;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;Luca;Mars;Silver;Silver;;;2469;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;95;Classified;142;4:01:04.841;+15.672;+0.515;67;1:31.002;155.3;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2149;38;5;188;74;3;;15721;;;Robert;Megennis;Silver;New York City, NY;;;2412;3;Silver;;;Cameron;Lawrence;Silver;Silver;;;446;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
