POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;28;3;1:52.157;-;-;183.9;6;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;14272;;;Eric;Filgueiras;Silver;Cocoa, FL;;;1662;1;Silver;;;Stevan;McAleer;Silver;Glasgow, Scotland;;;460;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;59;5;1:52.195;+0.038;+0.038;183.8;6;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;14285;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;Luca;Mars;Silver;Sewickley, PA;;;2469;4;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;42;3;1:52.343;+0.186;+0.148;183.6;6;PF Racing;GS;;;Ford Mustang GT4;M;2239;243;5;54;107;3;;14301;;;Harrison;Burton;;Huntersville, NC;;;2769;1;;;;Zane;Smith;;Huntington Beach, CA;;;3062;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;72;4;1:52.650;+0.493;+0.307;183.1;7;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;2302;212;5;214;7643;3;;14280;;;Kenny;Murillo;Silver;Santa Rosa, CA;;;1820;4;Silver;;;Christian;Szymczak;Silver;Oakland, CA;;;850;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;39;5;1:52.658;+0.501;+0.008;183.1;7;CarBahn with Peregrine Racing;GS;;;Porsche 718 GT4 RS CS;M;2207;378;5;108;112;3;;14287;;;Sean;McAlister;Silver;Beverly Hills, CA;;;1847;1;Silver;;;Nolan;Siegel;Silver;Palo Alto, CA;;;2794;3;Silver;;;Jeff;Westphal;Gold;Littleton, CO;;;682;2;Gold;;;;;;;;;;;;;;;;;;;;;
6;19;7;1:52.681;+0.524;+0.023;183.0;7;van der Steur Racing;GS;;;Aston Martin Vantage GT4;M;2212;341;5;56;73;3;;14288;;;Wyatt;Brichacek;Silver;Johnstown, CO;;;3025;3;Silver;;;Austin;McCusker;Silver;Glen Head, NY;;;1586;2;Silver;;;Rory;van der Steur;Silver;Chesapeake City, MD;;;2970;1;Silver;;;;;;;;;;;;;;;;;;;;;
7;25;4;1:52.726;+0.569;+0.045;183.0;7;Auto Technic Racing;GS;;;BMW M4 GT4 (G82);M;2217;385;5;188;74;3;;14291;;;JCD;Dubets;Silver;San Diego, CA;;;2913;1;Silver;;;Rob;Walker;Bronze;San Diego, CA;;;2967;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;41;4;1:52.862;+0.705;+0.136;182.7;8;PF Racing;GS;;;Ford Mustang GT4;M;708;243;5;54;107;3;;14300;;;Ben;Rhodes;;Louisville, KY;;;1843;2;;;;Hailie;Deegan;;Temecula, CA;;;2025;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;29;4;1:53.035;+0.878;+0.173;182.5;5;TR3 Racing;GS;B;;Aston Martin Vantage GT4;M;2181;373;5;56;73;3;;14282;;;Jon;Branam;Bronze;Miami, FL;;;1238;1;Bronze;;;John;Potter;Bronze;;;;670;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;69;4;1:53.191;+1.034;+0.156;182.2;5;Motorsports In Action;GS;;;McLaren Artura GT4;M;2215;160;5;201;7651;3;;14290;;;Jesse;Lazare;Silver;Montreal;;;728;1;Silver;;;Alex;Filsinger;Silver;Guelph, Ontario;;;3017;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;95;5;1:53.265;+1.108;+0.074;182.1;6;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2149;38;5;188;74;3;;14278;;;Robert;Megennis;Silver;New York City, NY;;;2412;3;Silver;;;Cameron;Lawrence;Silver;Lakeway, TX;;;446;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;13;4;1:53.293;+1.136;+0.028;182.1;6;McCumbee McAleer Racing with AEROSPORT;GS;;;Ford Mustang GT4;M;2232;473;5;54;107;3;;14296;;;Jenson;Altzman;;Phoenix, AZ;;;2460;3;;;;Chad;McCumbee;Silver;Shallotte, NC;;;461;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;11;4;1:53.422;+1.265;+0.129;181.8;5;Wilsports;GS;B;;Mercedes-AMG GT GT4;M;2309;380;5;214;7643;3;;14286;;;Gary;Ferrera;Bronze;Littleton, CO;;;1735;1;Bronze;;;Kris;Wilson;Bronze;Golden, CO;;;423;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;46;6;1:53.507;+1.350;+0.085;181.7;7;Team TGM;GS;;;Aston Martin Vantage GT4;M;2137;79;5;56;73;3;;14270;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;57;4;1:53.647;+1.490;+0.140;181.5;6;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;2295;304;5;214;7643;3;;14273;;;Daniel;Morad;Gold;Toronto, ON;;;1144;2;Gold;;;Bryce;Ward;Bronze;Seabrook, TX;;;1249;3;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;14;7;1:53.889;+1.732;+0.242;181.1;7;Ave Motorsports;GS;;;Toyota GR Supra GT4 EVO;M;2221;163;5;202;7662;3;;14294;;;Damian;Fineschi;;Quilmes, Argentina;;;2933;3;;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;1;;;;Thiago;Camilo;Gold;Sao Paulo, Brazil;;;2590;2;Gold;;;;;;;;;;;;;;;;;;;;;
17;44;7;1:53.952;+1.795;+0.063;181.0;7;Accelerating Performance;GS;;;Aston Martin Vantage GT4;M;2145;416;5;56;73;3;;14277;;;Moisey;Uretsky;Bronze;Miami, FL;;;2465;1;Bronze;;;Justin;Piscitell;Silver;Wingdale, NY;;;493;2;Silver;;;Michael;Cooper;Silver;Huntington, NY;;;2550;3;Silver;;;;;;;;;;;;;;;;;;;;;
18;88;4;1:54.022;+1.865;+0.070;180.9;8;Archangel Motorsports;GS;;;Aston Martin Vantage GT4;M;2141;300;5;56;73;3;;14274;;;Todd;Coleman;Bronze;Lakewood, CO;;;1944;1;Bronze;;;Conrad;Grunewald;Silver;Houston, TX;;;872;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;27;6;1:54.023;+1.866;+0.001;180.9;7;Lone Star Racing;GS;;;Mercedes-AMG GT GT4;M;2311;224;5;214;7643;3;;14297;;;Anton;Dias Perera;Bronze;Memphis,TN;;;1987;1;Bronze;;;Scott;Andrews;Gold;Torquay, Australia;;;1657;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
