POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;26;8;1:28.480;+1.563;+0.032;147.9;10;Fast Track Racing;GS;;;BMW M4 GT4;M;480;216;5;68;74;3;;8105;;;Toby;Grahovec;;Celina, TX;;;1540;3;;;;Chandler;Hull;;Dallas, TX;;;2152;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;57;8;1:28.501;+1.584;+0.021;147.8;10;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;794;304;5;89;7643;3;;8062;;;Bryce;Ward;;Seabrook, TX;;;1249;3;;;;Alec;Udell;;The Woodlands, TX;;;866;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;38;6;1:28.582;+1.665;+0.081;147.7;6;BGB Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;810;157;5;78;112;3;;8068;;;Thomas;Collingwood;;St. John's, NL;;;1796;3;;;;Jan;Heylen;;Dunedin, FL;;;184;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;40;5;1:28.621;+1.704;+0.039;147.6;10;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;8007;;;James;Pesek;;Harrisonville, MO;;;1745;3;;;;Chad;McCumbee;;Ocean Isle Beach, NC;;;461;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;3;6;1:29.005;+2.088;+0.384;147.0;10;Motorsports In Action;GS;;;McLaren 570S GT4;M;818;160;5;88;7651;3;;8094;;;Sheena;Monk;;Newtown, PA;;;1532;1;;;;Corey;Lewis;;Nazareth, PA;;;763;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;8;4;1:29.043;+2.126;+0.038;146.9;9;McCann Racing;GS;;;Audi R8 GT4;M;791;303;5;86;909;3;;8059;;;Michael;McCann Jr.;;Canton, OH;;;1937;2;;;;Britt;Casey Jr.;;Barrington, IL;;;845;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;96;4;1:29.658;+2.741;+0.615;145.9;8;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;8033;;;Robby;Foley;;Randolph, NJ;;;1302;2;;;;Vincent;Barletta;;Canton, MA;;;1894;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;93;7;1:29.773;+2.856;+0.115;145.7;10;CarBahn Motorsports;GS;;;Audi R8 GT4;M;863;285;5;86;909;3;;8103;;;Mark;Siegel;;Palo Alto, CA;;;1569;1;;;;Tom;Dyer;;Novato, CA;;;805;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;65;6;1:29.925;+3.008;+0.152;145.5;10;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;766;212;5;89;7643;3;;8038;;;Brent;Mosing;;Lafayette, LA;;;492;2;;;;Tim;Probert;;Houston, TX;;;491;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;77;10;1:30.597;+3.680;+0.672;144.4;11;LA Honda World Racing;TCR;;;Honda Civic TCR;M;774;262;22;77;2081;3;;8074;;;Ryan;Eversley;;Atlanta, GA;;;501;2;;;;Taylor;Hagler;;San Antonio, TX;;;1921;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;5;10;1:30.610;+3.693;+0.013;144.4;11;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta TCR;M;620;265;22;70;7658;3;;8045;;;Roy;Block;;Corrientes, Argentia;;;1077;3;;;;Tim;Lewis;;Boca Raton, FL;;;1995;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;23;4;1:30.713;+3.796;+0.103;144.2;8;FASTMD Racing with Speed Syndicate;TCR;;;Audi RS3 LMS TCR;M;811;314;22;84;909;3;;8070;;;James;Vance;;Toronto, ON;;;486;2;;;;Max;Faulkner;;Little Silver, NJ;;;1595;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;21;6;1:31.029;+4.112;+0.316;143.7;8;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Veloster N TCR;M;592;255;22;76;7660;3;;8011;;;Harry;Gottsacker;;San Antonio, TX;;;1456;3;;;;Mark;Wilkins;;Mulmur, ON;;;317;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;61;10;1:31.113;+4.196;+0.084;143.6;11;Road Shagger Racing;TCR;;;Audi RS3 LMS TCR;M;764;225;22;84;909;3;;8036;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;Jon;Morley;;San Francisco, CA;;;2022;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;98;6;1:31.203;+4.286;+0.090;143.4;8;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Veloster N TCR;M;591;255;22;76;7660;3;;8010;;;Michael;Lewis;;Laguna Beach, CA;;;730;2;;;;Mason;Filippi;;Alamo, CA;;;1829;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;33;5;1:31.270;+4.353;+0.067;143.3;6;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Veloster N TCR;M;806;255;22;76;7660;3;;8047;;;Gabby;Chaves;;Indianapolis, IN;;;600;1;;;;Ryan;Norman;;Chagrin Falls, OH;;;1927;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;29;5;1:31.302;+4.385;+0.032;143.3;6;Bryan Herta Autosport w/ Curb Agajanian;TCR;;;Hyundai Veloster N TCR;M;865;255;22;76;7660;3;;8102;;;Parker;Chase;;New Braunfels, TX;;;1137;1;;;;Spencer;Brockman;;Westport, CT;;;2037;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;54;0;;;;;0;JDC-Miller MotorSports;TCR;;;Audi RS3 LMS TCR;M;755;270;22;84;909;3;;8073;;;Michael;Johnson;;Mount Morris, MI;;;261;1;;;;Stephen;Simpson;;Cape Town, S. Africa;;;765;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;71;0;;;;;0;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;8051;;;Frank;DePew;;Richmond, VA;;;1151;3;;;;Robin;Liddell;;Edinburgh, Scotland;;;411;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
