NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;
1;0;1;2:44.779;0;;55.694;0;48.423;0;1:00.662;0;127.6;2:44.779;09:17;
1;0;2;2:21.467;0;;41.264;0;41.378;0;58.825;0;148.7;5:06.246;09:20;
1;0;3;2:17.578;0;;39.029;0;40.692;0;57.857;0;152.9;7:23.824;09:22;
1;0;4;2:16.736;0;;38.647;0;40.573;0;57.516;0;153.8;9:40.560;09:24;
1;0;5;2:16.007;0;;38.433;0;40.344;0;57.230;0;154.6;11:56.567;09:26;
1;0;6;2:37.114;0;B;38.277;0;43.884;0;1:14.953;0;133.9;14:33.681;09:29;
1;0;7;9:25.547;0;;7:47.953;0;40.268;0;57.326;0;37.2;23:59.228;09:38;
1;0;8;2:15.308;0;;37.926;0;40.335;0;57.047;0;155.4;26:14.536;09:41;
1;0;9;2:14.607;0;;37.856;0;40.048;0;56.703;0;156.2;28:29.143;09:43;
1;0;10;2:14.837;0;;37.859;0;39.847;0;57.131;0;156.0;30:43.980;09:45;
1;0;11;2:25.496;0;B;37.841;0;40.276;0;1:07.379;0;144.5;33:09.476;09:48;
1;0;12;7:33.713;0;;5:41.107;0;46.132;0;1:06.474;0;46.4;40:43.189;09:55;
1;0;13;2:29.668;0;;38.853;0;49.143;0;1:01.672;0;140.5;43:12.857;09:58;
1;0;14;2:13.398;0;;37.349;0;39.851;0;56.198;2;157.7;45:26.255;10:00;
1;0;15;2:13.161;2;;37.231;0;39.699;0;56.231;0;157.9;47:39.416;10:02;
1;0;16;2:13.554;0;;37.189;2;39.612;2;56.753;0;157.5;49:52.970;10:04;
1;0;17;2:29.543;0;B;38.283;0;41.110;0;1:10.150;0;140.6;52:22.513;10:07;
1;0;18;6:07.735;0;;4:31.182;0;39.953;0;56.600;0;57.2;58:30.248;10:13;
1;0;19;2:13.759;0;;37.464;0;39.673;0;56.622;0;157.2;1:00:44.007;10:15;
11;0;1;1:55.167;0;B;;0;;0;;0;182.6;1:55.167;09:16;
11;0;2;4:05.459;0;;2:01.860;0;55.794;0;1:07.805;0;85.7;6:00.626;09:21;
11;0;3;2:36.709;0;;42.858;0;44.655;0;1:09.196;0;134.2;8:37.335;09:23;
11;0;4;2:14.312;0;;38.191;0;39.856;0;56.265;0;156.6;10:51.647;09:25;
11;0;5;2:13.078;0;;37.521;0;38.203;2;57.354;0;158.0;13:04.725;09:28;
11;0;6;2:14.077;0;;37.670;0;39.663;0;56.744;0;156.9;15:18.802;09:30;
11;0;7;2:15.235;0;;38.208;0;39.617;0;57.410;0;155.5;17:34.037;09:32;
11;0;8;2:27.408;0;B;38.934;0;42.164;0;1:06.310;0;142.7;20:01.445;09:35;
11;0;9;8:19.926;0;;6:43.255;0;40.141;0;56.530;0;42.1;28:21.371;09:43;
11;0;10;2:14.411;0;;37.449;0;39.784;0;57.178;0;156.5;30:35.782;09:45;
11;0;11;2:13.561;0;;37.630;0;39.631;0;56.300;0;157.5;32:49.343;09:47;
11;0;12;2:13.413;0;;37.491;0;39.309;0;56.613;0;157.6;35:02.756;09:50;
11;0;13;2:12.999;0;;37.437;0;39.516;0;56.046;0;158.1;37:15.755;09:52;
11;0;14;2:40.004;0;B;44.282;0;44.794;0;1:10.928;0;131.4;39:55.759;09:54;
11;0;15;9:02.671;0;;6:59.000;0;55.675;0;1:07.996;0;38.8;48:58.430;10:03;
11;0;16;2:23.241;0;;42.647;0;43.602;0;56.992;0;146.8;51:21.671;10:06;
11;0;17;2:13.304;0;;37.494;0;39.589;0;56.221;0;157.8;53:34.975;10:08;
11;0;18;2:12.220;3;;37.052;0;39.201;0;55.967;2;159.1;55:47.195;10:10;
11;0;19;2:19.515;0;;36.951;3;39.301;0;1:03.263;0;150.7;58:06.710;10:13;
11;0;20;2:12.245;0;;37.054;0;39.207;0;55.984;0;159.0;1:00:18.955;10:15;
12;0;1;2:58.215;0;;1:02.903;0;49.855;0;1:05.457;0;118.0;2:58.215;09:17;
12;0;2;2:25.515;0;;41.744;0;43.635;0;1:00.136;0;144.5;5:23.730;09:20;
12;0;3;2:22.211;0;;39.749;0;42.493;0;59.969;0;147.9;7:45.941;09:22;
12;0;4;2:18.431;0;;39.098;0;41.099;0;58.234;0;151.9;10:04.372;09:25;
12;0;5;4:32.413;0;B;38.936;0;41.111;0;3:12.366;0;77.2;14:36.785;09:29;
12;0;6;2:45.507;0;;1:01.626;0;44.355;0;59.526;0;127.1;17:22.292;09:32;
12;0;7;2:14.110;2;;38.067;0;38.822;2;57.221;0;156.8;19:36.402;09:34;
12;0;8;2:15.623;0;;38.157;0;40.605;0;56.861;2;155.1;21:52.025;09:36;
12;0;9;2:15.815;0;;38.062;0;40.538;0;57.215;0;154.9;24:07.840;09:39;
12;0;10;4:56.050;0;B;39.562;0;41.699;0;3:34.789;0;71.0;29:03.890;09:44;
12;0;11;2:37.666;0;;56.191;0;41.716;0;59.759;0;133.4;31:41.556;09:46;
12;0;12;3:58.445;0;B;39.281;0;42.724;0;2:36.440;0;88.2;35:40.001;09:50;
12;0;13;2:36.016;0;;55.611;0;41.239;0;59.166;0;134.8;38:16.017;09:53;
12;0;14;2:18.025;0;;38.156;0;41.789;0;58.080;0;152.4;40:34.042;09:55;
12;0;15;2:17.782;0;;38.959;0;41.479;0;57.344;0;152.6;42:51.824;09:57;
12;0;16;2:16.240;0;;37.815;2;40.574;0;57.851;0;154.4;45:08.064;10:00;
12;0;17;6:04.057;0;B;38.354;0;42.775;0;4:42.928;0;57.8;51:12.121;10:06;
14;0;1;3:07.119;0;;1:14.689;0;49.056;0;1:03.374;0;112.4;3:07.119;09:18;
14;0;2;2:27.156;0;;40.775;0;42.960;0;1:03.421;0;142.9;5:34.275;09:20;
14;0;3;2:22.857;0;;40.958;0;42.147;0;59.752;0;147.2;7:57.132;09:22;
14;0;4;2:20.455;0;;39.451;0;41.423;0;59.581;0;149.7;10:17.587;09:25;
14;0;5;2:19.072;0;;39.216;0;41.094;0;58.762;0;151.2;12:36.659;09:27;
14;0;6;2:17.985;0;;38.767;0;40.924;0;58.294;0;152.4;14:54.644;09:29;
14;0;7;9:01.159;0;B;38.981;0;42.380;0;7:39.798;0;38.9;23:55.803;09:38;
14;0;8;2:44.634;0;;1:01.195;0;44.536;0;58.903;0;127.7;26:40.437;09:41;
14;0;9;2:15.647;0;;37.911;0;40.832;0;56.904;0;155.0;28:56.084;09:43;
14;0;10;2:14.869;0;;37.752;0;40.190;0;56.927;0;155.9;31:10.953;09:46;
14;0;11;2:14.353;0;;37.487;0;39.953;2;56.913;0;156.5;33:25.306;09:48;
14;0;12;2:14.643;0;;37.529;0;40.046;0;57.068;0;156.2;35:39.949;09:50;
14;0;13;2:14.330;0;;37.615;0;40.018;0;56.697;2;156.6;37:54.279;09:52;
14;0;14;14:59.356;0;B;37.741;0;46.424;0;13:35.191;0;23.4;52:53.635;10:07;
14;0;15;2:34.534;0;;56.981;0;40.337;0;57.216;0;136.1;55:28.169;10:10;
14;0;16;2:14.567;0;;37.652;0;40.200;0;56.715;0;156.3;57:42.736;10:12;
14;0;17;2:14.275;2;;37.363;0;40.032;0;56.880;0;156.6;59:57.011;10:14;
14;0;18;2:14.467;0;;37.328;2;40.068;0;57.071;0;156.4;1:02:11.478;10:17;
2;0;1;2:52.483;0;;58.480;0;49.330;0;1:04.673;0;121.9;2:52.483;09:17;
2;0;2;2:23.195;0;;41.924;0;42.750;0;58.521;0;146.9;5:15.678;09:20;
2;0;3;2:16.324;0;;38.480;0;40.515;0;57.329;0;154.3;7:32.002;09:22;
2;0;4;2:15.604;0;;38.217;0;40.169;0;57.218;0;155.1;9:47.606;09:24;
2;0;5;2:27.987;0;B;37.649;0;40.180;0;1:10.158;0;142.1;12:15.593;09:27;
2;0;6;10:08.522;0;;8:28.875;0;41.267;0;58.380;0;34.6;22:24.115;09:37;
2;0;7;2:15.222;0;;38.035;0;40.230;0;56.957;0;155.5;24:39.337;09:39;
2;0;8;2:14.649;0;;37.935;0;39.893;0;56.821;0;156.2;26:53.986;09:41;
2;0;9;2:13.543;2;;37.564;0;39.612;0;56.367;2;157.5;29:07.529;09:44;
2;0;10;2:32.773;0;B;38.205;0;42.824;0;1:11.744;0;137.7;31:40.302;09:46;
2;0;11;6:43.695;0;;5:02.858;0;40.090;0;1:00.747;0;52.1;38:23.997;09:53;
2;0;12;2:14.133;0;;37.550;0;39.785;0;56.798;0;156.8;40:38.130;09:55;
2;0;13;2:24.034;0;B;38.144;0;40.422;0;1:05.468;0;146.0;43:02.164;09:58;
2;0;14;8:26.870;0;;6:43.171;0;44.045;0;59.654;0;41.5;51:29.034;10:06;
2;0;15;2:14.607;0;;37.878;0;40.082;0;56.647;0;156.2;53:43.641;10:08;
2;0;16;2:13.640;0;;37.398;0;39.628;0;56.614;0;157.4;55:57.281;10:10;
2;0;17;2:13.670;0;;37.385;0;39.510;0;56.775;0;157.3;58:10.951;10:13;
2;0;18;2:13.552;0;;37.339;2;39.384;2;56.829;0;157.5;1:00:24.503;10:15;
22;0;1;1:49.610;0;B;;0;;0;;0;191.9;1:49.610;09:16;
22;0;2;3:46.086;0;;1:42.503;0;54.353;0;1:09.230;0;93.0;5:35.696;09:20;
22;0;3;2:30.580;0;;43.370;0;44.325;0;1:02.885;0;139.7;8:06.276;09:23;
22;0;4;2:24.338;0;;39.994;0;42.930;0;1:01.414;0;145.7;10:30.614;09:25;
22;0;5;2:22.871;0;;40.010;0;42.434;0;1:00.427;0;147.2;12:53.485;09:27;
22;0;6;2:23.093;0;;40.066;0;42.125;0;1:00.902;0;147.0;15:16.578;09:30;
22;0;7;2:24.764;0;;40.445;0;42.534;0;1:01.785;0;145.3;17:41.342;09:32;
22;0;8;2:22.901;0;;39.867;0;42.744;0;1:00.290;0;147.2;20:04.243;09:35;
22;0;9;2:22.193;0;;39.645;0;42.348;0;1:00.200;0;147.9;22:26.436;09:37;
22;0;10;2:35.417;0;;39.572;0;42.563;0;1:13.282;0;135.3;25:01.853;09:40;
22;0;11;2:23.525;0;;40.384;0;42.142;0;1:00.999;0;146.5;27:25.378;09:42;
22;0;12;2:41.883;0;B;40.660;0;42.563;0;1:18.660;0;129.9;30:07.261;09:45;
22;0;13;7:27.494;0;;5:42.526;0;44.147;0;1:00.821;0;47.0;37:34.755;09:52;
22;0;14;2:23.235;0;;39.862;0;42.468;0;1:00.905;0;146.8;39:57.990;09:54;
22;0;15;2:23.672;0;;39.851;0;43.369;0;1:00.452;0;146.4;42:21.662;09:57;
22;0;16;2:22.466;0;;40.040;0;41.432;0;1:00.994;0;147.6;44:44.128;09:59;
22;0;17;2:36.381;0;B;39.863;0;42.464;0;1:14.054;0;134.5;47:20.509;10:02;
22;0;18;5:56.300;0;;4:07.133;0;47.959;0;1:01.208;0;59.0;53:16.809;10:08;
22;0;19;2:21.598;0;;39.665;0;41.146;2;1:00.787;0;148.5;55:38.407;10:10;
