NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;
1;0;1;4:08.882;0;;2:25.088;0;44.019;0;59.775;0;84.5;4:08.882;14:29;
1;0;2;2:13.141;0;;37.009;0;39.949;0;56.183;2;158.0;6:22.023;14:31;
1;0;3;2:13.075;2;;37.000;2;39.667;2;56.408;0;158.0;8:35.098;14:33;
1;0;4;2:33.091;0;B;38.806;0;42.506;0;1:11.779;0;137.4;11:08.189;14:36;
11;0;1;4:46.874;0;;2:49.821;0;57.801;0;59.252;0;73.3;4:46.874;14:29;
11;0;2;2:12.716;0;;37.373;0;39.213;0;56.130;0;158.5;6:59.590;14:31;
11;0;3;2:12.107;2;;36.949;0;39.119;2;56.039;2;159.2;9:11.697;14:34;
11;0;4;2:12.463;0;;36.901;2;39.245;0;56.317;0;158.8;11:24.160;14:36;
11;0;5;2:16.796;0;;37.047;0;39.329;0;1:00.420;0;153.7;13:40.956;14:38;
11;0;6;2:48.794;0;B;46.886;0;45.662;0;1:16.246;0;124.6;16:29.750;14:41;
12;0;1;17:46.706;0;;16:03.811;0;44.079;0;58.816;0;19.7;17:46.706;14:42;
12;0;2;2:15.767;0;;38.432;0;40.482;0;56.853;0;154.9;20:02.473;14:45;
12;0;3;2:14.908;0;;37.513;0;40.482;0;56.913;0;155.9;22:17.381;14:47;
12;0;4;2:14.769;0;;37.614;0;40.318;0;56.837;2;156.1;24:32.150;14:49;
12;0;5;2:14.538;2;;37.505;2;40.121;0;56.912;0;156.3;26:46.688;14:51;
12;0;6;2:17.484;0;;37.654;0;37.382;3;1:02.448;0;153.0;29:04.172;14:54;
14;0;1;2:43.824;0;;58.000;0;44.825;0;1:00.999;0;128.4;2:43.824;14:27;
14;0;2;2:14.192;0;;37.843;0;39.964;0;56.385;0;156.7;4:58.016;14:29;
14;0;3;2:14.038;0;;37.736;0;39.948;0;56.354;2;156.9;7:12.054;14:32;
14;0;4;2:13.227;2;;37.373;2;39.489;0;56.365;0;157.9;9:25.281;14:34;
14;0;5;2:14.183;0;;37.442;0;39.308;2;57.433;0;156.7;11:39.464;14:36;
14;0;6;19:11.151;0;B;42.709;0;46.734;0;17:41.708;0;18.3;30:50.615;14:55;
2;0;1;3:04.143;0;;1:06.222;0;46.342;0;1:11.579;0;114.2;3:04.143;14:28;
2;0;2;2:14.920;0;;38.361;0;39.828;0;56.731;0;155.9;5:19.063;14:30;
2;0;3;2:13.172;0;;37.081;2;39.482;0;56.609;0;157.9;7:32.235;14:32;
2;0;4;2:13.242;0;;37.174;0;39.329;2;56.739;0;157.8;9:45.477;14:34;
2;0;5;2:13.157;2;;37.210;0;39.544;0;56.403;2;157.9;11:58.634;14:36;
2;0;6;2:54.893;0;B;41.422;0;47.244;0;1:26.227;0;120.3;14:53.527;14:39;
22;0;1;18:18.670;0;;16:27.921;0;48.706;0;1:02.043;0;19.1;18:18.670;14:43;
22;0;2;2:19.561;0;;39.367;0;41.281;2;58.913;2;150.7;20:38.231;14:45;
22;0;3;2:19.564;0;;39.104;0;41.519;0;58.941;0;150.7;22:57.795;14:47;
22;0;4;2:20.092;0;;38.774;2;41.425;0;59.893;0;150.1;25:17.887;14:50;
22;0;5;2:19.404;2;;38.988;0;41.358;0;59.058;0;150.9;27:37.291;14:52;
22;0;6;2:35.700;0;;39.271;0;41.348;0;1:15.081;0;135.1;30:12.991;14:55;
23;0;1;17:55.400;0;;16:05.836;0;46.187;0;1:03.377;0;19.6;17:55.400;14:42;
23;0;2;2:24.005;0;;41.361;0;42.978;0;59.666;0;146.0;20:19.405;14:45;
23;0;3;2:20.471;2;;39.692;0;41.402;2;59.377;0;149.7;22:39.876;14:47;
23;0;4;2:20.768;0;;39.478;2;42.032;0;59.258;2;149.4;25:00.644;14:50;
24;0;1;16:19.838;0;B;;0;;0;;0;21.5;16:19.838;14:41;
24;0;2;2:37.231;0;;58.325;0;41.422;0;57.484;0;133.8;18:57.069;14:43;
24;0;3;2:13.375;0;;37.500;0;40.013;0;55.862;3;157.7;21:10.444;14:46;
24;0;4;2:12.316;0;;37.033;0;39.340;0;55.943;0;158.9;23:22.760;14:48;
24;0;5;2:11.981;3;;36.989;1;39.130;2;55.862;0;159.4;25:34.741;14:50;
26;0;1;17:48.560;0;;16:02.683;0;46.726;0;59.151;0;19.7;17:48.560;14:42;
26;0;2;2:16.631;0;;38.243;0;40.355;0;58.033;0;153.9;20:05.191;14:45;
26;0;3;2:15.147;0;;37.888;0;39.804;2;57.455;0;155.6;22:20.338;14:47;
26;0;4;2:15.123;2;;37.801;2;40.123;0;57.199;2;155.6;24:35.461;14:49;
26;0;5;2:32.455;0;;40.291;0;46.664;0;1:05.500;0;138.0;27:07.916;14:52;
26;0;6;2:15.483;0;;37.829;0;40.231;0;57.423;0;155.2;29:23.399;14:54;
26;0;7;2:15.415;0;;37.955;0;40.071;0;57.389;0;155.3;31:38.814;14:56;
3;0;1;3:35.900;0;;1:46.483;0;46.387;0;1:03.030;0;97.4;3:35.900;14:28;
3;0;2;2:16.586;0;;38.578;0;40.564;0;57.444;0;154.0;5:52.486;14:30;
3;0;3;2:16.171;2;;38.327;2;40.481;2;57.363;2;154.4;8:08.657;14:33;
3;0;4;2:16.476;0;;38.383;0;40.493;0;57.600;0;154.1;10:25.133;14:35;
30;0;1;17:41.525;0;;15:56.308;0;45.208;0;1:00.009;0;19.8;17:41.525;14:42;
30;0;2;2:15.586;0;;38.470;0;40.642;0;56.474;0;155.1;19:57.111;14:44;
30;0;3;2:13.833;0;;37.357;2;40.164;0;56.312;2;157.1;22:10.944;14:47;
30;0;4;2:13.603;0;;37.413;0;39.815;0;56.375;0;157.4;24:24.547;14:49;
30;0;5;2:13.496;2;;37.552;0;39.549;2;56.395;0;157.5;26:38.043;14:51;
34;0;1;18:39.074;0;;16:57.397;0;43.142;0;58.535;0;18.8;18:39.074;14:43;
34;0;2;2:17.681;0;;39.106;0;40.972;0;57.603;0;152.8;20:56.755;14:45;
34;0;3;2:16.228;2;;38.274;0;40.661;2;57.293;2;154.4;23:12.983;14:48;
34;0;4;2:17.032;0;;38.491;0;40.695;0;57.846;0;153.5;25:30.015;14:50;
34;0;5;2:17.083;0;;38.603;0;40.816;0;57.664;0;153.4;27:47.098;14:52;
34;0;6;2:16.655;0;;38.195;2;40.729;0;57.731;0;153.9;30:03.753;14:55;
46;0;1;2:55.425;0;;56.962;0;44.635;0;1:13.828;0;119.9;2:55.425;14:27;
46;0;2;2:14.106;0;;37.837;0;40.026;0;56.243;0;156.8;5:09.531;14:30;
46;0;3;2:12.865;0;;37.332;0;39.502;0;56.031;2;158.3;7:22.396;14:32;
46;0;4;2:12.818;2;;37.328;0;39.349;2;56.141;0;158.3;9:35.214;14:34;
46;0;5;2:12.885;0;;37.275;2;39.416;0;56.194;0;158.3;11:48.099;14:36;
46;0;6;18:43.614;0;B;45.140;0;53.016;0;17:05.458;0;18.7;30:31.713;14:55;
5;0;1;2:38.574;0;;57.412;0;43.208;0;57.954;0;132.6;2:38.574;14:27;
5;0;2;2:15.086;0;;38.491;0;39.771;0;56.824;2;155.7;4:53.660;14:29;
5;0;3;2:16.032;0;;37.705;0;40.065;0;58.262;0;154.6;7:09.692;14:32;
5;0;4;2:14.662;2;;37.921;0;39.612;2;57.129;0;156.2;9:24.354;14:34;
5;0;5;2:16.166;0;;37.499;2;39.828;0;58.839;0;154.5;11:40.520;14:36;
64;0;1;17:56.825;0;;16:09.931;0;45.000;0;1:01.894;0;19.5;17:56.825;14:42;
64;0;2;2:20.189;0;;39.498;0;41.310;0;59.381;0;150.0;20:17.014;14:45;
64;0;3;2:17.306;0;;38.764;0;39.928;2;58.614;0;153.2;22:34.320;14:47;
64;0;4;2:16.605;0;;38.651;0;40.019;0;57.935;2;154.0;24:50.925;14:49;
64;0;5;2:18.996;0;;38.057;0;42.123;0;58.816;0;151.3;27:09.921;14:52;
64;0;6;2:16.393;2;;37.947;2;40.274;0;58.172;0;154.2;29:26.314;14:54;
64;0;7;2:17.158;0;;37.948;0;41.021;0;58.189;0;153.3;31:43.472;14:56;
69;0;1;17:59.021;0;;16:13.258;0;44.288;0;1:01.475;0;19.5;17:59.021;14:42;
69;0;2;2:21.364;0;;39.604;0;41.504;0;1:00.256;0;148.8;20:20.385;14:45;
69;0;3;2:20.738;0;;39.782;0;41.188;0;59.768;0;149.4;22:41.123;14:47;
69;0;4;2:37.358;0;;39.686;0;51.080;0;1:06.592;0;133.7;25:18.481;14:50;
69;0;5;2:19.431;2;;39.311;0;41.162;2;58.958;2;150.8;27:37.912;14:52;
69;0;6;2:20.266;0;;39.221;2;41.460;0;59.585;0;149.9;29:58.178;14:54;
76;0;1;17:52.346;0;;16:00.357;0;49.129;0;1:02.860;0;19.6;17:52.346;14:42;
76;0;2;2:21.521;0;;39.285;0;41.505;0;1:00.731;0;148.6;20:13.867;14:45;
76;0;3;2:17.120;0;;38.196;0;40.552;2;58.372;0;153.4;22:30.987;14:47;
76;0;4;2:15.906;2;;37.830;0;40.574;0;57.502;2;154.7;24:46.893;14:49;
76;0;5;2:16.268;0;;37.741;2;40.827;0;57.700;0;154.3;27:03.161;14:52;
