NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;
71;1;7;2:26.842;0;B;40.655;0;35.959;0;1:10.228;0;142.0;20:08.440;14:05;
72;1;1;7:41.122;0;;6:10.379;0;34.493;0;56.250;0;45.2;7:41.122;13:52;
72;1;2;2:07.423;0;;36.904;0;34.041;0;56.478;0;163.6;9:48.545;13:54;
72;1;3;2:02.034;0;;36.591;0;31.450;0;53.993;0;170.8;11:50.579;13:56;
72;1;4;2:01.691;2;;36.485;0;31.468;0;53.738;2;171.3;13:52.270;13:58;
72;1;5;2:01.829;0;;36.423;2;31.442;2;53.964;0;171.1;15:54.099;14:00;
72;1;6;2:19.736;0;;43.333;0;36.600;0;59.803;0;149.2;18:13.835;14:03;
72;1;7;2:02.270;0;;36.729;0;31.583;0;53.958;0;170.5;20:16.105;14:05;
75;0;1;6:10.074;0;B;;0;;0;;0;56.3;6:10.074;13:51;
75;1;2;2:32.586;0;;1:03.742;0;33.017;0;55.827;0;136.6;8:42.660;13:53;
75;1;3;1:59.527;0;;36.059;0;30.838;0;52.630;2;174.4;10:42.187;13:55;
75;1;4;1:59.567;0;;35.928;0;30.763;0;52.876;0;174.4;12:41.754;13:57;
75;1;5;1:59.244;2;;35.792;0;30.733;2;52.719;0;174.8;14:40.998;13:59;
75;1;6;1:59.338;0;;35.709;2;30.824;0;52.805;0;174.7;16:40.336;14:01;
75;1;7;2:08.726;0;;42.248;0;32.135;0;54.343;0;162.0;18:49.062;14:03;
76;0;1;5:51.401;0;B;;0;;0;;0;59.3;5:51.401;13:50;
76;0;2;2:26.182;0;;1:00.561;0;31.294;0;54.327;0;142.6;8:17.583;13:53;
76;0;3;1:59.679;0;;35.861;0;31.019;0;52.799;2;174.2;10:17.262;13:55;
76;0;4;1:59.526;0;;35.586;0;30.936;0;53.004;0;174.4;12:16.788;13:57;
76;0;5;1:59.457;2;;35.483;2;30.872;2;53.102;0;174.5;14:16.245;13:59;
76;0;6;2:47.947;0;B;36.057;0;31.020;0;1:40.870;0;124.1;17:04.192;14:02;
76;0;7;2:16.748;0;;52.234;0;31.017;0;53.497;0;152.5;19:20.940;14:04;
77;1;1;10:37.198;0;;9:03.039;0;37.334;0;56.825;0;32.7;10:37.198;13:55;
77;1;2;2:00.229;0;;36.205;0;30.869;0;53.155;0;173.4;12:37.427;13:57;
77;1;3;1:59.455;2;;35.751;2;30.827;2;52.877;2;174.5;14:36.882;13:59;
77;1;4;2:06.613;0;;35.910;0;31.174;0;59.529;0;164.7;16:43.495;14:01;
77;1;5;2:03.074;0;;37.377;0;31.785;0;53.912;0;169.4;18:46.569;14:03;
77;1;6;2:08.442;0;B;35.948;0;30.887;0;1:01.607;0;162.3;20:55.011;14:05;
79;1;1;5:59.021;0;;4:30.534;0;31.802;0;56.685;0;58.1;5:59.021;13:50;
79;1;2;2:02.999;0;;36.469;0;32.578;0;53.952;0;169.5;8:02.020;13:53;
79;1;3;2:01.296;0;;36.768;0;30.966;0;53.562;0;171.9;10:03.316;13:55;
79;1;4;2:00.670;0;;36.463;0;30.946;2;53.261;0;172.8;12:03.986;13:57;
79;1;5;2:00.336;2;;36.415;1;30.950;0;52.971;2;173.2;14:04.322;13:59;
79;1;6;2:32.874;0;B;36.248;2;30.964;0;1:25.662;0;136.4;16:37.196;14:01;
82;0;1;6:22.535;0;;4:48.743;0;36.127;0;57.665;0;54.5;6:22.535;13:51;
82;0;2;2:02.719;0;;37.374;0;31.341;0;54.004;0;169.9;8:25.254;13:53;
82;0;3;2:01.770;0;;36.727;0;31.254;0;53.789;0;171.2;10:27.024;13:55;
82;0;4;2:01.137;2;;36.434;2;31.249;2;53.454;2;172.1;12:28.161;13:57;
82;0;5;2:01.740;0;;36.537;0;31.348;0;53.855;0;171.2;14:29.901;13:59;
82;0;6;2:13.457;0;B;38.590;0;31.855;0;1:03.012;0;156.2;16:43.358;14:01;
86;0;1;12:51.813;0;;11:26.835;0;31.086;0;53.892;0;27.0;12:51.813;13:57;
86;0;2;1:58.823;0;;35.515;0;30.837;2;52.471;0;175.5;14:50.636;13:59;
86;0;3;1:58.773;2;;35.480;2;30.846;0;52.447;2;175.5;16:49.409;14:01;
86;0;4;2:16.552;0;B;39.907;0;33.838;0;1:02.807;0;152.7;19:05.961;14:04;
88;1;1;6:18.324;0;;4:49.833;0;32.186;0;56.305;0;55.1;6:18.324;13:51;
88;1;2;2:02.252;0;;36.645;0;30.922;0;54.685;0;170.5;8:20.576;13:53;
88;1;3;2:01.996;0;;36.905;0;31.005;0;54.086;0;170.9;10:22.572;13:55;
88;1;4;2:01.523;0;;36.454;0;30.848;0;54.221;0;171.6;12:24.095;13:57;
88;1;5;2:01.634;0;;36.406;0;30.870;0;54.358;0;171.4;14:25.729;13:59;
88;1;6;2:00.354;2;;35.917;2;30.792;2;53.645;2;173.2;16:26.083;14:01;
88;1;7;2:16.324;0;B;35.972;0;32.153;0;1:08.199;0;152.9;18:42.407;14:03;
89;1;1;5:09.326;0;;3:31.493;0;38.617;0;59.216;0;67.4;5:09.326;13:50;
89;1;2;1:59.582;0;;35.931;0;31.060;0;52.591;2;174.3;7:08.908;13:52;
89;1;3;1:59.244;2;;35.782;2;30.841;2;52.621;0;174.8;9:08.152;13:54;
89;1;4;2:10.383;0;B;35.985;0;30.908;0;1:03.490;0;159.9;11:18.535;13:56;
91;0;1;30:54.422;0;B;;0;;0;;0;11.2;30:54.422;14:15;
91;1;2;2:30.994;0;;1:08.827;0;31.039;0;51.128;0;138.1;33:25.416;14:18;
91;1;3;1:54.912;0;;35.055;0;30.131;0;49.726;0;181.4;35:20.328;14:20;
91;1;4;1:59.890;0;;35.751;0;30.013;0;54.126;0;173.9;37:20.218;14:22;
91;1;5;1:54.720;0;;34.846;0;30.008;0;49.866;0;181.7;39:14.938;14:24;
91;1;6;1:54.380;0;;34.661;0;29.995;0;49.724;0;182.3;41:09.318;14:26;
91;1;7;2:15.751;0;;42.391;0;38.443;0;54.917;0;153.6;43:25.069;14:28;
91;1;8;1:57.055;0;;36.572;0;30.013;0;50.470;0;178.1;45:22.124;14:30;
91;1;9;1:54.636;0;;34.795;0;30.016;0;49.825;0;181.9;47:16.760;14:32;
91;1;10;1:53.659;2;;34.439;0;29.845;2;49.375;2;183.4;49:10.419;14:34;
91;1;11;1:53.713;0;;34.388;2;29.851;0;49.474;0;183.3;51:04.132;14:36;
92;2;1;32:22.047;0;;30:59.313;0;30.640;0;52.094;0;10.7;32:22.047;14:17;
92;2;2;1:56.138;0;;35.305;0;30.141;0;50.692;0;179.5;34:18.185;14:19;
92;2;3;1:54.470;0;;34.578;0;29.897;0;49.995;0;182.1;36:12.655;14:21;
92;2;4;1:55.379;0;;35.281;0;29.973;0;50.125;0;180.7;38:08.034;14:23;
92;2;5;1:54.989;0;;34.622;0;29.707;0;50.660;0;181.3;40:03.023;14:25;
92;2;6;2:04.279;0;B;34.604;0;29.964;0;59.711;0;167.7;42:07.302;14:27;
92;2;7;3:27.632;0;;2:07.211;0;30.031;0;50.390;0;100.4;45:34.934;14:30;
92;2;8;1:54.536;0;;34.674;0;29.874;0;49.988;0;182.0;47:29.470;14:32;
92;2;9;1:54.252;0;;34.510;0;29.696;2;50.046;0;182.5;49:23.722;14:34;
92;2;10;1:54.081;2;;34.458;2;29.781;0;49.842;2;182.7;51:17.803;14:36;
93;0;1;33:28.891;0;;32:07.256;0;30.798;0;50.837;0;10.4;33:28.891;14:18;
93;0;2;1:54.721;0;;34.816;0;30.153;0;49.752;0;181.7;35:23.612;14:20;
93;0;3;1:54.251;0;;34.380;2;30.028;2;49.843;0;182.5;37:17.863;14:22;
93;0;4;1:54.044;2;;34.496;0;30.098;0;49.450;2;182.8;39:11.907;14:24;
93;0;5;1:54.630;0;;34.692;0;30.165;0;49.773;0;181.9;41:06.537;14:26;
93;0;6;2:39.307;0;;1:17.788;0;30.844;0;50.675;0;130.9;43:45.844;14:28;
93;0;7;1:55.246;0;;34.772;0;30.245;0;50.229;0;180.9;45:41.090;14:30;
93;0;8;1:54.502;0;;34.491;0;30.125;0;49.886;0;182.1;47:35.592;14:32;
93;0;9;1:54.780;0;;34.791;0;30.035;0;49.954;0;181.6;49:30.372;14:34;
93;0;10;2:06.961;0;B;34.731;0;30.180;0;1:02.050;0;164.2;51:37.333;14:36;
95;1;1;32:37.288;0;;31:13.948;0;30.663;0;52.677;0;10.7;32:37.288;14:17;
95;1;2;1:56.182;0;;34.871;0;30.233;0;51.078;0;179.4;34:33.470;14:19;
95;1;3;1:55.829;2;;34.806;0;30.169;2;50.854;2;180.0;36:29.299;14:21;
95;1;4;1:55.937;0;;34.724;2;30.242;0;50.971;0;179.8;38:25.236;14:23;
95;1;5;1:57.071;0;;34.726;0;30.252;0;52.093;0;178.1;40:22.307;14:25;
95;1;6;2:13.761;0;B;38.869;0;30.751;0;1:04.141;0;155.9;42:36.068;14:27;
99;2;1;32:25.396;0;;30:57.154;0;32.862;0;55.380;0;10.7;32:25.396;14:17;
99;2;2;1:59.129;0;;36.538;0;30.434;0;52.157;0;175.0;34:24.525;14:19;
99;2;3;1:57.991;0;;35.977;0;30.201;0;51.813;0;176.7;36:22.516;14:21;
99;2;4;1:56.806;2;;35.285;2;30.166;0;51.355;0;178.5;38:19.322;14:23;
99;2;5;2:19.822;0;;35.928;0;50.810;0;53.084;0;149.1;40:39.144;14:25;
99;2;6;1:57.890;0;;35.689;0;30.100;2;52.101;0;176.8;42:37.034;14:27;
99;2;7;1:56.939;0;;35.488;0;30.142;0;51.309;2;178.3;44:33.973;14:29;
99;2;8;2:14.752;0;B;37.872;0;30.526;0;1:06.354;0;154.7;46:48.725;14:31;
