NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;1;1;2:18.333;0;;35.528;0;1:00.077;0;42.728;0;182.3;2:18.333;11:52;0:35.528;1:00.077;0:42.728;240.5;Romain Dumas;
1;1;2;2:05.963;0;;36.321;0;57.091;1;32.551;1;200.2;4:24.296;11:54;0:36.321;0:57.091;0:32.551;295.9;Romain Dumas;
1;1;3;2:09.003;0;;35.711;0;58.543;0;34.749;0;195.5;6:33.299;11:56;0:35.711;0:58.543;0:34.749;299.2;Romain Dumas;
1;1;4;2:09.339;0;;35.399;1;57.747;0;36.193;0;194.9;8:42.638;11:58;0:35.399;0:57.747;0:36.193;301.7;Romain Dumas;
1;1;5;2:15.849;0;B;36.942;0;58.359;0;40.548;0;185.6;10:58.487;12:00;0:36.942;0:58.359;0:40.548;290.3;Romain Dumas;
1;0;6;3:36.359;0;;2:04.174;0;58.976;0;33.209;0;116.5;14:34.846;12:04;2:04.174;0:58.976;0:33.209;272.0;Timo Bernhard;
1;0;7;2:11.616;0;;38.193;0;59.404;0;34.019;0;191.6;16:46.462;12:06;0:38.193;0:59.404;0:34.019;290.3;Timo Bernhard;
1;0;8;2:10.194;0;;35.913;0;59.894;0;34.387;0;193.7;18:56.656;12:08;0:35.913;0:59.894;0:34.387;300.8;Timo Bernhard;
1;0;9;2:07.153;0;;36.313;0;58.083;0;32.757;0;198.3;21:03.809;12:11;0:36.313;0:58.083;0:32.757;290.3;Timo Bernhard;
1;0;10;2:05.032;0;;35.721;0;56.456;0;32.855;0;201.7;23:08.841;12:13;0:35.721;0:56.456;0:32.855;301.7;Timo Bernhard;
1;0;11;2:13.345;0;B;35.861;0;58.177;0;39.307;0;189.1;25:22.186;12:15;0:35.861;0:58.177;0:39.307;290.3;Timo Bernhard;
1;0;12;3:32.132;0;;1:58.380;0;59.722;0;34.030;0;118.9;28:54.318;12:18;1:58.380;0:59.722;0:34.030;274.1;Timo Bernhard;
1;0;13;2:39.065;0;B;38.683;0;1:05.253;0;55.129;0;158.5;31:33.383;12:21;0:38.683;1:05.253;0:55.129;280.5;Timo Bernhard;
1;0;14;11:21.163;0;;9:45.361;0;1:02.172;0;33.630;0;37.0;42:54.546;12:32;9:45.361;1:02.172;0:33.630;248.8;Timo Bernhard;
1;0;15;2:07.618;0;;37.306;0;57.145;0;33.167;0;197.6;45:02.164;12:35;0:37.306;0:57.145;0:33.167;295.9;Timo Bernhard;
1;0;16;2:06.849;0;;35.363;0;58.763;0;32.723;0;198.8;47:09.013;12:37;0:35.363;0:58.763;0:32.723;300.8;Timo Bernhard;
1;0;17;2:02.697;4;;35.305;2;55.382;2;32.010;2;205.5;49:11.710;12:39;0:35.305;0:55.382;0:32.010;300.0;Timo Bernhard;
1;0;18;2:17.009;0;B;37.294;0;1:00.341;0;39.374;0;184.0;51:28.719;12:41;0:37.294;1:00.341;0:39.374;276.2;Timo Bernhard;
1;2;19;3:49.678;0;;2:14.644;0;1:01.948;0;33.086;0;109.8;55:18.397;12:45;2:14.644;1:01.948;0:33.086;251.7;Mike Rockenfeller;
