NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
1;1;1;2:41.620;0;;57.266;0;1:08.973;0;35.381;0;156.0;2:41.620;12:22;0:57.266;1:08.973;0:35.381;211.8;Romain Dumas;
1;1;2;2:07.702;0;;36.491;0;58.412;0;32.799;0;197.4;4:49.322;12:24;0:36.491;0:58.412;0:32.799;293.5;Romain Dumas;
1;1;3;2:15.329;0;B;35.981;0;58.793;0;40.555;0;186.3;7:04.651;12:27;0:35.981;0:58.793;0:40.555;299.2;Romain Dumas;
1;1;4;8:09.574;0;;6:35.924;0;59.158;0;34.492;0;51.5;15:14.225;12:35;6:35.924;0:59.158;0:34.492;264.7;Romain Dumas;
1;1;5;2:06.776;0;;35.902;0;56.871;0;34.003;0;198.9;17:21.001;12:37;0:35.902;0:56.871;0:34.003;298.3;Romain Dumas;
1;1;6;2:04.982;0;;35.366;1;56.783;0;32.833;0;201.7;19:25.983;12:39;0:35.366;0:56.783;0:32.833;300.8;Romain Dumas;
1;1;7;2:06.452;0;;35.982;0;58.022;0;32.448;0;199.4;21:32.435;12:41;0:35.982;0:58.022;0:32.448;298.3;Romain Dumas;
1;1;8;2:04.054;2;;35.876;0;55.835;4;32.343;2;203.3;23:36.489;12:43;0:35.876;0:55.835;0:32.343;300.0;Romain Dumas;
1;1;9;2:16.611;0;B;36.212;0;1:00.036;0;40.363;0;184.6;25:53.100;12:45;0:36.212;1:00.036;0:40.363;283.5;Romain Dumas;
1;2;10;8:41.487;0;B;6:23.513;0;1:13.393;0;1:04.581;0;48.4;34:34.587;12:54;6:23.513;1:13.393;1:04.581;230.3;Mike Rockenfeller;
1;2;11;15:19.208;0;;13:40.107;0;1:03.742;0;35.359;0;27.4;49:53.795;13:09;13:40.107;1:03.742;0:35.359;251.7;Mike Rockenfeller;
1;2;12;2:17.545;0;;36.608;0;1:04.667;0;36.270;0;183.3;52:11.340;13:12;0:36.608;1:04.667;0:36.270;270.0;Mike Rockenfeller;
1;2;13;2:08.563;0;;35.725;0;59.603;0;33.235;0;196.1;54:19.903;13:14;0:35.725;0:59.603;0:33.235;294.3;Mike Rockenfeller;
1;2;14;2:14.330;0;;35.578;0;1:03.989;0;34.763;0;187.7;56:34.233;13:16;0:35.578;1:03.989;0:34.763;298.3;Mike Rockenfeller;
1;2;15;2:05.648;0;;;1;;1;32.462;0;200.7;58:39.881;13:18;;;0:32.462;;Mike Rockenfeller;
1;2;16;2:05.324;0;;35.360;4;57.611;0;32.353;1;201.2;1:00:45.205;13:20;0:35.360;0:57.611;0:32.353;301.7;Mike Rockenfeller;
10;0;1;2:25.744;0;B;37.681;0;1:05.045;0;43.018;0;173.0;2:25.744;12:22;0:37.681;1:05.045;0:43.018;230.8;Nicolas Lapierre;
10;0;2;4:57.286;0;;3:24.537;0;59.209;0;33.540;0;84.8;7:23.030;12:27;3:24.537;0:59.209;0:33.540;244.9;Nicolas Lapierre;
10;0;3;2:10.045;0;;39.038;0;57.649;0;33.358;0;193.9;9:33.075;12:29;0:39.038;0:57.649;0:33.358;271.4;Nicolas Lapierre;
10;0;4;2:07.927;0;;36.943;0;57.275;0;33.709;0;197.1;11:41.002;12:31;0:36.943;0:57.275;0:33.709;276.9;Nicolas Lapierre;
10;0;5;2:07.461;0;;36.990;0;57.050;0;33.421;0;197.8;13:48.463;12:33;0:36.990;0:57.050;0:33.421;279.8;Nicolas Lapierre;
10;0;6;2:07.985;0;;37.016;0;57.595;0;33.374;0;197.0;15:56.448;12:35;0:37.016;0:57.595;0:33.374;278.4;Nicolas Lapierre;
10;0;7;2:09.068;0;;36.733;0;56.935;1;35.400;0;195.4;18:05.516;12:38;0:36.733;0:56.935;0:35.400;277.6;Nicolas Lapierre;
10;0;8;2:16.567;0;B;36.588;0;56.497;2;43.482;0;184.6;20:22.083;12:40;0:36.588;0:56.497;0:43.482;277.6;Nicolas Lapierre;
10;0;9;6:25.419;0;;4:51.133;0;59.729;0;34.557;0;65.4;26:47.502;12:46;4:51.133;0:59.729;0:34.557;270.7;Nicolas Lapierre;
10;0;10;2:08.724;0;;36.221;0;59.419;0;33.084;2;195.9;28:56.226;12:48;0:36.221;0:59.419;0:33.084;285.7;Nicolas Lapierre;
10;0;11;2:08.544;0;;36.214;1;58.388;0;33.942;0;196.2;31:04.770;12:51;0:36.214;0:58.388;0:33.942;287.2;Nicolas Lapierre;
10;0;12;2:19.398;0;B;36.089;0;58.846;0;44.463;0;180.9;33:24.168;12:53;0:36.089;0:58.846;0:44.463;286.5;Nicolas Lapierre;
