NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
3;2;9;2:08.101;0;;36.064;0;;1;;1;196.8;20:55.043;17:15;0:36.064;;;299.2;Allan McNish;
3;2;10;2:08.659;0;;35.371;0;58.334;0;34.954;0;196.0;23:03.702;17:18;0:35.371;0:58.334;0:34.954;303.4;Allan McNish;
3;2;11;2:05.751;0;;36.647;0;56.822;0;32.282;0;200.5;25:09.453;17:20;0:36.647;0:56.822;0:32.282;301.7;Allan McNish;
3;2;12;2:15.341;0;B;38.696;0;57.650;0;38.995;0;186.3;27:24.794;17:22;0:38.696;0:57.650;0:38.995;292.7;Allan McNish;
3;1;13;11:46.022;0;;10:09.219;0;1:03.076;0;33.727;0;35.7;39:10.816;17:34;10:09.219;1:03.076;0:33.727;259.0;Tom Kristensen;
3;1;14;2:04.677;0;;35.964;1;56.438;1;32.275;1;202.2;41:15.493;17:36;0:35.964;0:56.438;0:32.275;294.3;Tom Kristensen;
3;1;15;3:13.262;0;B;37.372;0;1:24.454;0;1:11.436;0;130.5;44:28.755;17:39;0:37.372;1:24.454;1:11.436;270.7;Tom Kristensen;
33;2;1;13:32.466;0;;11:45.885;0;1:08.508;0;38.073;0;31.0;13:32.466;17:08;11:45.885;1:08.508;0:38.073;187.8;Joao Barbosa;
33;2;2;2:18.649;2;;41.038;0;1:01.793;1;35.818;2;181.9;15:51.115;17:10;0:41.038;1:01.793;0:35.818;245.5;Joao Barbosa;
33;2;3;2:20.007;0;;40.022;2;1:04.104;0;35.881;0;180.1;18:11.122;17:13;0:40.022;1:04.104;0:35.881;251.2;Joao Barbosa;
33;2;4;2:29.150;0;B;40.217;0;1:01.482;2;47.451;0;169.1;20:40.272;17:15;0:40.217;1:01.482;0:47.451;249.4;Joao Barbosa;
33;2;5;7:01.484;0;;5:20.315;0;1:04.619;0;36.550;0;59.8;27:41.756;17:22;5:20.315;1:04.619;0:36.550;154.3;Joao Barbosa;
33;2;6;3:06.771;0;B;53.870;0;1:14.572;0;58.329;0;135.0;30:48.527;17:25;0:53.870;1:14.572;0:58.329;160.5;Joao Barbosa;
33;2;7;12:59.482;0;B;10:47.344;0;1:13.030;0;59.108;0;32.3;43:48.009;17:38;10:47.344;1:13.030;0:59.108;220.4;Joao Barbosa;
35;2;1;2:55.777;0;;1:08.299;0;1:10.219;0;37.259;0;143.4;2:55.777;16:57;1:08.299;1:10.219;0:37.259;193.5;Patrice Lafargue;
35;2;2;2:20.027;0;;40.390;0;1:03.407;0;36.230;0;180.1;5:15.804;17:00;0:40.390;1:03.407;0:36.230;246.6;Patrice Lafargue;
35;2;3;2:24.792;0;;40.031;0;1:06.252;0;38.509;0;174.1;7:40.596;17:02;0:40.031;1:06.252;0:38.509;234.3;Patrice Lafargue;
35;2;4;2:18.364;2;;39.663;0;1:02.530;1;36.171;0;182.2;9:58.960;17:04;0:39.663;1:02.530;0:36.171;251.7;Patrice Lafargue;
35;2;5;2:30.383;0;B;39.626;0;1:03.686;0;47.071;0;167.7;12:29.343;17:07;0:39.626;1:03.686;0:47.071;259.6;Patrice Lafargue;
35;2;6;3:24.639;0;B;1:29.322;0;1:04.707;0;50.610;0;123.2;15:53.982;17:10;1:29.322;1:04.707;0:50.610;230.3;Patrice Lafargue;
35;2;7;4:53.725;0;;3:08.276;0;1:07.964;0;37.485;0;85.8;20:47.707;17:15;3:08.276;1:07.964;0:37.485;236.3;Patrice Lafargue;
35;2;8;2:19.426;0;;39.414;1;1:02.745;0;37.267;0;180.8;23:07.133;17:18;0:39.414;1:02.745;0:37.267;243.8;Patrice Lafargue;
35;2;9;2:19.870;0;;40.596;0;1:03.122;0;36.152;2;180.3;25:27.003;17:20;0:40.596;1:03.122;0:36.152;251.7;Patrice Lafargue;
35;2;10;2:21.130;0;;39.019;2;1:02.251;2;39.860;0;178.7;27:48.133;17:22;0:39.019;1:02.251;0:39.860;251.7;Patrice Lafargue;
35;2;11;3:07.177;0;B;58.013;0;1:13.407;0;55.757;0;134.7;30:55.310;17:25;0:58.013;1:13.407;0:55.757;181.8;Patrice Lafargue;
35;1;12;9:19.032;0;;7:32.265;0;1:09.015;0;37.752;0;45.1;40:14.342;17:35;7:32.265;1:09.015;0:37.752;234.3;Frederic Da Rocha;
35;1;13;2:58.056;0;B;40.456;0;1:10.305;0;1:07.295;0;141.6;43:12.398;17:38;0:40.456;1:10.305;1:07.295;249.4;Frederic Da Rocha;
36;0;1;3:05.187;0;;1:22.212;0;1:05.836;0;37.139;0;136.2;3:05.187;16:58;1:22.212;1:05.836;0:37.139;212.6;Tommy Erdos;
36;0;2;2:18.163;0;;39.241;1;1:03.729;0;35.193;0;182.5;5:23.350;17:00;0:39.241;1:03.729;0:35.193;260.2;Tommy Erdos;
36;0;3;2:17.629;0;;39.713;0;59.898;0;38.018;0;183.2;7:40.979;17:02;0:39.713;0:59.898;0:38.018;260.9;Tommy Erdos;
36;0;4;2:13.676;2;;39.325;0;59.176;2;35.175;2;188.6;9:54.655;17:04;0:39.325;0:59.176;0:35.175;263.4;Tommy Erdos;
36;0;5;2:24.961;0;B;39.223;2;1:02.218;0;43.520;0;173.9;12:19.616;17:07;0:39.223;1:02.218;0:43.520;260.9;Tommy Erdos;
36;1;6;7:52.508;0;;6:05.797;0;1:08.402;0;38.309;0;53.4;20:12.124;17:15;6:05.797;1:08.402;0:38.309;222.2;Mike Newton;
36;1;7;2:23.630;0;;41.658;0;1:04.646;1;37.326;1;175.5;22:35.754;17:17;0:41.658;1:04.646;0:37.326;251.2;Mike Newton;
36;1;8;2:24.208;0;;40.604;1;1:05.710;0;37.894;0;174.8;24:59.962;17:19;0:40.604;1:05.710;0:37.894;254.1;Mike Newton;
36;1;9;2:23.862;0;;40.688;0;1:05.795;0;37.379;0;175.3;27:23.824;17:22;0:40.688;1:05.795;0:37.379;254.1;Mike Newton;
36;1;10;2:40.860;0;B;46.779;0;1:04.886;0;49.195;0;156.7;30:04.684;17:25;0:46.779;1:04.886;0:49.195;209.3;Mike Newton;
36;1;11;9:47.861;0;;8:01.568;0;1:08.262;0;38.031;0;42.9;39:52.545;17:34;8:01.568;1:08.262;0:38.031;233.3;Mike Newton;
39;0;1;3:13.067;0;;1:24.860;0;1:11.020;0;37.187;0;130.6;3:13.067;16:58;1:24.860;1:11.020;0:37.187;215.1;Luis Perez-Companc;
39;0;2;2:23.976;0;;39.792;0;1:06.140;0;38.044;0;175.1;5:37.043;17:00;0:39.792;1:06.140;0:38.044;251.7;Luis Perez-Companc;
39;0;3;2:19.260;0;;41.036;0;1:01.931;0;36.293;0;181.1;7:56.303;17:02;0:41.036;1:01.931;0:36.293;247.1;Luis Perez-Companc;
39;0;4;2:54.981;0;;1:16.288;0;1:02.348;0;36.345;0;144.1;10:51.284;17:05;1:16.288;1:02.348;0:36.345;249.4;Luis Perez-Companc;
39;0;5;2:19.693;0;;40.746;0;1:01.771;0;37.176;0;180.5;13:10.977;17:08;0:40.746;1:01.771;0:37.176;246.6;Luis Perez-Companc;
39;0;6;2:19.218;0;;40.216;0;1:02.574;0;36.428;0;181.1;15:30.195;17:10;0:40.216;1:02.574;0:36.428;254.7;Luis Perez-Companc;
39;0;7;2:17.073;0;;39.607;0;1:01.498;0;35.968;0;183.9;17:47.268;17:12;0:39.607;1:01.498;0:35.968;253.5;Luis Perez-Companc;
39;0;8;2:19.055;0;;39.413;2;1:03.764;0;35.878;0;181.3;20:06.323;17:15;0:39.413;1:03.764;0:35.878;254.7;Luis Perez-Companc;
39;0;9;2:18.372;0;;39.687;0;1:02.211;0;36.474;0;182.2;22:24.695;17:17;0:39.687;1:02.211;0:36.474;251.2;Luis Perez-Companc;
39;0;10;2:16.802;2;;39.827;0;1:01.272;2;35.703;2;184.3;24:41.497;17:19;0:39.827;1:01.272;0:35.703;248.3;Luis Perez-Companc;
39;0;11;2:19.761;0;;39.439;0;1:02.554;0;37.768;0;180.4;27:01.258;17:22;0:39.439;1:02.554;0:37.768;254.7;Luis Perez-Companc;
39;0;12;2:40.981;0;B;40.473;0;1:04.614;0;55.894;0;156.6;29:42.239;17:24;0:40.473;1:04.614;0:55.894;247.7;Luis Perez-Companc;
39;1;13;11:29.873;0;;9:46.901;0;1:06.394;0;36.578;0;36.5;41:12.112;17:36;9:46.901;1:06.394;0:36.578;217.7;Matias Russo;
39;1;14;3:15.291;0;B;39.537;0;1:24.842;0;1:10.912;0;129.1;44:27.403;17:39;0:39.537;1:24.842;1:10.912;233.8;Matias Russo;
40;0;1;40:08.705;0;;38:20.898;0;1:08.991;2;38.816;2;10.5;40:08.705;17:35;38:20.898;1:08.991;0:38.816;215.1;Michel Frey;
40;0;2;3:00.691;0;B;40.340;2;1:09.135;0;1:11.216;0;139.5;43:09.396;17:38;0:40.340;1:09.135;1:11.216;254.7;Michel Frey;
41;2;1;2:18.335;0;;37.724;0;1:03.497;0;37.114;0;182.3;2:18.335;16:57;0:37.724;1:03.497;0:37.114;210.5;Tom Kimnber-Smith;
41;2;2;2:13.195;0;;38.896;0;59.345;0;34.954;0;189.3;4:31.530;16:59;0:38.896;0:59.345;0:34.954;259.6;Tom Kimnber-Smith;
41;2;3;2:12.788;0;;38.666;0;58.669;0;35.453;0;189.9;6:44.318;17:01;0:38.666;0:58.669;0:35.453;262.1;Tom Kimnber-Smith;
41;2;4;2:12.243;0;;38.369;0;58.087;0;35.787;0;190.7;8:56.561;17:03;0:38.369;0:58.087;0:35.787;262.8;Tom Kimnber-Smith;
41;2;5;6:14.375;0;B;38.526;0;1:00.388;0;4:35.461;0;67.3;15:10.936;17:10;0:38.526;1:00.388;4:35.461;265.4;Tom Kimnber-Smith;
41;2;6;3:00.583;0;;1:20.697;0;1:04.040;0;35.846;0;139.6;18:11.519;17:13;1:20.697;1:04.040;0:35.846;235.8;Tom Kimnber-Smith;
41;2;7;2:11.408;0;;38.184;0;58.765;0;34.459;2;191.9;20:22.927;17:15;0:38.184;0:58.765;0:34.459;263.4;Tom Kimnber-Smith;
41;2;8;2:10.565;2;;38.066;0;57.863;2;34.636;0;193.1;22:33.492;17:17;0:38.066;0:57.863;0:34.636;264.1;Tom Kimnber-Smith;
41;2;9;2:11.258;0;;38.027;2;58.247;0;34.984;0;192.1;24:44.750;17:19;0:38.027;0:58.247;0:34.984;264.1;Tom Kimnber-Smith;
41;2;10;13:44.016;0;B;38.137;0;59.613;0;12:06.266;0;30.6;38:28.766;17:33;0:38.137;0:59.613;12:06.266;266.7;Tom Kimnber-Smith;
41;2;11;3:09.139;0;;1:27.723;0;1:05.612;0;35.804;0;133.3;41:37.905;17:36;1:27.723;1:05.612;0:35.804;220.0;Tom Kimnber-Smith;
42;1;1;3:37.528;0;;1:54.651;0;1:05.976;0;36.901;0;115.9;3:37.528;16:58;1:54.651;1:05.976;0:36.901;215.6;Danny Watts;
