POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;91;Classified;110;4:01:01.772;-;-;72;1:55.971;177.8;Kellymoss with Riley;GS;;;Porsche 718 GT4 RS CS;M;2593;465;5;108;112;3;;16626;;;Riley;Dickinson;Silver;New Braunfels, TX;;;1773;1;Silver;;;Michael;McCarthy;;Clearwater, FL;;;2058;2;;;;Brady;Golan;;Austin, TX;;;3164;3;;;;;;;;;;;;;;;;;;;;;;
2;57;Classified;110;4:01:03.708;+1.936;+1.936;55;1:54.481;180.2;WINWARD RACING;GS;;;Mercedes AMG GT GT4;M;2552;304;5;230;7643;3;;16604;;;Bryce;Ward;Bronze;Seabrook, TX;;;1249;3;Bronze;;;Daniel;Morad;Gold;Toronto, ON;;;1144;4;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;46;Classified;110;4:01:08.326;+6.554;+4.618;73;1:54.751;179.7;Team TGM;GS;;;Aston Martin Vantage GT4;M;2548;79;5;18;73;3;;16600;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;Owen;Trinkler;Silver;Ashland City ,TN;;;519;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;95;Classified;110;4:01:09.439;+7.667;+1.113;75;1:53.955;181.0;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2149;38;5;188;74;3;;16607;;;Dillon;Machavern;Silver;Charlotte, VT;;;463;1;Silver;;;Robert;Megennis;Silver;New York City, NY;;;2412;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;96;Classified;110;4:01:09.469;+7.697;+0.030;74;1:54.581;180.0;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2150;38;5;188;74;3;;16608;;;Francis;Selldorff;Silver;Boston, MA;;;2921;1;Silver;;;Robby;Foley;Gold;Randolph, NJ;;;1302;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;69;Classified;110;4:01:19.890;+18.118;+10.421;43;1:54.920;179.5;Motorsports In Action;GS;;;McLaren Artura GT4;M;2215;160;5;201;7651;3;;16617;;;Michael;de Quesada;Silver;Tampa, FL;;;1136;3;Silver;;;Jesse;Lazare;Silver;Montreal, QC;;;728;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;28;Classified;110;4:01:29.664;+27.892;+9.774;86;1:54.627;179.9;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;16605;;;Austin;Krainz;Silver;Brookfield,CT;;;3241;4;Silver;;;Stevan;McAleer;Gold;Glasgow, Scotland;;;460;2;Gold;;;Trent;Hindman;Gold;Ocean Township, NJ;;;244;1;Gold;;;;;;;;;;;;;;;;;;;;;
8;59;Classified;110;4:01:30.655;+28.883;+0.991;55;1:55.559;178.5;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;16615;;;Luca;Mars;Silver;Sewickley, PA;;;2469;1;Silver;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;71;Classified;110;4:01:33.358;+31.586;+2.703;55;1:55.861;178.0;Rebel Rock Racing;GS;;;Aston Martin Vantage AMR GT4 Evo;M;2568;45;5;18;73;3;;16614;;;Frank;DePew;Bronze;Richmond, VA;;;1151;3;Bronze;;;Robin;Liddell;Silver;Edinburgh, Scotland;;;411;1;Silver;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;;;;;;;;;;;;;;;;;;;
10;34;Classified;110;4:01:38.421;+36.649;+5.063;55;1:55.417;178.7;JMF Motorsports;GS;;;Mercedes AMG GT GT4;M;2550;513;5;230;7643;3;;16601;;;Michai;Stephens;;Chicago, IL;;;3228;1;;;;Jesse;Webb;Silver;Mission, BC;;;3217;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;19;Classified;110;4:01:39.066;+37.294;+0.645;74;1:55.449;178.7;van der Steur Racing;GS;;;Aston Martin Vantage GT4;M;2589;341;5;18;73;3;;16624;;;Rory;van der Steur;Silver;Chesapeake City, MD;;;3218;1;Silver;;;Valentin;Hasse Clot;;Paris, France;;;3163;2;;;;Dominic;Starkweather;;Cave Creek, AZ;;;3129;3;;;;;;;;;;;;;;;;;;;;;;
