POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;13;Classified;71;1:40:44.225;+36.192;+5.928;65;1:16.572;124.5;McCumbee McAleer Racing with AEROSPORT;GS;;;Ford Mustang GT4;M;2232;473;5;54;107;3;;14908;;;Jenson;Altzman;;Phoenix, AZ;;;2460;3;;;;Joey;Hand;;Elk Grove, CA;;;37;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;46;Classified;71;1:40:47.045;+39.012;+2.820;69;1:16.699;124.3;Team TGM;GS;;;Aston Martin Vantage GT4;M;2137;79;5;56;73;3;;14891;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;69;Classified;71;1:40:47.570;+39.537;+0.525;65;1:16.459;124.6;Motorsports In Action;GS;;;McLaren Artura GT4;M;2215;160;5;201;7651;3;;14905;;;Jesse;Lazare;Silver;Montreal;;;728;1;Silver;;;Alex;Filsinger;Silver;Guelph, Ontario;;;3017;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;71;Classified;70;1:40:45.418;1 Lap;1 Lap;63;1:16.478;124.6;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;14907;;;Frank;DePew;Bronze;Richmond, VA;;;1151;3;Bronze;;;Robin;Liddell;Silver;Edinburgh, Scotland;;;411;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;88;Classified;70;1:40:49.880;1 Lap;+4.462;60;1:16.635;124.4;Archangel Motorsports;GS;;;Aston Martin Vantage GT4;M;2141;300;5;56;73;3;;14911;;;Todd;Coleman;Bronze;Lakewood, CO;;;1944;1;Bronze;;;Patrick;Lindsey;Silver;Dallas, TX;;;697;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;59;Classified;70;1:41:00.763;1 Lap;+10.883;65;1:16.723;124.2;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;14902;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;Luca;Mars;Silver;Sewickley, PA;;;2469;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;43;Classified;69;1:40:30.356;2 Laps;1 Lap;48;1:18.329;121.7;Stephen Cameron racing;GS;;;BMW M4 GT4 (G82);M;2263;220;5;188;74;3;;14895;;;Sean;Quinlan;Bronze;Palo Alto, CA;;;2172;1;Bronze;;;Gregory;Liefooghe;Silver;San Francisco, CA;;;504;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;27;Classified;58;1:28:06.498;13 Laps;11 Laps;54;1:15.352;126.5;Lone Star Racing;GS;;;Mercedes-AMG GT GT4;M;2337;224;5;227;7643;3;;14909;;;Anton;Dias Perera;Bronze;Memphis,TN;;;1987;1;Bronze;;;Scott;Andrews;Gold;Torquay, Australia;;;1657;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;19;Classified;29;43:50.384;42 Laps;+1:30.222;26;1:17.515;123.0;van der Steur Racing;GS;;;Aston Martin Vantage GT4;M;2212;341;5;56;73;3;;14904;;;Austin;McCusker;Silver;Glen Head, NY;;;1586;2;Silver;;;Rory;van der Steur;Silver;Chesapeake City, MD;;;2970;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;95;Classified;29;42:20.162;42 Laps;29 Laps;20;1:16.926;123.9;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2149;38;5;188;74;3;;14897;;;Robert;Megennis;Silver;New York City, NY;;;2412;3;Silver;;;Cameron;Lawrence;Silver;Lakeway, TX;;;446;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;14;Classified;12;20:17.163;59 Laps;17 Laps;11;1:17.822;122.5;Ave Motorsports;GS;;;Toyota GR Supra GT4 EVO;M;2221;163;5;202;7662;3;;14906;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;2;;;;Thiago;Camilo;Gold;Sao Paulo, Brazil;;;2590;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;64;Classified;11;19:13.105;60 Laps;1 Lap;6;1:26.118;110.7;Team TGM;GS;;;Aston Martin Vantage GT4;M;2138;79;5;56;73;3;;14892;;;Ted;Giovanis;Bronze;Highland, MD;;;489;1;Bronze;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
