POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;8;8;1:52.770;-;-;182.9;8;McCann Racing;GS;;;Porsche 718 GT4 RS CS;M;1532;303;5;108;112;3;;12262;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;Michael;McCann;;Canton, OH;;;1937;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;59;6;1:53.032;+0.262;+0.262;182.5;7;KOHR MOTORSPORTS;GS;;;Ford Mustang GT4;M;290;161;5;54;107;3;;12288;;;Bob;Michaelian;Bronze;Seal Beach, CA;;;417;2;Bronze;;;Billy;Johnson;Gold;Boynton Beach, FL;;;365;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;28;6;1:53.465;+0.695;+0.433;181.8;8;RS1;GS;;;Porsche 718 GT4 RS CS;M;1619;393;5;108;112;3;;12270;;;Eric;Filgueiras;Silver;Cocoa, FL;;;2717;3;Silver;;;Stevan;McAleer;Silver;Glasgow, Scotland;;;460;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;42;5;1:53.610;+0.840;+0.145;181.5;8;PF Racing;GS;;;Ford Mustang GT4;M;1595;243;5;54;107;3;;12280;;;Chase;Briscoe;;Mitchell, IN;;;1614;1;;;;Hailie;Deegan;;Temecula, CA;;;2025;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;95;7;1:54.036;+1.266;+0.426;180.9;7;Turner Motorsport;GS;;;BMW M4 GT4;M;760;38;5;68;74;3;;12265;;;Bill;Auberlen;Gold;Lake Havasu City, AZ;;;39;1;Gold;;;Dillon;Machavern;Silver;Charlotte, VT;;;463;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;41;7;1:54.059;+1.289;+0.023;180.8;8;PF Racing;GS;;;Ford Mustang GT4;M;708;243;5;54;107;3;;12281;;;Austin;Cindric;Gold;Mooresville, NC;;;878;1;Gold;;;Harrison;Burton;;Huntersville, NC;;;2769;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;71;6;1:54.086;+1.316;+0.027;180.8;8;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;12289;;;Michael;Cooper;Silver;Huntington, NY;;;2550;3;Silver;;;Robin;Liddell;Silver;Edinburgh, Scotland;;;411;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;46;6;1:54.097;+1.327;+0.011;180.8;7;TeamTGM;GS;;;Porsche 718 GT4 RS CS;M;1535;79;5;108;112;3;;12264;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;47;6;1:54.398;+1.628;+0.301;180.3;7;NOLASPORT;GS;;;Porsche 718 GT4 RS CS;M;1581;403;5;108;112;3;;12276;;;Matt;Travis;Bronze;The Woodlands, TX;;;1686;5;Bronze;;;Jason;Hart;Silver;Flower Mound, TX;;;699;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;24;8;1:54.629;+1.859;+0.231;179.9;8;Ian Lacy Racing;GS;;;Ford Mustang GT4;M;589;254;5;54;107;3;;12277;;;Frank;Gannett;Bronze;Salt Lake City, UT;;;1795;1;Bronze;;;Drew;Staveley;;Walnut, CA;;;1797;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
