POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;16;4;2:11.322;-;-;165.0;4;Wright Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;972;111;5;78;112;3;;10530;;;Maxwell;Root;Silver;San Diego, CA;;;1654;1;Silver;;;Jan;Heylen;Silver;Dunedin, FL;;;184;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;13;4;2:12.313;+0.991;+0.991;163.8;4;AWA;GS;;;McLaren 570S GT4;M;757;217;5;88;7651;3;;10489;;;Kuno;Wittmer;Gold;Montreal, QC;;;237;2;Gold;;;Orey;Fidani;;Toronto, ON;;;973;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;7;3;2:12.543;+1.221;+0.230;163.5;6;VOLT Racing with Archangel;GS;;;Aston Martin Vantage GT4;M;964;345;5;56;73;3;;10523;;;Alan;Brynjolfsson;Bronze;Tampa, FL;;;1271;1;Bronze;;;Trent;Hindman;Silver;Ocean Township, NJ;;;244;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;3;2:12.543;+1.221;+0.000;163.5;5;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;809;304;5;89;7643;3;;10495;;;Russell;Ward;Silver;Seabrook, TX;;;1252;1;Silver;;;Indy;Dontje;Silver;Amsterdam, Netherlands;;;1634;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;95;3;2:12.549;+1.227;+0.006;163.5;3;Turner Motorsport;GS;;;BMW M4 GT4;M;760;38;5;68;74;3;;10539;;;Bill;Auberlen;Gold;Lake Havasu City, AZ;;;39;1;Gold;;;Dillon;Machavern;Silver;Charlotte, VT;;;463;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;3;6;2:12.710;+1.388;+0.161;163.3;6;Motorsports In Action;GS;;;McLaren 570S GT4;M;818;160;5;88;7651;3;;10493;;;Sheena;Monk;Bronze;Newtown, PA;;;1532;1;Bronze;;;Spencer;Pigot;Gold;Orlando, FL;;;243;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;46;3;2:12.806;+1.484;+0.096;163.2;4;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;921;79;5;63;105;3;;10483;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;09;6;2:13.102;+1.780;+0.296;162.8;6;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;625;95;5;56;73;3;;10605;;;Rob;Ecklin;;Lancaster, PA;;;452;2;;;;Brandon;Kidd;;Syracuse, NY;;;1581;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;83;4;2:13.321;+1.999;+0.219;162.5;5;Fast MD Racing;GS;;;Audi R8 GT4;M;951;267;5;86;909;3;;10507;;;Alex;Papadopulos;;Houston, TX;;;1834;3;;;;James;Vance;;Toronto, ON;;;486;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;40;4;2:13.434;+2.112;+0.113;162.4;6;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;10496;;;James;Pesek;Silver;Harrisonville, MO;;;1745;3;Silver;;;Chad;McCumbee;;Ocean Isle Beach, NC;;;461;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;14;4;2:13.695;+2.373;+0.261;162.1;6;Riley Motorsports;GS;;;Toyota Supra GT4;M;919;35;5;104;7662;3;;10481;;;Javier;Quiros;;Escazú, Costa Rica;;;727;1;;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;56;3;2:13.986;+2.664;+0.291;161.7;6;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;765;212;5;89;7643;3;;10501;;;Jeff;Mosing;Bronze;Austin, TX;;;487;2;Bronze;;;Eric;Foss;Silver;Fort Worth, TX;;;488;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;96;3;2:14.033;+2.711;+0.047;161.7;5;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;10538;;;Robby;Foley;Silver;Randolph, NJ;;;1302;2;Silver;;;Vincent;Barletta;;Canton, MA;;;1894;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;43;3;2:14.207;+2.885;+0.174;161.5;4;Stephen Cameron Racing LLC;GS;;;BMW M4 GT4;M;967;347;5;68;74;3;;10597;;;Sean;Quinlan;Bronze;Palo Alto;;;2172;1;Bronze;;;Gregory;Liefooghe;;San Francisco, CA;;;504;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;8;6;2:14.305;+2.983;+0.098;161.3;6;McCann Racing;GS;;;Audi R8 GT4;M;791;303;5;86;909;3;;10531;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;Michael;McCann;;Canton, OH;;;1937;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
