POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;83;3;1:55.894;+1.654;+0.069;170.0;8;Fast MD Racing;GS;;;Audi R8 GT4;M;951;267;5;86;909;3;;11089;;;Alex;Papadopulos;;Houston, TX;;;1834;3;;;;James;Vance;;Toronto, ON;;;486;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;84;3;1:56.046;+1.806;+0.152;169.7;8;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;1053;259;22;97;2081;3;;11117;;;Brian;Henderson;;Fredericksburg, VA;;;1806;1;;;;Robert;Noaker;;Duncannon, PA;;;2201;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;4;5;1:56.125;+1.885;+0.079;169.6;8;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;809;304;5;89;7643;3;;11077;;;Russell;Ward;Silver;Seabrook, TX;;;1252;1;Silver;;;Indy;Dontje;Silver;Amsterdam, Netherlands;;;1634;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;57;7;1:56.572;+2.332;+0.447;169.0;8;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;794;304;5;89;7643;3;;11179;;;Bryce;Ward;;Seabrook, TX;;;1249;3;;;;Alec;Udell;Silver;The Woodlands, TX;;;866;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;11;8;1:56.594;+2.354;+0.022;168.9;8;FCP Euro;GS;;;Mercedes-AMG GT GT4;M;1412;371;5;89;7643;3;;11178;;;Nate;Vincent;Bronze;Old Lyme, CT;;;2518;1;Bronze;;;Michael;Hurczyn;Silver;Granby, CT;;;2519;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;65;5;1:56.714;+2.474;+0.120;168.8;8;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;766;212;5;89;7643;3;;11082;;;Brent;Mosing;;Lafayette, LA;;;492;5;;;;Tim;Probert;;Houston, TX;;;491;1;;;;Kenny;Murillo;;Santa Rosa, CA;;;1820;3;;;;;;;;;;;;;;;;;;;;;;
17;94;7;1:56.871;+2.631;+0.157;168.5;8;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;978;259;22;97;2081;3;;11118;;;Todd;Lamb;Bronze;Atlanta, GA;;;1805;5;Bronze;;;Ryan;Eversley;Gold;Atlanta, GA;;;501;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;88;6;1:56.912;+2.672;+0.041;168.5;9;VGMC Racing, LLC;TCR;;;Honda Civic FK7 TCR;M;976;355;22;97;2081;3;;11191;;;Victor;Gonzalez;ProAm;Trujillo Alto, PR;;;811;1;ProAm;;;Karl;Wittmer;Silver;Montreal, QC;;;2557;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;81;3;1:57.110;+2.870;+0.198;168.2;5;CB Motorsports;TCR;;;Hyundai Veloster N TCR;M;971;351;22;76;7660;3;;11111;;;Mark;Kvamme;Bronze;Columbus, OH;;;2422;2;Bronze;;;Trenton;Estep;Silver;San Antonio, TX;;;1353;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;96;7;1:57.299;+3.059;+0.189;167.9;7;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;11120;;;Robby;Foley;Silver;Randolph, NJ;;;1302;2;Silver;;;Vincent;Barletta;;Canton, MA;;;1894;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
