POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;13;Classified;107;4:01:53.298;-;-;99;1:59.153;179.9;ANSA Motorsports;LMP3;;;Ligier JS P3;M;567;168;23;58;7650;3;;4602;;;Roman;DeAngelis;Silver;;Belle River, Ontario;;1379;1;Silver;;;Kyle;Kirkwood;;;Jupiter, FL;;1755;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;26;Classified;107;4:01:55.576;+2.278;+2.278;81;1:58.914;180.3;K2R Motorsports;LMP3;;;Ligier JS P3;M;560;183;23;58;7650;3;;4592;;;James;McGuire;Bronze;;San Francisco, CA;;921;5;Bronze;;;Matt;Bell;Silver;;Newcastle Upon Tyne, UK;;424; 1;Silver;;;Kay;van Berlo;Bronze;;Veghel, Netherlands;;1759;3;Bronze;;;;;;;;;;;;;;;;;;;;;
3;40;Classified;107;4:02:15.654;+22.356;+20.078;82;1:59.303;179.7;Polestar Motor Racing Inc.;LMP3;;;Ligier JS P3;M;549;231;23;58;7650;3;;4595;;;Keith;Grant;Silver;;Germantown, TN;;1660;1;Silver;;;David;Grant;Bronze;;Germantown, TN;;1661;2;Bronze;;;Katherine;Legge;Silver;;Atlanta, GA;;384;3;Silver;;;;;;;;;;;;;;;;;;;;;
4;11;Classified;107;4:02:39.478;+46.180;+23.824;87;1:59.820;178.9;Simraceway Motorsports;LMP3;;;Ligier JS P3;M;570;247;23;58;7650;3;;4605;;;Maurice;Smith;Bronze;;Cordova, TN;;1748;2;Bronze;;;John;Schauerman;Bronze;;Scottsdale, AZ;;1758;3;Bronze;;;Nico;Rondet;Silver;;San Francisco, CA;;922;1;Silver;;;;;;;;;;;;;;;;;;;;;
5;64;Classified;106;4:02:14.753;1 Lap;1 Lap;97;2:00.183;178.4;K2R Motorsports;LMP3;;;Ligier JS P3;M;552;183;23;58;7650;3;;4591;;;Naveen;Rao;;;San Diego, CA;;1393;5;;;;Alex;Barron;;;Menifee, CA;;1647;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;84;Classified;106;4:02:24.662;1 Lap;+9.909;88;2:00.163;178.4;JDC Motorsports;LMP3;;;Ligier JS P3;M;557;181;23;58;7650;3;;4584;;;Patrick;Byrne;Silver;;Spokane, WA;;859;1;Silver;;;Guy;Cosmo;Silver;;Palm Bch Gardens, FL;;49;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60;Classified;99;4:02:58.998;8 Laps;7 Laps;77;2:11.885;162.6;Roush Performance / KohR Motorsports;GT4;;;Ford Mustang GT4;M;555;161;25;54;107;3;;4586;;;Nate;Stacy;Silver;;Owasso, OK;;1515;3;Silver;;;Kyle;Marcelli;Silver;;Toronto, Ontario;;88;2;Silver;;;Dean;Martin;Bronze;;Westland,  MI;;1291;4;Bronze;;;;;;;;;;;;;;;;;;;;;
8;22;Classified;99;4:03:15.253;8 Laps;+16.255;98;2:13.620;160.4;GMG Racing;GT4;;;Audi R8;M;562;129;25;71;909;3;;4597;;;Jason;Bell;Silver;;Tampa, FL;;1760;2;Silver;;;James;Sofronas;Bronze;;Villa Park, CA;;106;1;Bronze;;;Andy;Lally;Gold;;Northport, NY;;25;3;Gold;;;;;;;;;;;;;;;;;;;;;
9;82;Classified;99;4:03:39.475;8 Laps;+24.222;81;2:14.737;159.1;Mark Motors Racing;TCR;;;Audi RS3 LMS TCR;M;569;98;26;67;909;3;;4604;;;Marco;Cirone;Bronze;;Toronto, Ontario;;165;2;Bronze;;;Remo;Ruscitti;Silver;;Vancouver, British Columb;;458;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;54;Classified;98;4:01:28.068;9 Laps;1 Lap;91;2:15.149;158.6;JDC-Miller Motorsports;TCR;;;Audi RS3 LMS TCR;M;551;15;26;67;909;3;;4593;;;Michael;Johnson;Silver;;Mount Morris, MI;;261;1;Silver;;;Stephen;Simpson;Silver;;Cape Town, South Africa;;765;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;59;Classified;98;4:03:03.053;9 Laps;+1:34.985;34;2:13.131;161.0;Roush Performance / KohR Motorsports;GT4;;;Ford Mustang GT4;M;556;161;25;54;107;3;;4588;;;Kenny;Wilden;Silver;;Oakville, Ontario;;685;1;Silver;;;Rod;Randall;Bronze;;Tampa, FL;;684;2;Bronze;;;DJ;Randall;;;Tampa, FL;;737;4;;;;;;;;;;;;;;;;;;;;;;
