NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;
12;0;1;8:12.374;0;;6:32.109;0;53.576;0;46.689;0;35.9;8:12.374;17:08;6:32.109;0:53.576;0:46.689;158.6;Neel Jani;
12;0;2;2:05.081;0;;28.407;0;51.873;0;44.801;0;141.3;10:17.455;17:10;0:28.407;0:51.873;0:44.801;177.3;Neel Jani;
12;0;3;2:00.514;0;;26.508;0;50.529;0;43.477;0;146.6;12:17.969;17:12;0:26.508;0:50.529;0:43.477;213.4;Neel Jani;
12;0;4;1:58.970;0;;26.191;0;49.317;1;43.462;0;148.5;14:16.939;17:14;0:26.191;0:49.317;0:43.462;229.8;Neel Jani;
12;0;5;1:59.859;0;;25.738;0;50.033;0;44.088;0;147.4;16:16.798;17:16;0:25.738;0:50.033;0:44.088;244.9;Neel Jani;
12;0;6;1:58.111;2;;25.478;1;49.321;0;43.312;2;149.6;18:14.909;17:18;0:25.478;0:49.321;0:43.312;257.8;Neel Jani;
15;1;1;3:53.635;0;;2:05.926;0;1:00.284;0;47.425;0;75.6;3:53.635;17:03;2:05.926;1:00.284;0:47.425;135.3;Guillaume Moreau;
15;1;2;2:11.465;0;;29.269;0;55.769;0;46.427;0;134.4;6:05.100;17:06;0:29.269;0:55.769;0:46.427;179.1;Guillaume Moreau;
15;1;3;2:09.088;0;;28.638;0;54.151;0;46.299;0;136.9;8:14.188;17:08;0:28.638;0:54.151;0:46.299;166.9;Guillaume Moreau;
15;1;4;5:39.901;0;B;28.665;0;53.948;0;4:17.288;0;52.0;13:54.089;17:13;0:28.665;0:53.948;4:17.288;173.9;Guillaume Moreau;
15;1;5;2:24.489;0;;43.203;0;54.492;0;46.794;0;122.3;16:18.578;17:16;0:43.203;0:54.492;0:46.794;138.8;Guillaume Moreau;
15;1;6;2:05.603;0;;27.615;0;53.319;0;44.669;0;140.7;18:24.181;17:18;0:27.615;0:53.319;0:44.669;202.6;Guillaume Moreau;
15;1;7;2:04.040;0;;27.517;0;51.842;0;44.681;0;142.5;20:28.221;17:20;0:27.517;0:51.842;0:44.681;175.0;Guillaume Moreau;
15;1;8;2:03.878;0;;28.280;0;51.253;0;44.345;0;142.7;22:32.099;17:22;0:28.280;0:51.253;0:44.345;197.1;Guillaume Moreau;
15;1;9;5:49.869;0;B;26.289;0;50.843;0;4:32.737;0;50.5;28:21.968;17:28;0:26.289;0:50.843;4:32.737;203.4;Guillaume Moreau;
15;0;10;2:18.371;0;;42.079;0;52.081;0;44.211;0;127.7;30:40.339;17:30;0:42.079;0:52.081;0:44.211;183.4;Pierre Ragues;
15;0;11;1:59.948;0;;26.001;0;49.900;0;44.047;0;147.3;32:40.287;17:32;0:26.001;0:49.900;0:44.047;201.9;Pierre Ragues;
15;0;12;2:01.340;0;;25.893;0;50.510;0;44.937;0;145.6;34:41.627;17:34;0:25.893;0:50.510;0:44.937;208.5;Pierre Ragues;
15;0;13;1:59.299;0;;25.663;0;49.717;2;43.919;1;148.1;36:40.926;17:36;0:25.663;0:49.717;0:43.919;205.7;Pierre Ragues;
15;0;14;4:37.958;0;B;25.278;1;51.124;0;3:21.556;0;63.6;41:18.884;17:41;0:25.278;0:51.124;3:21.556;210.1;Pierre Ragues;
15;1;15;2:14.313;0;;40.171;0;50.691;0;43.451;2;131.6;43:33.197;17:43;0:40.171;0:50.691;0:43.451;176.2;Guillaume Moreau;
15;1;16;1:59.823;0;;24.808;0;51.376;0;43.639;1;147.5;45:33.020;17:45;0:24.808;0:51.376;0:43.639;220.9;Guillaume Moreau;
15;1;17;2:01.054;0;;25.548;0;51.327;0;44.179;0;146.0;47:34.074;17:47;0:25.548;0:51.327;0:44.179;205.3;Guillaume Moreau;
15;1;18;1:59.012;0;;24.796;0;49.805;1;44.411;0;148.5;49:33.086;17:49;0:24.796;0:49.805;0:44.411;222.2;Guillaume Moreau;
15;1;19;3:42.553;0;B;25.061;0;50.483;0;2:27.009;0;79.4;53:15.639;17:53;0:25.061;0:50.483;2:27.009;214.3;Guillaume Moreau;
15;1;20;2:15.790;0;;39.889;0;51.913;0;43.988;0;130.1;55:31.429;17:55;0:39.889;0:51.913;0:43.988;177.3;Guillaume Moreau;
15;1;21;1:58.785;2;;24.740;2;50.277;0;43.768;0;148.8;57:30.214;17:57;0:24.740;0:50.277;0:43.768;219.5;Guillaume Moreau;
15;1;22;2:00.377;0;;24.840;0;51.188;0;44.349;0;146.8;59:30.591;17:59;0:24.840;0:51.188;0:44.349;219.1;Guillaume Moreau;
15;1;23;2:01.071;0;;24.781;0;51.020;0;45.270;0;146.0;1:01:31.662;18:01;0:24.781;0:51.020;0:45.270;222.7;Guillaume Moreau;
2;0;1;19:28.183;0;;17:40.423;0;1:00.691;0;47.069;0;15.1;19:28.183;17:19;17:40.423;1:00.691;0:47.069;149.2;Tom Kristensen;
2;0;2;2:03.635;0;;27.492;0;52.323;0;43.820;0;142.9;21:31.818;17:21;0:27.492;0:52.323;0:43.820;170.6;Tom Kristensen;
2;0;3;2:02.552;0;;26.228;0;50.323;0;46.001;0;144.2;23:34.370;17:23;0:26.228;0:50.323;0:46.001;200.4;Tom Kristensen;
2;0;4;1:59.164;0;;25.809;0;50.007;0;43.348;0;148.3;25:33.534;17:25;0:25.809;0:50.007;0:43.348;215.6;Tom Kristensen;
2;0;5;1:59.606;0;;25.062;0;51.594;0;42.950;0;147.8;27:33.140;17:27;0:25.062;0:51.594;0:42.950;219.1;Tom Kristensen;
