NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;
1009;2;1;3:00.839;0;;1:36.718;0;30.891;0;53.230;0;115.3;3:00.839;09:03;
1009;2;2;1:57.274;0;;35.883;0;29.815;0;51.576;2;177.8;4:58.113;09:04;
1009;2;3;1:56.554;2;;35.073;0;29.695;2;51.786;0;178.9;6:54.667;09:06;
1009;2;4;2:22.910;0;B;50.358;0;31.843;0;1:00.709;0;145.9;9:17.577;09:09;
1009;2;5;6:04.959;0;;4:42.670;0;30.490;0;51.799;0;57.1;15:22.536;09:15;
1009;2;6;2:04.169;0;B;34.863;2;30.048;0;59.258;0;167.9;17:26.705;09:17;
1009;1;7;3:32.281;0;;2:09.001;0;30.924;0;52.356;0;98.2;20:58.986;09:20;
12;1;1;2:35.455;0;;1:13.136;0;28.955;0;53.364;0;134.1;2:35.455;09:02;
12;1;2;1:58.482;0;;37.661;0;29.016;0;51.805;0;176.0;4:33.937;09:04;
12;1;3;1:49.863;3;;33.530;0;28.143;0;48.190;3;189.8;6:23.800;09:06;
12;1;4;3:26.085;0;B;33.226;1;28.099;1;2:24.760;0;101.2;9:49.885;09:09;
12;0;5;2:07.090;0;;50.319;0;28.288;0;48.483;0;164.0;11:56.975;09:11;
12;0;6;1:51.787;0;;33.077;0;27.978;2;50.732;0;186.5;13:48.762;09:13;
12;0;7;2:34.377;0;B;32.633;3;27.991;0;1:33.753;0;135.0;16:23.139;09:16;
12;0;8;2:14.318;0;;52.011;0;28.663;0;53.644;0;155.2;18:37.457;09:18;
12;0;9;1:50.026;0;;33.513;0;28.190;0;48.323;1;189.5;20:27.483;09:20;
13;0;1;2:10.484;0;;50.373;0;29.458;0;50.653;0;159.8;2:10.484;09:02;
13;0;2;2:41.520;0;B;34.592;0;28.263;0;1:38.665;0;129.1;4:52.004;09:04;
13;0;3;2:09.120;0;;51.199;0;28.333;0;49.588;0;161.5;7:01.124;09:07;
13;0;4;1:51.278;0;;34.032;0;28.365;0;48.881;1;187.3;8:52.402;09:08;
13;0;5;1:53.133;0;;34.230;0;28.305;0;50.598;0;184.3;10:45.535;09:10;
13;0;6;1:51.630;0;;33.963;0;28.331;0;49.336;0;186.8;12:37.165;09:12;
13;0;7;3:23.845;0;B;33.395;2;28.178;2;2:22.272;0;102.3;16:01.010;09:16;
13;1;8;2:10.166;0;;51.704;0;28.746;0;49.716;0;160.2;18:11.176;09:18;
13;1;9;1:50.862;2;;33.945;1;28.498;1;48.419;2;188.1;20:02.038;09:20;
16;0;1;2:03.177;0;;43.555;0;29.062;0;50.560;0;169.2;2:03.177;09:02;
16;0;2;3:58.268;0;B;1:48.939;1;51.053;1;1:18.276;1;87.5;6:01.445;09:06;
16;2;3;2:56.831;0;;1:37.407;0;29.168;0;50.256;0;117.9;8:58.276;09:08;
16;2;4;1:51.587;0;;34.094;0;27.901;1;49.592;1;186.8;10:49.863;09:10;
16;2;5;2:00.634;0;B;33.935;1;28.710;0;57.989;0;172.8;12:50.497;09:12;
16;1;6;3:20.672;0;;2:03.555;0;28.231;0;48.886;0;103.9;16:11.169;09:16;
16;1;7;1:53.270;0;;35.669;0;29.350;0;48.251;2;184.1;18:04.439;09:18;
16;1;8;1:50.561;0;;33.633;2;27.852;0;49.076;0;188.6;19:55.000;09:19;
16;1;9;1:50.204;2;;33.803;0;27.781;3;48.620;0;189.2;21:45.204;09:21;
20;0;1;2:41.708;0;;1:20.877;0;29.646;0;51.185;0;128.9;2:41.708;09:02;
20;0;2;1:58.132;0;;37.136;0;30.596;0;50.400;0;176.5;4:39.840;09:04;
20;0;3;1:53.681;0;;35.097;0;28.239;2;50.345;0;183.4;6:33.521;09:06;
20;0;4;1:51.926;0;;34.833;0;28.345;0;48.748;0;186.3;8:25.447;09:08;
20;0;5;1:51.937;0;;34.277;0;28.746;0;48.914;0;186.2;10:17.384;09:10;
20;0;6;1:51.646;0;;33.712;2;28.334;0;49.600;0;186.7;12:09.030;09:12;
20;0;7;1:51.373;0;;34.171;0;28.318;0;48.884;0;187.2;14:00.403;09:14;
20;0;8;1:51.311;0;;33.783;0;28.353;0;49.175;0;187.3;15:51.714;09:15;
20;0;9;1:51.310;0;;33.821;0;28.287;0;49.202;0;187.3;17:43.024;09:17;
20;0;10;1:51.197;2;;33.830;0;28.866;0;48.501;2;187.5;19:34.221;09:19;
20;0;11;1:53.042;0;;33.883;0;28.446;0;50.713;0;184.4;21:27.263;09:21;
36;0;1;2:58.768;0;;1:35.774;0;30.850;0;52.144;0;116.6;2:58.768;09:02;
36;0;2;1:57.067;2;;35.530;1;29.964;2;51.573;2;178.1;4:55.835;09:04;
36;0;3;3:37.111;0;B;36.251;0;29.987;0;2:30.873;0;96.0;8:32.946;09:08;
36;1;4;2:20.627;0;;56.627;0;30.585;0;53.415;0;148.2;10:53.573;09:10;
36;1;5;1:59.012;0;;35.866;0;31.285;0;51.861;1;175.2;12:52.585;09:12;
36;1;6;3:24.810;0;B;35.384;2;30.429;1;2:18.997;0;101.8;16:17.395;09:16;
36;2;7;2:20.087;0;;55.302;0;30.685;0;54.100;0;148.8;18:37.482;09:18;
36;2;8;2:00.209;0;;36.308;1;30.633;1;53.268;1;173.4;20:37.691;09:20;
39;2;1;5:22.885;0;;3:55.421;0;33.339;0;54.125;0;64.6;5:22.885;09:05;
39;2;2;1:56.516;0;;35.386;0;30.280;0;50.850;0;178.9;7:19.401;09:07;
39;2;3;1:53.552;0;;34.379;0;30.029;0;49.144;2;183.6;9:12.953;09:09;
39;2;4;1:52.926;2;;33.811;2;29.914;2;49.201;0;184.6;11:05.879;09:11;
39;2;5;2:04.023;0;B;34.720;0;30.310;0;58.993;0;168.1;13:09.902;09:13;
39;0;6;3:34.597;0;;2:11.833;0;30.647;0;52.117;0;97.1;16:44.499;09:16;
39;0;7;1:57.834;0;;35.991;0;30.257;1;51.586;1;176.9;18:42.333;09:18;
39;0;8;1:59.281;0;;35.867;1;30.849;0;52.565;0;174.8;20:41.614;09:20;
40;0;1;4:54.323;0;;3:29.768;0;31.443;0;53.112;0;70.8;4:54.323;09:04;
40;0;2;1:58.913;0;;36.225;0;29.281;0;53.407;1;175.3;6:53.236;09:06;
40;0;3;3:33.769;0;B;34.076;2;29.055;2;2:30.638;0;97.5;10:27.005;09:10;
40;0;4;2:20.837;0;;55.690;0;31.427;0;53.720;0;148.0;12:47.842;09:12;
40;0;5;3:30.739;0;B;35.461;0;29.371;0;2:25.907;0;98.9;16:18.581;09:16;
40;1;6;2:21.938;0;;55.814;0;30.276;0;55.848;0;146.9;18:40.519;09:18;
40;1;7;1:57.764;2;;36.260;1;29.480;1;52.024;2;177.0;20:38.283;09:20;
