POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
1;23;Classified;104;4:01:22.065;-;-;82;1:54.934;171.4;Notlad Racing by RS1;GS;;;Aston Martin Vantage GT4;M;1231;56;5;56;73;3;;11180;;;Patrick;Gallagher;Silver;Thornville, OH;;;1593;2;Silver;;;Stevan;McAleer;Silver;Monticello, NY;;;460;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;95;Classified;104;4:01:23.138;+1.073;+1.073;98;1:55.408;170.7;Turner Motorsport;GS;;;BMW M4 GT4;M;760;38;5;68;74;3;;11121;;;Bill;Auberlen;Gold;Lake Havasu City, AZ;;;39;1;Gold;;;Dillon;Machavern;Silver;Charlotte, VT;;;463;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;Classified;104;4:01:29.636;+7.571;+6.498;76;1:55.437;170.6;Motorsports In Action;GS;;;McLaren 570S GT4;M;818;160;5;88;7651;3;;11075;;;Sheena;Monk;Bronze;Newtown, PA;;;1532;1;Bronze;;;Spencer;Pigot;Gold;Orlando, FL;;;243;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;16;Classified;104;4:01:36.704;+14.639;+7.068;101;1:55.733;170.2;Wright Motorsports;GS;;;Porsche 718 Cayman GT4 Clubsport;M;972;111;5;78;112;3;;11112;;;Ryan;Hardwick;Bronze;Atlanta, GA;;;1256;1;Bronze;;;Jan;Heylen;Silver;Dunedin, FL;;;184;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;46;Classified;104;4:01:37.327;+15.262;+0.623;63;1:55.880;170.0;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;921;79;5;63;105;3;;11065;;;Hugh;Plumb;Bronze;Unionville, PA;;;421;3;Bronze;;;Matt;Plumb;Silver;Chadds Ford, PA;;;429;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;56;Classified;104;4:01:37.820;+15.755;+0.493;50;1:56.009;169.8;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;765;212;5;89;7643;3;;11083;;;Jeff;Mosing;Bronze;Austin, TX;;;487;2;Bronze;;;Eric;Foss;Silver;Fort Worth, TX;;;488;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;8;Classified;104;4:01:42.444;+20.379;+4.624;65;1:56.067;169.7;McCann Racing;GS;;;Audi R8 GT4;M;791;303;5;86;909;3;;11113;;;Andrew;Davis;Silver;Athens, GA;;;329;2;Silver;;;Michael;McCann;;Canton, OH;;;1937;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;7;Classified;104;4:01:43.003;+20.938;+0.559;98;1:54.854;171.5;VOLT Racing with Archangel;GS;;;Aston Martin Vantage GT4;M;964;345;5;56;73;3;;11105;;;Alan;Brynjolfsson;Bronze;Tampa, FL;;;1271;1;Bronze;;;Trent;Hindman;Silver;Ocean Township, NJ;;;244;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;57;Classified;104;4:01:43.446;+21.381;+0.443;58;1:55.695;170.3;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;794;304;5;89;7643;3;;11179;;;Bryce;Ward;;Seabrook, TX;;;1249;3;;;;Alec;Udell;Silver;The Woodlands, TX;;;866;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;65;Classified;104;4:01:45.963;+23.898;+2.517;97;1:56.434;169.2;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;766;212;5;89;7643;3;;11082;;;Brent;Mosing;;Lafayette, LA;;;492;5;;;;Tim;Probert;;Houston, TX;;;491;1;;;;Kenny;Murillo;;Santa Rosa, CA;;;1820;3;;;;;;;;;;;;;;;;;;;;;;
11;94;Classified;104;4:02:04.510;+42.445;+18.547;46;1:57.489;167.7;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;978;259;22;97;2081;3;;11118;;;Todd;Lamb;Bronze;Atlanta, GA;;;1805;5;Bronze;;;Ryan;Eversley;Gold;Atlanta, GA;;;501;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;98;Classified;104;4:02:10.945;+48.880;+6.435;64;1:57.900;167.1;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;11091;;;Parker;Chase;;New Braunfels, TX;;;1137;1;;;;Ryan;Norman;Silver;Estero, FL;;;2231;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;77;Classified;104;4:02:11.686;+49.621;+0.741;38;1:58.238;166.6;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Veloster N TCR;M;954;255;22;76;7660;3;;11092;;;Taylor;Hagler;;San Antonio, TX;;;1921;1;;;;Michael;Lewis;Gold;Laguna Beach, CA;;;730;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;84;Classified;104;4:02:12.021;+49.956;+0.335;3;1:57.596;167.5;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;1053;259;22;97;2081;3;;11117;;;Brian;Henderson;;Fredericksburg, VA;;;1806;1;;;;Robert;Noaker;;Duncannon, PA;;;2201;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;96;Classified;104;4:02:14.516;+52.451;+2.495;69;1:55.571;170.4;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;11120;;;Robby;Foley;Silver;Randolph, NJ;;;1302;2;Silver;;;Vincent;Barletta;;Canton, MA;;;1894;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;19;Classified;104;4:02:22.918;+1:00.853;+8.402;66;1:57.698;167.4;VAN DER STEUR RACING;TCR;;;Hyundai Veloster N TCR;M;950;341;22;76;7660;3;;11088;;;Rory;van der Steur;;Chesapeake City, MD;;;2408;1;;;;Denis;Dupont;;Braine le Chateau, Belgiu;;;2250;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;54;Classified;103;4:01:29.136;1 Lap;1 Lap;38;1:58.162;166.7;Michael Johnson Racing;TCR;;;Hyundai Veloster N TCR;M;955;255;22;76;7660;3;;11093;;;Michael;Johnson;;Mount Morris, MI;;;261;1;;;;Stephen;Simpson;Silver;Cape Town, South Africa;;;765;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;93;Classified;103;4:01:33.676;1 Lap;+4.540;66;1:55.525;170.5;CarBahn with Peregrine;GS;;;Audi R8 GT4;M;863;285;5;86;909;3;;11109;;;Mark;Siegel;;Palo Alto, CA;;;1569;1;;;;Nolan;Siegel;;Palo Alto, CA;;;2421;3;;;;Tom;Dyer;Silver;Corte Madera, CA;;;805;4;Silver;;;;;;;;;;;;;;;;;;;;;
19;64;Classified;103;4:01:49.616;1 Lap;+15.940;61;1:56.637;168.9;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;920;79;5;63;105;3;;11064;;;Ted;Giovanis;Bronze;Highland, MD;;;489;1;Bronze;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;13;Classified;103;4:01:54.692;1 Lap;+5.076;65;1:55.814;170.1;AWA;GS;;;McLaren 570S GT4;M;757;217;5;88;7651;3;;11071;;;Kuno;Wittmer;Gold;Montreal, QC;;;237;2;Gold;;;Orey;Fidani;;Toronto, ON;;;973;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;40;Classified;103;4:01:55.141;1 Lap;+0.449;49;1:56.946;168.4;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;11078;;;James;Pesek;Silver;Harrisonville, MO;;;1745;3;Silver;;;Chad;McCumbee;;Ocean Isle Beach, NC;;;461;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;5;Classified;103;4:02:08.558;1 Lap;+13.417;58;1:57.624;167.5;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta Veloce TCR;M;962;265;22;95;7658;3;;11100;;;Roy;Block;;Winter Park, FL;;;1077;3;;;;Tim;Lewis;;Boca Raton, FL;;;1801;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;09;Classified;103;4:02:12.556;1 Lap;+3.998;28;1:56.652;168.9;Automatic Racing;GS;;;Aston Martin Vantage GT4;M;625;95;5;56;73;3;;11190;;;Ramin;Abdolvahabi;;Palm Bch Gardens, FL;;;2227;1;;;;Rob;Ecklin;;Lancaster, PA;;;452;2;;;;Brandon;Kidd;;Syracuse, NY;;;1581;3;;;;;;;;;;;;;;;;;;;;;;
24;60;Classified;101;4:01:51.034;3 Laps;2 Laps;101;1:57.060;168.3;Capstone Motorsports;GS;;;Mercedes-AMG GT GT4;M;1485;380;5;89;7643;3;;11170;;;Gary;Ferrera;;Houston, TX;;;1735;1;;;;John;Allen;Bronze;Selma, AL;;;1733;2;Bronze;;;Kris;Wilson;;Golden, CO;;;423;3;;;;;;;;;;;;;;;;;;;;;;
25;81;Classified;99;3:52:12.625;5 Laps;2 Laps;45;1:57.888;167.1;CB Motorsports;TCR;;;Hyundai Veloster N TCR;M;971;351;22;76;7660;3;;11111;;;Mark;Kvamme;Bronze;Columbus, OH;;;2422;2;Bronze;;;Trenton;Estep;Silver;San Antonio, TX;;;1353;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;11;Classified;95;4:01:53.930;9 Laps;4 Laps;29;1:56.777;168.7;FCP Euro;GS;;;Mercedes-AMG GT GT4;M;1412;371;5;89;7643;3;;11178;;;Nate;Vincent;Bronze;Old Lyme, CT;;;2518;1;Bronze;;;Michael;Hurczyn;Silver;Granby, CT;;;2519;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;34;Classified;85;3:13:43.872;19 Laps;10 Laps;63;1:55.582;170.4;Blackdog Speed Shop;GS;;;McLaren 570S GT4;M;1484;379;5;88;7651;3;;11169;;;Michael;Cooper;Gold;Huntington, NY;;;2550;1;Gold;;;Spencer;Pumpelly;Silver;Atlanta, GA;;;64;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;21;Classified;82;3:05:38.813;22 Laps;3 Laps;63;1:55.580;170.4;Riley Motorsports;GS;;;Toyota Supra GT4;M;1414;35;5;104;7662;3;;11176;;;Anton;Dias Perera;;Memphis,TN;;;1987;1;;;;Scott;Andrews;Silver;Torquay, Australia;;;1657;3;Silver;;;Colin;Braun;Gold;Ovalo, TX;;;61;2;Gold;;;;;;;;;;;;;;;;;;;;;
29;17;Classified;72;3:46:21.312;32 Laps;10 Laps;55;1:58.217;166.6;Unitronic JDC-Miller MotorSports;TCR;;;Audi RS3 LMS SEQ;M;956;270;22;99;909;3;;11095;;;Chris;Miller;Silver;Minneapolis, MN;;;265;1;Silver;;;Mikey;Taylor;;Pretoria, South Africa;;;791;2;;;;William;Tally;;Athens, GA;;;2039;3;;;;;;;;;;;;;;;;;;;;;;
30;33;Classified;64;4:02:12.267;40 Laps;8 Laps;55;1:57.942;167.0;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;11090;;;Harry;Gottsacker;Silver;San Antonio, TX;;;1456;3;Silver;;;Mark;Wilkins;Gold;Mulmur, ON;;;317;4;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;61;Classified;52;4:02:21.673;52 Laps;12 Laps;49;1:58.890;165.7;Road Shagger Racing;TCR;;;Audi RS3 LMS SEQ;M;1409;342;22;99;909;3;;11096;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;Jon;Morley;Bronze;San Francisco, CA;;;2405;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
