NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
46;3;1;4:42.379;0;;50.858;0;1:35.150;0;2:16.371;0;171.9;4:42.379;12:04:42.379;0:50.858;1:35.150;2:16.371;275.3;Kelvin VAN DER LINDE;0:00:09.795;LMGT3;;Team WRT;BMW;FCY;50.858;95.150;136.371;
46;3;2;4:45.774;0;;1:23.038;0;1:33.062;0;1:49.674;0;171.7;9:28.153;12:09:28.153;1:23.038;1:33.062;1:49.674;281.0;Kelvin VAN DER LINDE;;LMGT3;;Team WRT;BMW;GF;83.038;93.062;109.674;
46;3;3;3:58.604;2;;37.401;2;1:31.985;0;1:49.218;2;205.6;13:26.757;12:13:26.757;0:37.401;1:31.985;1:49.218;281.7;Kelvin VAN DER LINDE;;LMGT3;;Team WRT;BMW;GF;37.401;91.985;109.218;
46;3;4;4:04.538;0;B;37.655;0;1:31.937;2;1:54.946;0;200.6;17:31.295;12:17:31.295;0:37.655;1:31.937;1:54.946;283.2;Kelvin VAN DER LINDE;;LMGT3;;Team WRT;BMW;FF;37.655;91.937;114.946;
48;2;1;6:25.641;0;;1:46.014;0;1:32.893;0;3:06.734;0;125.9;6:25.641;12:06:25.641;1:46.014;1:32.893;3:06.734;203.7;Esteban MASSON;0:01:02.364;LMP2;;VDS Panis Racing;Oreca;GF;106.014;92.893;186.734;
48;2;2;3:47.564;0;;36.867;0;1:26.832;0;1:43.865;0;215.6;10:13.205;12:10:13.205;0:36.867;1:26.832;1:43.865;294.8;Esteban MASSON;;LMP2;;VDS Panis Racing;Oreca;GF;36.867;86.832;103.865;
48;2;3;3:40.509;2;;34.409;2;1:24.050;2;1:42.050;0;222.5;13:53.714;12:13:53.714;0:34.409;1:24.050;1:42.050;314.5;Esteban MASSON;;LMP2;;VDS Panis Racing;Oreca;GF;34.409;84.050;102.050;
48;2;4;3:42.326;0;;34.660;0;1:26.673;0;1:40.993;2;220.6;17:36.040;12:17:36.040;0:34.660;1:26.673;1:40.993;319.1;Esteban MASSON;;LMP2;;VDS Panis Racing;Oreca;FF;34.660;86.673;100.993;
5;1;1;6:21.373;0;;1:38.134;0;1:29.342;0;3:13.897;0;127.3;6:21.373;12:06:21.373;1:38.134;1:29.342;3:13.897;217.7;Julien ANDLAUER;0:00:50.641;HYPERCAR;H;Porsche Penske Motorsport;Porsche;GF;98.134;89.342;193.897;
5;1;2;3:31.694;0;;34.882;0;1:20.813;0;1:35.999;2;231.7;9:53.067;12:09:53.067;0:34.882;1:20.813;1:35.999;331.8;Julien ANDLAUER;;HYPERCAR;H;Porsche Penske Motorsport;Porsche;GF;34.882;80.813;95.999;
5;1;3;3:31.431;2;;33.045;0;1:20.652;0;1:37.734;0;232.0;13:24.498;12:13:24.498;0:33.045;1:20.652;1:37.734;325.8;Julien ANDLAUER;;HYPERCAR;H;Porsche Penske Motorsport;Porsche;GF;33.045;80.652;97.734;
5;1;4;3:32.168;0;;33.022;2;1:19.958;2;1:39.188;0;231.2;16:56.666;12:16:56.666;0:33.022;1:19.958;1:39.188;338.1;Julien ANDLAUER;;HYPERCAR;H;Porsche Penske Motorsport;Porsche;FF;33.022;79.958;99.188;
50;2;1;4:39.877;0;B;1:07.434;0;1:29.354;1;2:03.089;0;173.4;4:39.877;12:04:39.877;1:07.434;1:29.354;2:03.089;255.1;Nicklas NIELSEN;0:00:27.939;HYPERCAR;H;Ferrari AF Corse;Ferrari;FCY;67.434;89.354;123.089;
50;1;2;4:46.681;0;;1:46.786;0;1:21.387;0;1:38.508;0;171.1;9:26.558;12:09:26.558;1:46.786;1:21.387;1:38.508;286.9;Antonio FUOCO;0:01:11.820;HYPERCAR;H;Ferrari AF Corse;Ferrari;GF;106.786;81.387;98.508;
50;1;3;3:28.940;0;;33.849;0;1:19.956;0;1:35.135;0;234.8;12:55.498;12:12:55.498;0:33.849;1:19.956;1:35.135;334.9;Antonio FUOCO;;HYPERCAR;H;Ferrari AF Corse;Ferrari;GF;33.849;79.956;95.135;
