POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;62;9;1:43.278;+8.745;+0.135;199.7;28;Risi Competizione;GTLM;;;Ferrari 488 GTE;M;26;26;3;8;106;3;;6549;;;Daniel;Serra;Gold;;BRA;;687;1;Gold;;;James;Calado;Platinum;;GBR;;1096;2;Platinum;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4;10;1:43.709;+9.176;+0.431;198.9;31;Corvette Racing;GTLM;;;Corvette C8.R;M;749;23;3;83;105;3;;6305;;;Oliver;Gavin;Platinum;;GBR;;14;1;Platinum;;;Tommy;Milner;Platinum;;USA;;15;2;Platinum;;;Marcel;Fassler;Platinum;;CHE;;348;3;Platinum;;;;;;;;;;;;;;;;;;;;;
13;25;6;1:43.720;+9.187;+0.011;198.8;26;BMW Team RLL;GTLM;;;BMW M8 GTE;M;412;17;3;66;74;3;;6281;;;Bruno;Spengler;Platinum;;CAN;;903;1;Platinum;;;Connor;De Phillippi;Gold;;USA;;698;2;Gold;;;Philipp;Eng;Platinum;;AUT;;883;4;Platinum;;;Colton;Herta;Gold;;USA;;1602;5;Gold;;;;;;;;;;;;;;;
14;3;11;1:43.803;+9.270;+0.083;198.7;19;Corvette Racing;GTLM;;;Corvette C8.R;M;748;23;3;83;105;3;;6293;;;Nicky;Catsburg;Platinum;;NLD;;1113;3;Platinum;;;Antonio;Garcia;Platinum;;ESP;;12;1;Platinum;;;Jordan;Taylor;Platinum;;USA;;13;2;Platinum;;;;;;;;;;;;;;;;;;;;;
15;24;5;1:44.293;+9.760;+0.490;197.8;26;BMW Team RLL;GTLM;;;BMW M8 GTE;M;434;17;3;66;74;3;;6269;;;Jesse;Krohn;Gold;;FIN;;2005;1;Gold;;;John;Edwards;Platinum;;USA;;942;2;Platinum;;;Chaz;Mostert;Gold;;AUS;;1753;3;Gold;;;Augusto;Farfus;Platinum;;BRA;;701;4;Platinum;;;;;;;;;;;;;;;
16;57;14;1:46.155;+11.622;+1.862;194.3;16;Heinricher Racing w/MSR Curb-Agajanian;GTD;;;Acura NSX GT3;M;590;3;4;43;7641;3;;6697;;;Alvaro;Parente;Platinum;;PRT;;1583;1;Platinum;;;Misha;Goikhberg;Silver;;RUS;;168;2;Silver;;;Trent;Hindman;Silver;;USA;;244;3;Silver;;;AJ;Allmendinger;Gold;;USA;;619;4;Gold;;;;;;;;;;;;;;;
17;44;5;1:46.225;+11.692;+0.070;194.2;24;GRT Magnus;GTD;;;Lamborghini Huracan GT3;M;32;32;4;13;1609;3;;6483;;;Marco;Mapelli;Gold;;ITA;;1283;4;Gold;;;Spencer;Pumpelly;Silver;;USA;;64;3;Silver;;;John;Potter;Bronze;;USA;;670;1;Bronze;;;Andy;Lally;Gold;;USA;;25;2;Gold;;;;;;;;;;;;;;;
18;19;15;1:46.429;+11.896;+0.204;193.8;28;GEAR Racing powered by GRT Grasser;GTD;;;Lamborghini Huracan GT3;M;263;151;4;13;1609;3;;6618;;;Christina;Nielsen;Silver;;DNK;;1981;1;Silver;;;Katherine;Legge;Gold;;GBR;;384;2;Gold;;;Tati;Calderon;Silver;;COL;;1941;3;Silver;;;Rahel;Frey;Silver;;CHE;;1550;4;Silver;;;;;;;;;;;;;;;
19;12;12;1:46.443;+11.910;+0.014;193.8;29;AIM VASSER SULLIVAN;GTD;;;Lexus RC-F GT3;M;753;251;4;82;7644;3;;6350;;;Frankie;Montecalvo;Silver;;USA;;1279;1;Silver;;;Townsend;Bell;Gold;;USA;;117;2;Gold;;;Shane;van Gisbergen;Platinum;;NZL;;658;3;Platinum;;;Aaron;Telitz;Silver;;USA;;1780;4;Silver;;;;;;;;;;;;;;;
20;14;9;1:46.487;+11.954;+0.044;193.7;29;AIM VASSER SULLIVAN;GTD;;;Lexus RC-F GT3;M;754;251;4;82;7644;3;;6363;;;Parker;Chase;Silver;;USA;;1137;1;Silver;;;Jack;Hawksworth;Gold;;GBR;;838;2;Gold;;;Kyle;Busch;Platinum;;USA;;2012;3;Platinum;;;Michael;De Quesada;Silver;;USA;;1136;4;Silver;;;;;;;;;;;;;;;
