POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;57;6;1:28.700;+1.679;+0.239;147.5;10;Winward Racing;GS;;;Mercedes-AMG GT GT4;M;794;304;5;89;7643;3;;10761;;;Bryce;Ward;;Seabrook, TX;;;1249;3;;;;Alec;Udell;;The Woodlands, TX;;;866;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;84;9;1:28.813;+1.792;+0.113;147.3;10;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;1053;259;22;97;2081;3;;10747;;;Brian;Henderson;;Fredericksburg, VA;;;1806;1;;;;Robert;Noaker;;Duncannon, PA;;;2201;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;11;8;1:28.909;+1.888;+0.096;147.1;9;FCP Euro;GS;;;Mercedes-AMG GT GT4;M;1412;371;5;89;7643;3;;10766;;;Nate;Vincent;;Old Lyme, CT;;;2518;1;Bronze;;;Michael;Hurczyn;;Granby, CT;;;2519;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;42;9;1:28.955;+1.934;+0.046;147.1;10;American Wheelman;GS;;;Ford Mustang GT4;M;1359;372;5;54;107;3;;10759;;;Nate;Stacy;;Owasso, OK;;;1515;3;Silver;;;Jack;Roush Jr.;;Livonia, MI;;;2522;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;17;7;1:29.254;+2.233;+0.299;146.6;9;Unitronic JDC-Miller MotorSports;TCR;;;Audi RS3 LMS SEQ;M;956;270;22;99;909;3;;10725;;;Chris;Miller;;Minneapolis, MN;;;265;1;Silver;;;Mikey;Taylor;;Pretoria, South Africa;;;791;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;73;6;1:29.266;+2.245;+0.012;146.6;10;LA Honda World Racing;TCR;;;Honda Civic FK7 TCR;M;989;364;22;97;2081;3;;10765;;;Mike;LaMarra;;Brighton, MI;;;473;3;;;;Mat;Pombo;;Atlanta, GA;;;529;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;65;9;1:29.314;+2.293;+0.048;146.5;9;Murillo Racing;GS;;;Mercedes-AMG GT GT4;M;766;212;5;89;7643;3;;10711;;;Brent;Mosing;;Lafayette, LA;;;492;2;;;;Tim;Probert;;Houston, TX;;;491;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;40;9;1:29.394;+2.373;+0.080;146.3;10;PF Racing;GS;;;Ford Mustang GT4;M;629;243;5;54;107;3;;10707;;;James;Pesek;;Harrisonville, MO;;;1745;3;Silver;;;Chad;McCumbee;;Ocean Isle Beach, NC;;;461;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;98;7;1:29.513;+2.492;+0.119;146.1;8;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;10721;;;Parker;Chase;;New Braunfels, TX;;;1137;1;;;;Ryan;Norman;;Estero, FL;;;2231;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;96;10;1:29.616;+2.595;+0.103;146.0;10;Turner Motorsport;GS;;;BMW M4 GT4;M;610;38;5;68;74;3;;10751;;;Robby;Foley;;Randolph, NJ;;;1302;2;Silver;;;Vincent;Barletta;;Canton, MA;;;1894;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;19;4;1:29.949;+2.928;+0.333;145.4;6;VAN DER STEUR RACING;TCR;;;Hyundai Veloster N TCR;M;950;341;22;76;7660;3;;10718;;;Rory;van der Steur;;Chesapeake City, MD;;;2408;1;;;;Denis;Dupont;;Braine le Chateau, Belgium;;;2250;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;61;8;1:30.047;+3.026;+0.098;145.3;9;Road Shagger Racing;TCR;;;Audi RS3 LMS SEQ;M;1409;342;22;99;909;3;;10726;;;Gavin;Ernstone;;Las Vegas, NV;;;1652;1;;;;Jon;Morley;;San Francisco, CA;;;2405;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;94;8;1:30.051;+3.030;+0.004;145.3;9;Atlanta Speedwerks;TCR;;;Honda Civic FK7 TCR;M;978;259;22;97;2081;3;;10748;;;Ryan;Eversley;;Atlanta, GA;;;501;2;Gold;;;Scott;Smithson;;Holladay, UT;;;2521;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;33;5;1:30.109;+3.088;+0.058;145.2;6;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;10720;;;Harry;Gottsacker;;San Antonio, TX;;;1456;3;Silver;;;Mark;Wilkins;;Mulmur, ON;;;317;4;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;27;4;1:30.166;+3.145;+0.057;145.1;8;COPELAND MOTORSPORTS;TCR;;;Hyundai Veloster N TCR;M;898;329;22;76;7660;3;;10724;;;Tyler;Maxson;;Bogart, GA;;;2151;1;Silver;;;Tyler;Gonzalez;;St. Cloud, FL;;;2164;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;93;9;1:30.444;+3.423;+0.278;144.6;10;CarBahn with Peregrine;GS;;;Audi R8 GT4;M;863;285;5;86;909;3;;10738;;;Mark;Siegel;;Palo Alto, CA;;;1569;1;;;;Tom;Dyer;;Corte Madera, CA;;;805;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;54;8;1:30.493;+3.472;+0.049;144.6;9;Michael Johnson Racing;TCR;;;Hyundai Veloster N TCR;M;955;255;22;76;7660;3;;10723;;;Michael;Johnson;;Mount Morris, MI;;;261;1;;;;Stephen;Simpson;;Cape Town, South Africa;;;765;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;21;8;1:30.636;+3.615;+0.143;144.3;10;Riley Motorsports;GS;;;Toyota Supra GT4;M;1414;35;5;104;7662;3;;10762;;;Anton;Dias Perera;;Memphis,TN;;;1987;1;;;;Scott;Andrews;;Torquay, Australia;;;1657;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;77;8;1:30.773;+3.752;+0.137;144.1;9;Bryan Herta Autosport w/ Curb-Agajanian;TCR;;;Hyundai Veloster N TCR;M;954;255;22;76;7660;3;;10722;;;Taylor;Hagler;;San Antonio, TX;;;1921;1;;;;Michael;Lewis;;Laguna Beach, CA;;;730;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;14;10;1:30.777;+3.756;+0.004;144.1;10;Riley Motorsports;GS;;;Toyota Supra GT4;M;919;35;5;104;7662;3;;10689;;;Javier;Quiros;;Escazú, Costa Rica;;;727;1;;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;5;10;1:30.847;+3.826;+0.070;144.0;11;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta Veloce TCR;M;962;265;22;95;7658;3;;10732;;;Roy;Block;;Winter Park, FL;;;1077;3;;;;Tim;Lewis;;Boca Raton, FL;;;1801;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;51;4;1:31.284;+4.263;+0.437;143.3;5;COPELAND MOTORSPORTS;TCR;;;Hyundai Veloster N TCR;M;958;329;22;76;7660;3;;10727;;;Mason;Filippi;;Alamo, CA;;;2228;1;Silver;;;AJ;Muss;;Rumson, NJ;;;1929;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;81;6;1:31.501;+4.480;+0.217;143.0;8;CB Motorsports;TCR;;;Hyundai Veloster N TCR;M;971;351;22;76;7660;3;;10742;;;Mark;Kvamme;;Columbus, OH;;;2422;2;Bronze;;;Trenton;Estep;;San Antonio, TX;;;1353;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;71;9;1:31.537;+4.516;+0.036;142.9;10;Rebel Rock Racing;GS;;;Chevrolet Camaro GT4.R;M;539;45;5;63;105;3;;10746;;;Frank;DePew;;Richmond, VA;;;1151;3;;;;Robin;Liddell;;Edinburgh, Scotland;;;411;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;88;7;1:33.765;+6.744;+2.228;139.5;10;VGMC Racing, LLC;TCR;;;Honda Civic FK7 TCR;M;976;355;22;97;2081;3;;10764;;;Victor;Gonzalez;;Trujillo Alto, PR;;;811;1;ProAm;;;Ruben;Iglesias;;Cayey, PR;;;2404;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;64;8;1:36.617;+9.596;+2.852;135.4;9;TeamTGM;GS;;;Chevrolet Camaro GT4.R;M;920;79;5;63;105;3;;10690;;;Ted;Giovanis;;Highland, MD;;;489;1;Bronze;;;Owen;Trinkler;;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
