POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;IMSA_CarId;IMSA_TeamId;IMSA_ClassId;IMSA_CarTypeId;IMSA_ManufacturerId;IMSA_TireId;IMSA_SponsorId;IMSA_EventEntryId;*Extra 9;*Extra 10;DRIVER1_FIRSTNAME;DRIVER1_SECONDNAME;DRIVER1_LICENSE;DRIVER1_HOMETOWN;DRIVER1_COUNTRY;DRIVER1_SHORTNAME;DRIVER1_IMSA_DriverId;DRIVER1_IMSA_DriverPlugId;DRIVER1_IMSA_DriverRatingLong;DRIVER1_*Extra 4;DRIVER1_*Extra 5;DRIVER2_FIRSTNAME;DRIVER2_SECONDNAME;DRIVER2_LICENSE;DRIVER2_HOMETOWN;DRIVER2_COUNTRY;DRIVER2_SHORTNAME;DRIVER2_IMSA_DriverId;DRIVER2_IMSA_DriverPlugId;DRIVER2_IMSA_DriverRatingLong;DRIVER2_*Extra 4;DRIVER2_*Extra 5;DRIVER3_FIRSTNAME;DRIVER3_SECONDNAME;DRIVER3_LICENSE;DRIVER3_HOMETOWN;DRIVER3_COUNTRY;DRIVER3_SHORTNAME;DRIVER3_IMSA_DriverId;DRIVER3_IMSA_DriverPlugId;DRIVER3_IMSA_DriverRatingLong;DRIVER3_*Extra 4;DRIVER3_*Extra 5;DRIVER4_FIRSTNAME;DRIVER4_SECONDNAME;DRIVER4_LICENSE;DRIVER4_HOMETOWN;DRIVER4_COUNTRY;DRIVER4_SHORTNAME;DRIVER4_IMSA_DriverId;DRIVER4_IMSA_DriverPlugId;DRIVER4_IMSA_DriverRatingLong;DRIVER4_*Extra 4;DRIVER4_*Extra 5;DRIVER5_FIRSTNAME;DRIVER5_SECONDNAME;DRIVER5_LICENSE;DRIVER5_HOMETOWN;DRIVER5_COUNTRY;DRIVER5_SHORTNAME;DRIVER5_IMSA_DriverId;DRIVER5_IMSA_DriverPlugId;DRIVER5_IMSA_DriverRatingLong;DRIVER5_*Extra 4;DRIVER5_*Extra 5;DRIVER6_FIRSTNAME;DRIVER6_SECONDNAME;DRIVER6_LICENSE;DRIVER6_HOMETOWN;DRIVER6_COUNTRY;DRIVER6_SHORTNAME;DRIVER6_IMSA_DriverId;DRIVER6_IMSA_DriverPlugId;DRIVER6_IMSA_DriverRatingLong;DRIVER6_*Extra 4;DRIVER6_*Extra 5;
11;96;Classified;65;2:00:39.462;+11.840;+0.737;26;1:27.250;168.7;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2150;38;5;188;74;3;;15919;;;Robby;Foley;Gold;Randolph, NJ;;;1302;2;Gold;;;Vincent;Barletta;Bronze;Canton, MA;;;1894;1;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;98;Classified;65;2:00:40.693;+13.071;+1.231;51;1:28.527;166.2;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;953;255;22;98;7660;3;;15937;;;Mark;Wilkins;Gold;Mulmur, ON;;;317;1;Gold;;;Mason;Filippi;Silver;Alamo, CA;;;1829;4;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;91;Classified;65;2:00:41.270;+13.648;+0.577;53;1:28.715;165.9;van der Steur Racing;TCR;;;Hyundai Elantra N TCR;M;2391;341;22;98;7660;3;;15948;;;Bryan;Ortiz;Silver;Bayamon, PR;;;796;1;Silver;;;Tyler;Maxson;Silver;Bogart, GA;;;2151;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;73;Classified;65;2:00:42.239;+14.617;+0.969;51;1:28.351;166.6;LA Honda World Racing;TCR;;;Honda Civic FL5 TCR;M;2433;262;22;215;2081;3;;15940;;;Mike;LaMarra;;Brighton, MI;;;473;1;;;;Ryan;Eversley;Gold;Atlanta, GA;;;501;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;11;Classified;65;2:00:43.467;+15.845;+1.228;30;1:27.618;168.0;Wilsports;GS;B;;Mercedes-AMG GT GT4;M;2336;380;5;227;7643;3;;15933;;;Gary;Ferrera;Bronze;Littleton, CO;;;1735;1;Bronze;;;Kris;Wilson;Bronze;Golden, CO;;;423;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;27;Classified;65;2:00:44.330;+16.708;+0.863;37;1:26.281;170.6;Lone Star Racing;GS;;;Mercedes-AMG GT GT4;M;2337;224;5;227;7643;3;;15930;;;Anton;Dias Perera;Bronze;Memphis,TN;;;1987;1;Bronze;;;Scott;Andrews;Gold;Torquay, Australia;;;1657;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;33;Classified;65;2:00:45.811;+18.189;+1.481;49;1:28.572;166.1;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;952;255;22;98;7660;3;;15938;;;Robert;Wickens;Silver;Guelph, ON;;;1286;2;Silver;;;Harry;Gottsacker;Silver;San Antonio, TX;;;1456;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;99;Classified;65;2:00:46.516;+18.894;+0.705;37;1:28.835;165.7;Victor Gonzalez Racing Team;TCR;;;Hyundai Elantra N TCR;M;2470;470;22;98;7660;3;;15945;;;Victor;Gonzalez;;Trujillo Alto;;;811;1;;;;Tyler;Gonzalez;Silver;St. Cloud, FL;;;2164;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;74;Classified;65;2:00:49.602;+21.980;+3.086;51;1:29.858;163.8;Deily Motorsports LLC;TCR;;;Hyundai Elantra N TCR;M;2236;474;22;98;7660;3;;15947;;;Cabot;Bigham;;Reno, NV;;;3031;2;;;;Jordan;Wisely;;Mustang, OK;;;3128;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;7;Classified;65;2:00:50.546;+22.924;+0.944;51;1:28.064;167.1;LA Honda World Racing;TCR;;;Honda Civic FK7 TCR;M;2509;262;22;97;2081;3;;15949;;;William;Tally;;Athens, GA;;;2039;2;;;;Mat;Pombo;;Atlanta, GA;;;529;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;Classified;65;2:00:52.284;+24.662;+0.993;25;1:28.808;165.7;Bryan Herta Autosport with Curb Agajanian;TCR;;;Hyundai Elantra N TCR;M;1547;255;22;98;7660;3;;15939;;;Bryson;Morris;Silver;Mount Juliet, TN;;;2668;2;Silver;;;Taylor;Hagler;;San Antonio, TX;;;1921;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;64;Classified;65;2:00:54.074;+26.452;+1.790;26;1:27.011;169.1;Team TGM;GS;;;Aston Martin Vantage GT4;M;2138;79;5;56;73;3;;15913;;;Ted;Giovanis;Bronze;Highland, MD;;;489;1;Bronze;;;Owen;Trinkler;Silver;Nashville,TN;;;519;5;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;44;Classified;65;2:00:54.883;+27.261;+0.809;28;1:27.219;168.7;Accelerating Performance;GS;;;Porsche 718 GT4 RS CS;M;2145;416;5;108;112;3;;15917;;;Moisey;Uretsky;Bronze;Miami, FL;;;2465;1;Bronze;;;Michael;Cooper;Silver;Huntington, NY;;;2550;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;14;Classified;65;2:01:13.964;+46.342;+15.652;56;1:27.264;168.6;Ave Motorsports;GS;;;Toyota GR Supra GT4 EVO;M;2221;163;5;202;7662;3;;15927;;;Alfredo;Najri;;Santo Domingo, DR;;;2257;1;;;;Thiago;Camilo;Gold;Sao Paulo, Brazil;;;2590;3;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;50;Classified;65;2:01:15.887;+48.265;+1.923;49;1:27.206;168.7;Hattori Motorsports;GS;;;Toyota GR Supra GT4 EVO;M;2459;494;5;202;7662;3;;15934;;;Billy;Johnson;Gold;Boynton Beach, FL;;;365;1;Gold;;;Seth;Lucas;Silver;Powell, OH;;;3067;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;43;Classified;64;2:00:29.143;1 Lap;1 Lap;31;1:27.858;167.5;Stephen Cameron racing;GS;;;BMW M4 GT4 (G82);M;2263;220;5;188;74;3;;15916;;;Sean;Quinlan;Bronze;Palo Alto, CA;;;2172;1;Bronze;;;Gregory;Liefooghe;Silver;San Francisco, CA;;;504;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;19;Classified;64;2:00:44.880;1 Lap;+15.737;7;1:27.667;167.9;van der Steur Racing;GS;;;Aston Martin Vantage GT4;M;2212;341;5;56;73;3;;15925;;;Rory;van der Steur;Silver;Chesapeake City, MD;;;2970;1;Silver;;;Austin;McCusker;Silver;Glen Head, NY;;;1586;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;83;Classified;62;1:52:11.948;3 Laps;2 Laps;54;1:26.997;169.2;BGB Motorsports;GS;;;Porsche 718 GT4 RS CS;M;1597;157;5;108;112;3;;15922;;;Thomas;Collingwood;Bronze;St. John's, Newfoundland;;;1796;1;Bronze;;;Spencer;Pumpelly;Silver;Atlanta, GA;;;64;3;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;77;Classified;61;1:51:02.889;4 Laps;1 Lap;28;1:28.513;166.3;Stephen Cameron Racing;GS;;;BMW M4 GT4 (F82);M;2498;220;5;189;74;3;;15935;;;Nick;Shaeffer;;Salt Lake City, UT;;;3152;1;;;;Peter;Mercier;;Kokomo, IN;;;3154;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;10;Classified;55;2:00:48.856;10 Laps;6 Laps;23;1:30.585;162.5;Rockwell Autosport Development;TCR;;;Audi RS3 LMS SEQ;M;2279;359;22;99;909;3;;15942;;;Preston;Brown;;Chapel Hill, NC;;;2877;1;;;;Alex;Rockwell;;Colts Neck, NJ;;;2403;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;5;Classified;48;1:33:42.492;17 Laps;7 Laps;30;1:29.483;164.5;KMW Motorsports with TMR Engineering;TCR;;;Alfa Romeo Giulietta Veloce TCR;M;962;265;22;95;7658;3;;15941;;;Roy;Block;;Winter Park, FL;;;1077;3;;;;Tim;Lewis;Bronze;Boca Raton, FL;;;1801;2;Bronze;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;15;Classified;36;1:08:44.616;29 Laps;12 Laps;32;1:29.701;164.1;Rockwell Autosport Development;TCR;;;Audi RS3 LMS SEQ;M;2358;359;22;99;909;3;;15943;;;Nick;Looijmans;Bronze;Ontario, Canada;;;2936;1;Bronze;;;Denis;Dupont;;Montreal, QC;;;2250;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;39;Classified;14;28:06.049;51 Laps;22 Laps;14;1:28.471;166.3;CarBahn with Peregrine Racing;GS;;;BMW M4 GT4 (G82);M;2207;378;5;188;74;3;;15924;;;Sean;McAlister;Silver;Beverly Hills, CA;;;1847;1;Silver;;;Jeff;Westphal;Gold;Littleton, CO;;;682;2;Gold;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;13;Classified;5;10:35.325;60 Laps;9 Laps;5;1:29.029;165.3;McCumbee McAleer Racing with AEROSPORT;GS;;;Ford Mustang GT4;M;2232;473;5;54;107;3;;15929;;;Chad;McCumbee;Silver;Shallotte, NC;;;461;1;Silver;;;Jenson;Altzman;;Phoenix, AZ;;;2460;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;95;Classified;65;2:00:58.312;+30.690;+3.429;50;1:27.696;167.8;Turner Motorsport;GS;;;BMW M4 GT4 (G82);M;2149;38;5;188;74;3;;15918;;;Robert;Megennis;Silver;New York City, NY;;;2412;3;Silver;;;Cameron;Lawrence;Silver;Lakeway, TX;;;446;1;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;17;Classified;0;;65 Laps;5 Laps;0;;;Unitronic/JDC Miller MotorSports;TCR;;;Audi RS3 LMS TCR;M;2209;15;22;84;909;3;;15944;;;Chris;Miller;Silver;Minneapolis, MN;;;265;1;Silver;;;Mikey;Taylor;Silver;Pretoria, South Africa;;;791;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;70;Classified;65;2:00:51.291;+23.669;+0.745;50;1:29.599;164.2;Deily Motorsports LLC;TCR;;;Hyundai Elantra N TCR;M;2235;474;22;98;7660;3;;15946;;;Sally;McNulty;;Rolla, MO;;;3153;3;;;;Jacob;Deily;Silver;Edmond, OK;;;2954;2;Silver;;;;;;;;;;;;;;;;;;;;;;;;;;;
